"Price","Bed","Bath","Area","HouseURL","Description","Type","Built","Lot"
"$365,000","3 bds","2 ba","1,788 sqft","https://www.zillow.com/homedetails/72-Stannard-Ave-Branford-CT-06405/57888780_zpid/","Walk to Branford Beach, near-by Marinas and the center of Town. This ranch home offers one-floor living with a finished basement for additional space. The deck in the back offers rock out croppings and an area for gardening. The home is light and bright with an open floor plan from the living room to the dining area to the kitchen. There is a screened in porch plus the spacious deck. 3-bedrooms and 1.5 baths all on one floor. A one-car garage, shed and stone wall in the front yard. The lower level has two good size rooms and an unfinished area for a workshop & laundry. Location is what it's all about. Be prepared to enjoy this home this summer.","SingleFamily","1963","15,681 sqft"
"$339,000","3 bds","2 ba","2,180 sqft","https://www.zillow.com/homedetails/23-Dominican-Rd-Branford-CT-06405/57886751_zpid/","Nestled on a quiet, dead end street this 3/4 bedroom, 2 bath cape cod home offers flexible spaces to accomodate different living situations. Layout allows for a possible in-law suite on either the first floor or second floor. Master bedroom suite addition offers a separate sitting room with full bath, kitchenette and wood-burning stove. Multiple sitting areas on the first floor and private space tucked away in the back could be used as an additional bedroom or office. Outdoor space includes a courtyard area where you can watch the sun rise over the hilltop as you enjoy your morning coffee from your patio. Relax on the sunporch or  step outside onto the wraparound deck that leads to the backyard where you will find a fire pit and babbling brook. This unique home has lots of charm and charachter. Located close to Lake Saltonstall where you can enjoy boating, fishing and hiking. Minutes to shopping and highways. An easy commute to New Haven or a short drive to Branford train station to take you into NYC. Sale contingent on owner finding suitable housing.","SingleFamily","1870","13,939 sqft"
"$589,900","4 bds","3 ba","2,109 sqft","https://www.zillow.com/homedetails/31-Lomartra-Ln-Branford-CT-06405/174483623_zpid/","LAST LOT AVAILABLE IN PHASE 1! Stony Creek Crossing provides a unique opportunity to live in a sought-after section of Branford! This home will feature standard upgrades such as hardwood flooring, 9-foot ceilings on the first floors, tile bathrooms and laundry room, plywood construction cabinetry with dove-tail drawers, and granite kitchen countertops. Utilities are city water and sewer, and underground electric and communications. BLACKSTONE I MODEL SHOWN","SingleFamily","2021","13,939 sqft"
"$569,900","3 bds","3 ba","2,104 sqft","https://www.zillow.com/homedetails/21-Luisa-Ct-Branford-CT-06405/2078394332_zpid/","The Village at Stony Creek Crossing provides a unique opportunity to live in a sought-after section of Branford with Maintenance free living ! With 7 home styles to choose from there is a floor plan that suits everyone's needs. Homes will feature hardwood flooring and 9-foot ceilings on the first floors, tile bathrooms and laundry room, plywood construction cabinetry with dove-tail drawers along with granite kitchen countertops. Utilities are city water and sewer, and underground electric and communications. SACHEM MODEL SHOWN. RESERVE YOUR DREAM HOME TODAY!","SingleFamily","2021","No Data"
"$995,000","4 bds","3 ba","1,987 sqft","https://www.zillow.com/homedetails/56-Sound-View-Hts-Branford-CT-06405/57893616_zpid/","IT'S ALL ABOUT THE VIEW! Spectacular unobstructed views of the Thimble Islands & Long Island Sound from all rooms of this quaint, charming year round beach home. Direct waterfront located in a peaceful, serene section of Indian Neck. Enjoy ocean breezes, wildlife, breathtaking sunrises and an ever changing view of the water. A painter's or photographer's oasis.   This 1920 4-bedroom colonial home offers light and bright spaces throughout, fully applianced kitchen with Viking stove w/hood, granite counter tops, walk-in pantry, dining area, living room with a stone surround wood-burning fireplace for those colder months. French door opens to a covered porch overlooking the water, the perfect spot to relax and unwind after a day or work or play. Three bedrooms, a full bath and a laundry room are found on the second level. The master bedroom is on the finished walk-up third floor and offers a full bath complete with a clawfoot tub. Additional highlights include an open floor plan, high ceilings, wide plank wood floors and bead board trim. There is also a detached garage with an all pine recreation room/office leading to a brick patio, outdoor shower and kayak storage. Feel safe and protected knowing you are sitting high above the flood zone. NO FLOOD INSURANCE NEEDED. Perfect for the waterfront or boater enthusiast. A short stroll to the the Owenego Beach and Tennis Club.","SingleFamily","1920","7,405 sqft"
"$289,900","3 bds","1 ba","1,237 sqft","https://www.zillow.com/homedetails/10-Laurel-Hill-Rd-Branford-CT-06405/58892077_zpid/","Don't miss out! Cozy 3 bedroom colonial with great curb appeal situated on the corner of quiet cul-de-sac. This charming colonial is flooded with natural light. You'll enjoy every room, from the heated and closed front porch, living room and dining room with beautiful inlaid hardwood flooring. The formal dining room also offers built-in hutch. Large eat-in kitchen with lots of cabinets, stainless steel appliances. Enjoy your spacious deck overlooking large level backyard. Maintenance free home with final vinyl siding, thermal windows.  Economical gas heat, central air. Here's your chance to own a great home in Branford at a very affordable price!","SingleFamily","1900","22,651 sqft"
"$299,900","1 bd","2 ba","704 sqft","https://www.zillow.com/homedetails/34-Newton-Rd-Branford-CT-06405/57893612_zpid/","You are going to fall in love with this completely remodeled home in 2013 that makes the perfect condo alternative in beautiful Indian Neck! This home offers a great floor plan with gleaming floors and newer windows.  kitchen with energy star rated stainless steel appliances and beautiful newer bathroom. Large ceramic tile mudroom with first floor laundry. Possible second bedroom. New energy efficient Hot Water Heater, Led lighting, newer siding and sliders to lovely deck. Oversized two car garage/workshop with new garage doors and new septic system. Located in a quiet neighborhood with a picturesque location near end of cul-de-sac. Beautiful, flat property extends and borders Branford Land Trust. You will enjoy the privacy this home has to offer and the convenience of its close proximity to the beach, park, town center and train! Flood insurance required; seller has elevation certificate.","SingleFamily","1947","8,712 sqft"
"$999,999","4 bds","3 ba","2,144 sqft","https://www.zillow.com/homedetails/14-4th-Ave-Branford-CT-06405/57893346_zpid/","As they say, location, location, location!  This well maintained home was originally renovated in 2001 and the second floor was added in 2006.  Owners were ahead of their time with this open floor living space.  3/4 Bedrooms, 3 full baths, 2nd. floor laundry and sitting/study area not to mentioned the natural light that floods this home!  Home is just five houses from private association beach and does have views,  Also offers ramp for small boat, mooring rights, jet-skis and a deeded boat clothes line.  Owners have enjoyed many years watching their children thrive, grow up in this community.  Enjoyed many celebrations within the home, on the beach or in their great back yard and looking to extend this opportunity to another nice couple/family as they had to make their own memories to last a lifetime.  Note, while these pictures are professionally taken by a gifted and talented artist, through no fault of hers, they do not do this home justice.  Come see for yourself.","SingleFamily","1935","4,791 sqft"
"$494,900","3 bds","3 ba","2,075 sqft","https://www.zillow.com/homedetails/99-Todds-Hill-Rd-2-Branford-CT-06405/2072730515_zpid/","Introducing Branford's newest subdivision, Pond View Estates.  Offering 14 gorgeous 1/2 acre plus -home sites overlooking pond.  This new construction development is in an established location offering gas and public utilities.  Custom designed home by Branford architect and built by quality local builder, you will be impressed with the special details of this home.  The Essex model, which offers 2075 square feet, 3 bedrooms and 2 full/1 half bath,  has an open floor plan concept.  Home has 9 foot ceilings, hard wood floors, custom designer kitchen with island, granite counters and eat in area, master suite with walk in closet and full bath, and an unfinished bonus room for future potential expansion.  Exterior is maintenance free where you can relax on the front porch or back deck while enjoying the local and peaceful views.  Wonderfully located near schools, center of town, beach, park recreation area, highways, shopping, Yale, and more.  Be sure to visit today as you don't want to miss the opportunity to be part of this exciting new development.","SingleFamily","2020","21,780 sqft"
"$2,750,000","6 bds","5 ba","3,891 sqft","https://www.zillow.com/homedetails/97-Linden-Ave-Branford-CT-06405/57892397_zpid/","WATERFRONT W/BREATHTAKING VIEWS OF LONG ISLAND SOUND & THE THIMBLE ISLANDS-No Flood Insurance Required: Own a  piece of history when you make this iconic waterfront retreat yours to call home. 75 Miles from NYC, 90 Minutes to Boston &  just a short drive to Branford Train Station. This Majestic Victorian Home is a statement & affords you the most comfortable way of living w/plenty of space to enjoy a luxurious lifestyle. Enjoy water views from nearly every room or relax on the wrap around, covered porch where magnificent sunrises & moon rises will surely take your breath away. The chef in you will be inspired in the beautifully remodeled kitchen, complete w/views of L.I Sound, your gorgeous IG pool & lovely gardens with fruit trees. MBR boasts sitting area where views of the sun glistening on the water catch your eye, a walk in closet & ensuite BA. Spiral staircase leads you up to the obseravation room which is an unexpected treat to sit & read, meditate or simply take in all the beauty surrounding you. Main floor study has a full bath & cedar closet & can be used as a main floor bedroom. Living room & family room are adorned w/working woodburning fireplaces & the expansive DR leads you out thru gorgeous french doors to the deck & outdoor living area. WELCOME HOME to a place you will never want to leave once you arrive. Steps to sandy beach, short drive to marinas, waterfront dining. Ideal location to enjoy all watersports-boating, kayaking, paddle boarding, jet skiing & more","SingleFamily","1875","51,400 sqft"
