"Price","Bed","Bath","Area","HouseURL","Description","Type","Built","Lot"
"$275,000","5 bds","2 ba","2,227 sqft","https://www.zillow.com/homedetails/29-Glenbrook-Rd-Bridgeport-CT-06610/57259522_zpid/","This home is located in a highly desirable area in the Treeland area of Bridgeport.  This single-family home is located at 29 Glenbrook Rd, Bridgeport, CT. 29 Glenbrook Rd is in Bridgeport, CT and in ZIP code 06610. This property has 5 bedrooms, 2 full bathrooms, Den/ great room and approximately 2,227 sqft of floor space full unfinish basement newer heating system. This property has a lot size of 7,758 sqft and was built in 1944. Home is close public transportation, shopping. This property is short sale subject to lender approval seller has an attorney assisting with the short sale. Please allow 24 hours notice before each showings.  Seller requested all showings to be between 12Noon to 4:00PM.  At seller request no more SUNDAY and Saturday SHOWINGS and NO SHOWING.  Thank you.","Single Family Residence","1944","7,840 sqft"
"$280,000","3 bds","2 ba","1,357 sqft","https://www.zillow.com/homedetails/20-Alameda-Pl-Bridgeport-CT-06610/58774727_zpid/","Adorable 3 Bedroom/2 Full Bathroom Cape style home in the coveted Treeland area of Bridgeport.  Situated on a corner lot with a side yard, perfect for all of your outdoor activities.  The Main Floor offers 2 Bedrooms, 1 Full Bathroom, Living Room & expanded Eat-In-Kitchen.  Hardwood flooring throughout main floor.  The Kitchen provides plenty of counter & cabinet storage space with a Breakfast Nook/Dining area. Currently the owner has located the stackable washer and dryer off Kitchen, but it can be relocated into the basement (has additional connections.) Right off the Breakfast Nook is the bright and airy 3-Season porch with additional access to the side yard. Head upstairs to the Master Bedroom Suite complete with a sitting room/den, office nook (or additional closet space) and a full bathroom. Additionally, the house has an attached garage and a double wide driveway for off street parking. Lastly, the basement has been used in the past as an additional flex space (family room/play room) and has chimney access for a wood burning fireplace.","Single Family Residence","1943","8,712 sqft"
"$199,900","3 bds","1 ba","950 sqft","https://www.zillow.com/homedetails/213-Prince-St-Bridgeport-CT-06610/57245071_zpid/","Wonderful cape with beautiful yard and front porch for morning coffee. Enter into this wonderful home with gorgeous hardwood floors open to dining room. Kitchen is spacious with eat in space. Upstairs find 3 bedrooms and a full bath. Out back you will enjoy a beautiful yard for entertaining and gardening! Great starter home!","Single Family Residence","1919","4,791 sqft"
"$290,000","3 bds","2 ba","1,465 sqft","https://www.zillow.com/homedetails/176-Morningside-Dr-Bridgeport-CT-06606/57249321_zpid/","Well kept, move in ready home.  Enter into a beautifully redone mudroom.  Step into living room, office, dining room, kitchen and half bath located on main floor. 3 Bedrooms and full bath on second floor.  Schedule your private showing today.","Single Family Residence","1922","5,227 sqft"
"$185,000","2 bds","2 ba","1,044 sqft","https://www.zillow.com/homedetails/247-Scofield-Ave-Bridgeport-CT-06605/57235687_zpid/","Good location. This home needs TLC. The property is in a multi family zone. Buyer must do their due diligence. There is a barn in the back of the house - good for a workshop or extra storage.","Single Family Residence","1907","6,534 sqft"
"$274,900","5 bds","3 ba","2,360 sqft","https://www.zillow.com/homedetails/54-Glendale-Ave-Bridgeport-CT-06606/57251142_zpid/","Do not delay, See this one TODAY! HUGE 5 bedroom Colonial, located in the North End of Bridgeport.  It has brand new flooring throughout, two and a half bathrooms,  eat-in kitchen, Open floor plan. Bedroom with full bath on the main level. The attic and basement are finished for extra bedroom or more living space. A level backyard, plenty of off street parking, and close to all your needs. Buyer to complete final details. Property sold as is condition. CASH PREFERRED, rehab loan or 203K","Single Family Residence","1912","6,098 sqft"
"$269,900","2 bds","1 ba","1,020 sqft","https://www.zillow.com/homedetails/88-Seaview-Ter-Bridgeport-CT-06605/57234803_zpid/","Nice Black Rock cape with living room kitchen and den on main level and 2 bedrooms on 2nd floor great move in condition new kitchen floor , kitchen bay window it also has gas furnace with central air  two rear patios and a nice front porch. One block to a sandy beach and walk to st marys by the sea. The property is close to restaurants metro north railroad, I95 and route 25/8 connector private setting with private parking","Single Family Residence","1907","6,969 sqft"
"$270,000","2 bds","3 ba","1,093 sqft","https://www.zillow.com/homedetails/173-Livingston-Pl-Bridgeport-CT-06610/57246772_zpid/","Nicely cared for cape style home located in Beardsley park neighborhood. This picturesque home with front porch and white picket fence sits on a level professionally manicured yard. The home features an inviting living room with wood burning fireplace and opens to dining room with sliders leading to the backyard. The kitchen is large enough to accommodate your culinary skills and has ample cabinets and counter space. The upper living area features a generous sized master bedroom. The 2nd bedroom is large and can accommodate a king size bed. A 2nd. full bathroom service this area.  There is a partially finished basement with a full bath and laundry area. The outdoor living space features a backyard oasis with Koi pond, a large family size deck and a hot tub room for year-round enjoyment. There is also a 2 car detached garage. The home is topped off with a newer 30 year architectural roof, energy saving solar panels and newer mechanicals for additional savings. Make your appointment today.","Single Family Residence","1954","4,791 sqft"
"$149,900","2 bds","1 ba","748 sqft","https://www.zillow.com/homedetails/125-Robert-St-Bridgeport-CT-06606/58774483_zpid/","Great Opportunity. Two Bedroom, one bath with open floor plan. Property does need some TLC. Large Private backyard. Location is great, nearby interstate and public transportation. SOLD AS-IS WHERE IS, BANK OWNED PROPERTY. TENANT OCCUPIED MONTH TO MONTH.","Single Family Residence","1922","4,791 sqft"
"$419,900","3 bds","2 ba","1,405 sqft","https://www.zillow.com/homedetails/141-Seaside-Ave-Bridgeport-CT-06605/57234973_zpid/","Take advantage of this amazing opportunity to own a 3 bedroom, 2 full bath home in excellent condition in Black Rock, one of Fairfield County’s most desirable communities. Located near the water, 141 Seaside is within a short walk to Seabright Beach, Harborview Market, and downtown Black Rock - known for it’s award-winning bars, restaurants, and coffee shops.     This home comes readily equipped with a two-zoned central A/C and heating system, Active Solar Panels, and Thermopane windows, making a well-cooled house in the summertime incredibly affordable to live in. House also includes a full security system.     This house boasts 3 bedrooms, and a bonus room/office, as well as an eat-in kitchen, living room, and two full baths. Not included in the living area is an enclosed porch (sunroom), an attached deck, and covered patio. A detached garage allows for ample storage, and room for cars, tools, etc.     California Closets are installed in both upstairs bedrooms. City Sewer, Water, and Gas are connected, as well as a humidifier in basement to ensure an extremely livable indoor climate. Come see this gem in Black Rock before it’s gone!","Single Family Residence","1940","5,227 sqft"
"$324,900","3 bds","2 ba","2,659 sqft","https://www.zillow.com/homedetails/86-Edgemoor-Rd-Bridgeport-CT-06606/57255399_zpid/","Charming Ranch on a quiet cul-de-sac in the North End area of Bridgeport. Main level living boasts a wood burning fireplace in the large living room, spacious dining room, eat in kitchen with gas range, and all major appliances including a new dishwasher. Off the kitchen and living room you will find three generous sized bedrooms, full bath featuring a jacuzzi tub and gleaming hardwood floors throughout the main level. The fully finished lower level is used as a den, rec/playroom with full bath and laundry room. The open floor plan in the lower level has many different possibilities of use due to its enormous size. Leading outside from the backdoor on the main level you will find a covered porch perfect for summer barbecues and a two-car detached garage on a quarter acre of property. This home is perfect for a family or could be a great rental investment for SHU! Conveniently located near the Merritt Parkway, Sacred Heart University, St. Vincent’s, and more! Won't last long on the market! Showings start at 1pm on May 1st","Single Family Residence","1950","10,454 sqft"
"$299,900","4 bds","4 ba","2,318 sqft","https://www.zillow.com/homedetails/615-Grand-St-Bridgeport-CT-06604/57238068_zpid/","Take advantage of historical low interest rates and buy this spacious move-in ready Colonial offering 4 Bedrooms, 3 1/2 baths,  2 car garage, ample updated kitchen w/ granite countertops and stainless steel appliances, formal dining room, living room, finished basement, hardwood floors throughout, gas heating, newer roof, furnace, siding, windows and other updates. Property is fully fenced in and close to everything you need, including public transportation being just 1.3 miles away from the train station! Come see it today!  All A/C window units stay. Sold as is.","Single Family Residence","1902","3,484 sqft"
"$300,000","4 bds","3 ba","1,210 sqft","https://www.zillow.com/homedetails/36-Staples-St-Bridgeport-CT-06604/57242205_zpid/","Nothing to do! Clean 6 room, 4 bedrooms and 2.5 baths.  Main house and Potential In-Law in finished basement with 3 rooms.  Beautiful hardwood floors throughout the home.","Single Family Residence","1917","3,920 sqft"
"$385,000","6 bds","3 ba","2,762 sqft","https://www.zillow.com/homedetails/53-Griffin-Ave-Bridgeport-CT-06606/57256977_zpid/","This sunny and bright Cape Style home, with 6 bedrooms and 3 full baths, was ENTIRELY renovated, from top to bottom in 2019. This  home offers 1900sqft of space, with 1311 sqft of additional living space in the finished basement, with additional bedrooms, full bath, and family room with 2nd fireplace. The main floor offers a formal Livingroom with fabulous fireplace, dining room with doors to a oversized deck,  and  backyard meant for entertaining. The eat in kitchen shaker cabinets with crown molding, stainless steal Samsung Appliances, quartz counter-tops, and beautiful Farmhouse style sink. Three bedrooms, and a full bath on the main level.   The attic offers two large bedrooms and a full bathroom. A Fully Finished basement offers an additional 1300+sqft of space; featuring a large family room with a 2nd fireplace and laundry area with washer and gas dryer.  Two additional bedrooms, a full bath, walk out access to the backyard. New (2019) gas heat & tank-less provide economical living. The large/deep backyard offers privacy and room to entertain.  The yard abuts a lake, and you will see a small dam as a view as well.  A stream runs through the side of this property making it just delightful!  Yes, Flood insurance is needed.  INVESTORS take note.  This house pulls in $4,000.00 a month.  IF YOU ARE INTERESTED IN THIS HOME PLEASE NOTE.  YOU WOULD NOT BE ABLE TO MOVE IN THIS HOME UNTIL JUNE 2022.  this home is rented until then and the lease follows the house.","Single Family Residence","1956","7,405 sqft"
"$329,900","3 bds","2 ba","1,708 sqft","https://www.zillow.com/homedetails/588-Fairview-Ave-Bridgeport-CT-06606/57249519_zpid/","Beautifully well-maintained split-level property on a desired lot. This 3 bedrooms and 2 bathroom property is conveniently located in a quiet neighborhood on the Bridgeport town line. Really close to the Trumbull Mall. The house has been almost entirely remodeled. brand new roof only one-year-old.  new electrical panel. and updated plumbing  New energy-efficient window and fireplace that brings warmth to the whole property.  The cost of flood insurance is $ 640.00 per year, that is, no more than $ 55.00 per month....  Escape to the outdoors and enjoy the outside backyard. Enjoy the beautiful hardwood floor in every bedroom. Walk into this spacious eat-in kitchen. Step into the new and renovated kitchen with granite countertop and renovated basement. Enjoy the convenience of a second bathroom in the basement. Don't wait to view this gem!.... motivated seller brings and presents your offer","Single Family Residence","1960","7,405 sqft"
"$279,900","4 bds","2 ba","2,005 sqft","https://www.zillow.com/homedetails/382-Catherine-St-Bridgeport-CT-06604/57238073_zpid/","If you have been looking for a large Colonial home in Bridgeport, this is it. Do not miss the opportunity to own your dream home. It is near 95 North/South and  Route 15 North/South and other amenities  Easy access to down town Bridgeport train station. Not too far away from Trumbull Shopping Mall and other Shopping Centers . Home features four bedrooms, two full bathrooms, formal dinning-room, living-room and kitchen.","Single Family Residence","1877","3,484 sqft"
"$310,000","4 bds","3 ba","1,236 sqft","https://www.zillow.com/homedetails/593-Evers-St-Bridgeport-CT-06610/72669476_zpid/","Very nice 3 bedroom 3 bathroom raised ranch with a two car garage. Built in 2006, there are 3 spacious bedrooms on the upper level. Lower level is finished, currently being used as a family room and an additional bedroom. This house does need some TLC but the potential is endless. The Seller will be present for showings. No Showings after 4pm!!","Single Family Residence","2006","7,405 sqft"
"$375,000","4 bds","4 ba","2,286 sqft","https://www.zillow.com/homedetails/85-Albemarle-St-Bridgeport-CT-06606/57251915_zpid/","CONTEMPORARY SPLIT-LEVEL HOME-10 ROOMS, 4+ BEDROOMS, 3.5 BATHS WITH UNFINISHED DREAM ADDITION. LIVING ROOM HAS VAULTED CEILINGS AND FIREPLACE. HARDWOOD FLOORS IN LIVING, DINING, & 2ND FLOOR BED ROOMS. FINISHED LOWER LEVEL WITH PLAY/RECREATION ROOM, BEDROOM/OFFICE, OR IDEAL IN-LAW SETUP. CREATE YOUR DREAM PARADISE WITH THIS UNFINISHED ADDITION. IT HAS SPACIOUS OPEN CONCEPT KITCHEN WITH FIREPLACE & LOTS OF NATURAL LIGHTS. PRIMARY MASTER BEDROOOM SUITE IS HUGE WITH FIREPLACE, VAULTED CEILINGS, SKYLIGHTS, JACUZZI TUD, SHOWER STAHL, WALK-IN CLOSET & MORE! TWO HEATING SYSTEMS, 2 A/C UNITS, 2 CAR GARAGE, PRIVATE BACK YARD AT THE END OF THE STREET WITH VIEW OF THE BROOK/RIVER. GREAT HOME FOR YOUR QUIET ENJOYMENT! LIVING ROOM CHANDLIER, CHICKEN COOP/RUN NOT INCLUDED. PROPERTY SOLD AS IS. NO MASK, NO ENTRY. ONLY TWO PEOPLE WITH AGENT AT THE SAME TIME! AGENT IS RELATED TO OWNER.  DUE TO THE UNFINISHED HOUSE ADDITION, ONLY CONVENTIONAL LOAN WILL BE APPROVED, OR NO MORTGAGE. NO REGULAR FHA LOAN.","Single Family Residence","1987","7,840 sqft"
"$249,900","3 bds","3 ba","1,386 sqft","https://www.zillow.com/homedetails/175-French-St-Bridgeport-CT-06606/57248263_zpid/","WOW, DIAMOND IN THE ROUGH! 4 FLOORS OF LIVING SPACE ON NORTH END OF BRIDGEPORT! Many options, 3 bedrooms on 2nd level living space, with finished attic option for 4th bedroom, office or plenty of storage. Finished basement with living room, bedroom, full bath and kitchen for in-law suite, family room, or even rent to a college student or use as a 4th or 5th bedroom for family. Investors have opportunity to maximize rental income if so choose with renting basement as well, to produce more income with separate entrance. Large beautiful back yard, just waiting for summer fun. Shed included as well as newer fence, and stainless steel electric appliances in basement in law suite. Quiet street with close proximity to bus line, highway and shopping. Clean and maintained home just waiting for the right buy to make it their own. Will not last! Scheduling showings for 5/17 and beyond or accepting offers now with inspection contingency prior to 5/17. TENANT IS MONTH TO MONTH. DO NOT DISTURB TENANTS OR KNOCK ON DOORS. COVID PRECAUTIONS ARE VERY IMPORTANT AT THIS TIME.","Single Family Residence","1920","6,969 sqft"
