"Price","Bed","Bath","Area","HouseURL","Description","Type","Built","Lot"
"$369,900","4 bds","3 ba","2,120 sqft","https://www.zillow.com/homedetails/157-Woodland-Dr-Cheshire-CT-06410/60017213_zpid/","Welcome to 157 Woodland Drive, a classic center hall Colonial on quiet street. This home has hardwood floors throughout, large front to back living room with wood burning fireplace, dining room with corner cabinet, eat in kitchen that opens to family room, with wood burning fireplace,  and door to back yard and patio. First floor Laundry in half bath. Second floor has master bedroom with en-suite bath, 3 additional bedrooms and hall bath. Lower level could be finished for additional space. City Water~Septic~Newer Roof~Vinyl Siding~Some Windows replaced~Newer Boiler~New Garage Door. Walking distance to Chapman School.  Walk to town, shopping and restaurants. Priced for cosmetic updates that are needed.","SingleFamily","1967","18,730 sqft"
"$389,900","5 bds","3 ba","4,732 sqft","https://www.zillow.com/homedetails/428-Squire-Hill-Rd-Cheshire-CT-06410/60016770_zpid/","HIGHEST AND BEST OFFERS DUE BY FRIDAY, APRIL 30th at 5:00PM. Let your imagination run wild with renovations in this 3,172 square foot Colonial in desirable Nob Hill. Located on a beautiful acre lot, this home offers great space for the whole family. All large rooms throughout. 5 bedrooms, 3 full baths, 3 fireplaces, screened porch, central air plus an additional 1,560 square feet of finished space in the lower level.","SingleFamily","1966","40,946 sqft"
"$330,000","3 bds","2 ba","1,972 sqft","https://www.zillow.com/homedetails/1000-Amherst-Pl-Cheshire-CT-06410/57895894_zpid/","Custom Ranch  Great cul-de-sac location Electric Heat! Regulate the heat in each room! Very private setting with level rear yard.  Quiet subdivision location at end of street. Very long deck accessed by sliding glass doors living room with cathedral ceiling.","SingleFamily","1973","56,192 sqft"
"$369,900","2 bds","2 ba","2,505 sqft","https://www.zillow.com/homedetails/1141-S-Meriden-Rd-Cheshire-CT-06410/57896013_zpid/","Special property with a very large Ranch style house with a lot of extras and endless possibilities. More than enough space for an office, antique shop, retail store, other home business or car collector. The house has an updated kitchen with tile floor and 2+ bedrooms with hardwood floors, very large (35' x 20') family room with dry bar, vaulted ceilings, hardwood floor, ceiling fan and slider door, dining room with French doors and living room with hardwood floor, 1.5 baths and a large covered porch. Newer Air condition compressor, insulated windows and vinyl siding. The basement with a walk-out door offers a lot. Heated garage with 819 square feet, 2 other large rooms, large laundry/storage room and a wine cellar. Property also includes a 3 car detached garage and an 1850s post and beam barn with 1152 square feet that can be used or rented after updating. All are on a 1 acre corner lot with a small pond. Due to its location, it can be used as an investment property; the tenant can stay or can move out. The new owner can live on the main floor and rent the garages, other rooms or the barn for a nice steady income.","SingleFamily","1940","43,560 sqft"
"$369,900","4 bds","2 ba","2,708 sqft","https://www.zillow.com/homedetails/477-Sharon-Dr-Cheshire-CT-06410/60018867_zpid/","The search is finally over! Lovely ranch-style home centrally located in a quiet neighborhood within the heart of Cheshire. This home has been meticulously maintained by its original owners for 53 years. Recently waxed, natural oak hardwood flooring throughout. The living room allows a great space for entertaining with a beautifully updated fireplace. Two oversized garages with a newer driveway & newer roof! The partially finished basement allows for additional living space and a generous amount of storage space. Sit inside your 3 season porch and overlook your picturesque backyard with specimen and flowering trees!","SingleFamily","1963","26,571 sqft"
"$579,900","4 bds","3 ba","3,470 sqft","https://www.zillow.com/homedetails/718-Cortland-Cir-Cheshire-CT-06410/60017783_zpid/","Welcome to Cortland Circle and this impressive Colonial offering over 3400 square feet of living space.  Beautifully landscaped with flowering trees, and groomed lawns of 1.44 acres showcases the impeccable quality found throughout this home. The front door is accented with a palladium window & gilded sunburst inviting all into the 2-story foyer revealing a very open floor plan bringing the living room, family room and kitchen together. The family room, currently used for dining has an attractive fireplace framed in natural stacked stone adds to the living room decor. The kitchen offers plenty of counter space and custom quiet-close cabinetry for storage. Sliding doors open onto the deck with powered awning for warm weather dining and cool relaxation.  Off the foyer is a den that could also be the dining room. The laundry is located off the kitchen with a half bath. The 2nd floor consists of 4 spacious bedrooms including master suite with luxury bath featuring double sink, granite top vanity, walk-in tiled shower and walk in closet. 3 more bedrooms enjoy use of a common bath with granite counter & custom tiled shower. The lower level offers 1000 sq ft of finished space including family room with sliders to yard, in-home office space as well as cedar closet and storage.  This home is truly move-in ready with host of amenities including irrigation system, retractable deck awning and more. Enjoy Cheshire living with Old Bishop Farms, the organic farm & legacy of the community.","SingleFamily","1984","62,726 sqft"
"$349,000","3 bds","2 ba","1,656 sqft","https://www.zillow.com/homedetails/157-Contour-Dr-Cheshire-CT-06410/58893960_zpid/","Impeccable decorating in this one level Ranch on a large level fenced lot!!! Home features: alarm system, central air, central vac, invisible fence, outside lighting, sprinkler system, solar panels only $105.00 per month and aprox. electric bill of Only $10.00 per month!!!Gutter helmet system to keep gutters clear !  Hardwood and tile flooring, sunken great room with fireplace and sliders to patio! Lovel open dining room with dry bar. 3 Lovely bedrooms with hardwood floors! Custom window treatments throughout to remain. Invisible electric fence as well as fenced rear, park like  yard. Mud room with sliders to back yard and half bath make this the perfect home to entertain in. Partially finished lower level family room and laundry room. Freshly painted and tastefully decorated throughout. Must see to believe!!! City water and sewer, ample parking and lovely landscaping. Gorgeous is an understatement!!!!","SingleFamily","1955","20,473 sqft"
"$315,000","3 bds","1 ba","1,076 sqft","https://www.zillow.com/homedetails/206-Crescent-Cir-Cheshire-CT-06410/60018921_zpid/","Highly desired open floor plan- just what today's buyer is looking for! Pack your bags and get ready to move right in! This sunny, inviting 3 bedroom, 1 bath Ranch home in popular south end neighborhood, has been tastefully updated throughout. Enjoy cooking in the updated kitchen with beautiful newer cabinetry,  granite counter tops, tile backsplash, tile floor, and stainless steel appliances. The full bath has been beautifully updated including elegant new tile in the shower. This adorable home also features newer: main level windows including the bow window, vinyl siding, a Mitsubishi Heating/Cooling energy efficient wall mount unit, many of its lighting fixtures, playscape, and more! Relax after a long day or enjoy barbequing out on the spacious deck that overlooks the level backyard and playscape! Nice convenient location, near schools, shopping, restaurants, and businesses, with easy access to highways to New Haven and Hartford, New York, and Boston!","SingleFamily","1955","21,780 sqft"
"$455,000","Studio","-- ba","50 sqft","https://www.zillow.com/homedetails/687-S-Main-St-Cheshire-CT-06410/2071979670_zpid/","THIS LISTING IS FOR VACANT LAND WITH ALL APPROVALS ONLY. Amazing investment opportunity! This multifaceted building lot is zoned R-20A which means you can either build the 7 FULLY APPROVED apartments/condominiums OR build a custom office building that meets your particular needs.  Ideal location for either since it is situated conveniently to parks, shopping, bike trails, and coffee shops.  Rendering depicts 7 unit approved project.  Property has been cleared, building removed, fill brought in, approvals granted, and is ready to go!  Also see commercial listing MLS #170394060   Agent related to owner.","SingleFamily","2021","30,056 sqft"
"$350,000","5 bds","4 ba","3,500 sqft","https://www.zillow.com/homedetails/571-W-Main-St-Cheshire-CT-06410/60017344_zpid/","Built By Hand when president Washington gave His first State of the Union address. Restored & modernized in the 1990s with modern plumbing , electrical & insulation. Redesigned for modern lifestyle with exposed beams , an open floor plan &south glass. Overlooking West Main Business District & Farmington Canal Bike Trail with brick sidewalks & traditional streetlamps. The Formal Front of the house faces east in order to view the steeple on St Peters Church.","SingleFamily","1790","22,651 sqft"
