"Price","Bed","Bath","Area","HouseURL","Description","Type","Built","Lot"
"$295,000","2 bds","3 ba","1,190 sqft","https://www.zillow.com/homedetails/38-2nd-Ave-East-Haven-CT-06512/57903185_zpid/","Charming 2 bedroom Dutch Colonial home in walking distance to Cosey Beach! This vintage 1917 beach cottage has the original stone fireplace and beautiful hickory flooring and wainscoting in the living room. The remodeled eat-in kitchen has new stainless steal appliances and a breakfast bar. The laundry room is located on the first floor along with a half bathroom. The upstairs has two bedrooms, both with private remodeled full baths. One has wall to wall carpeting and the other hardwood floors. The landscaped back yard has a private patio and deck for all your outdoor entertaining.There is also a large shed for storage with a built in bar area for summertime fun!Come enjoy this water front community of Momauguin with its sandy beaches,playground and wonderful neighborhood restaurants.","SingleFamily","1917","3,920 sqft"
"$229,000","3 bds","2 ba","1,460 sqft","https://www.zillow.com/homedetails/9-Lenox-St-East-Haven-CT-06512/58896233_zpid/","The pluses of the property, all new windows, furnarce is only 8 years old, roof is 2 years old. there are 9 foot ceilings, and crown molding.    Hardwood and softwood in all rooms except for kitchen.  there is a garage, and what was once a patio, there is half balth on first floor, and 1 full bath upstairs.  Kitchen and baths need some updating,, this house has great bones, and ready for someone to bring it back to its orignal splendor.   Call for your private showing.","SingleFamily","1922","4,791 sqft"
"$329,000","3 bds","2 ba","1,604 sqft","https://www.zillow.com/homedetails/54-Edward-St-East-Haven-CT-06512/58896650_zpid/","Lovely classic street of East Haven, among many charming colonials, sits this cared for Dutch Colonial with inground pool and detached two-car garage to enjoy. Hardwood floors, large sunny three-season sunroom to soak up the rays on a New England day - even in the winter!  Living room with large fireplace, formal dining room, spacious eat-in kitchen, plenty of cabinetry, skylight. Door leads to the backyard, inground pool area, fully fenced yard. Pool has newer liner, equipment. Large main bedroom upper level, with walk in closet, sitting area, jack & jill full bath. Two additional bedrooms, plenty of closet space. Pull down stairs for floored attic with extra storage.  1.5 Baths.  Take the Train to Work from this home! Bike to Beach!  Two car detached garage, driveway, flag pole in front yard, complete with tree and mature plantings. Walk to Library, Town Hall, Restaurants, and shopping.  Newer mechanicals, roof, hot water heater, furnace. Turn key ready! You have a pool in the backyard - no grass cutting!","SingleFamily","1930","5,227 sqft"
"$239,900","3 bds","1 ba","1,840 sqft","https://www.zillow.com/homedetails/21-Brookfield-Rd-East-Haven-CT-06512/58895982_zpid/","Come enjoy the privacy of this Cozy 3 bedroom, 1 bathroom Ranch on a quiet dead end street in this desirable area.   Basement is partially finished with heat, could be used as a fourth bedroom. Needs updating, and TLC. Newer windows throughout the home, and newer mechanicals. More pics to come soon! Come see the potential this Diamond in the rough has!  *** LR, KITCHEN, HALLWAY, ALL CEILINGS ,AND 3 BEDROOMS ALL ARE BEING REPAINTED.","SingleFamily","1955","14,374 sqft"
"$299,900","3 bds","1 ba","1,180 sqft","https://www.zillow.com/homedetails/39-1st-Ave-East-Haven-CT-06512/57907161_zpid/","A beautifully refinished beach house is now available in East Haven! Within walking distance to public beaches, this home has over 1150 square feet of space and features 3 bedrooms and 1 bathroom. Updated throughout this home is a must See.","SingleFamily","1935","2,613 sqft"
"$314,900","3 bds","2 ba","1,828 sqft","https://www.zillow.com/homedetails/63-Waldo-St-East-Haven-CT-06512/58896594_zpid/","WELL MAINTAINED one owner home was custom built and meticulously maintained. It has many special features and the house is warm and sunny.  The living room is spacious and it leads into an open kitchen/dining room which is bright and sunny.  There are granite counter tops and a ceramic tile floor. Over the kitchen island additional sunlight comes from the skylight. Off the kitchen is a mudroom which is perfect for those entering from the yard and for additional storage. The family room is spacious and it overlooks the grounds. There is a smaller office which is perfect as a computer room as well. Let us not forget three large bedrooms with a full bath off the master bedroom. The lower level is partially is partially finished. The oversized one car garage is attached. Between the custom ceramic tile and the hardwood, you will be pleased. This is a special home. The house has solar panels leading to an amazing electric bill. Solar panels are owned!!   NO EVENING SHOWINGS!!!!","SingleFamily","1964","8,712 sqft"
"$214,000","3 bds","1 ba","1,392 sqft","https://www.zillow.com/homedetails/39-High-St-39-East-Haven-CT-06512/2077131874_zpid/","Cozy Affordable updated Colonial! 3 bedroom - 1 bathroom recently updated. Hardwood Floors throughout. Updated kitchen with Stainless Steal Appliances. Master Bedroom offers huge walk-in closet. Conveniently located near bus line, shopping and restaurants. Great investment or Starter home.","SingleFamily","1923","No Data"
"$449,000","5 bds","4 ba","4,392 sqft","https://www.zillow.com/homedetails/171-Angela-Dr-East-Haven-CT-06512/174459584_zpid/","We invite you to view this .67 acre Colonial home in the beautiful neighborhood of East Haven. Upon entering this home you may find a beautiful living area with a grand double sided fireplace with a multi-colored stone fireplace surround reaching up to the ceiling. On the other side of that wall there is a dining room area with some cabinetry. Past this dining room you will find another brightly lit room with vaulted ceilings and skylights, plenty of windows and slider doors to the backyard patio. The eat in kitchen is spacious with plenty of cabinetry, granite countertops and island and a warm bow window overlooking the paved patio in the backyard. The first floor is home to a master bedroom and bathroom with walk in shower as well as 1.5 baths and a main level laundry room! On the second level you will find another master bedroom with bathroom as well as a Jack and Jill bathroom and three other bedrooms. Additionally there is a highly spacious room with vaulted ceilings and motorized sky lights that will close automatically if it starts raining. This space can be used as a recreational room or additional bedroom if desired. Oakwood flooring and doors throughout home! Basement can easily be finished as it already has walls, plumbing and electric heat in place.","SingleFamily","1988","29,185 sqft"
"$264,900","3 bds","1 ba","948 sqft","https://www.zillow.com/homedetails/129-Henry-St-East-Haven-CT-06512/57907976_zpid/","Fantastic opportunity to own in the desirable Momauguin neighborhood! Just steps to the East Haven beach and shoreline restaurants, this prime location makes it a perfect choice for year round beach community living. As you enter the home, you will instantly notice the living room's vaulted ceiling and skylights. The main floor continues to flow beautifully into the updated kitchen space and dining area. A bedroom and full bath complete the main level. Head upstairs to find two additional bedrooms. The beautiful main bedroom boasts a vaulted ceiling. The home also boasts an over-sized yard, which includes a back deck, screened in porch, and a fenced in backyard. The detached two car garage includes two bonus rooms, great for entertainment and/or storage. Best of all - NO FLOOD INSURANCE!","SingleFamily","1920","6,098 sqft"
"$139,900","3 bds","1 ba","1,072 sqft","https://www.zillow.com/homedetails/11-Dodge-Ave-East-Haven-CT-06512/57909327_zpid/","GREAT LOCATION -  CLOSE TO SHORELINE, BEACH, DOWNTOWN EAST HAVEN, AIRPORT, SHOPPING, RESTAURANTS, ON BUSLINE AND CLOSE TO I95. COLONIAL STYLE HOME WITH ENCLOSED FRONT PORCH, 6 ROOMS, 3 BEDROOMS AND 1 BATH, DETACHED 2 CAR GARAGE, OFF STREET PARKING,  ON LEVEL .15 ACRE LOT.","SingleFamily","1915","6,534 sqft"
