"Price","Bed","Bath","Area","HouseURL","Description","Type","Built","Lot"
"$899,000","4 bds","3 ba","3,191 sqft","https://www.zillow.com/homedetails/114-Brookmere-Dr-Fairfield-CT-06824/58783246_zpid/","Welcome to this newly updated Colonial home, situated on a manicured street in sought after University neighborhood of Fairfield. This home sits on a beautifully landscaped half acre which is professionally maintained and intentionally designed to make this home feel like a retreat. Main level has an open concept flow with all the wonderful features of a recently updated Colonial. The kitchen connects both living areas on the main level with pocket doors offering the separation of the FR and DR. From the foyer step into your newly updated state-of-the-art bright kitchen, outfitted with new apron sink, subway tile backsplash, Thermador range, SS appliances, Quartz countertops, large island, storage pantry and exposed beam. Holiday-sized DR with a wood burning fireplace and custom built-ins leads to the large FR with access to back patio, attached 2-car garage and kitchen. Also off the DR is a wonderfully situated home office with custom built-ins and desks. A second large sun drenched FR with a wood burning fireplace, full bath, and storage closet with plenty of room for play and cozy movie nights! French doors open up to the gorgeous stone patio. Spacious backyard is perfect for entertaining on the patio or hosting s’mores night on custom built fire pit landing. On the second level are four large bedrooms with ample closet space and full hall bath with his and hers vanity. Minutes from WholeFoods, Beaches, Train, and Restaurants & Shopping. Best of all, it could be yours.","Single Family Residence","1939","22,651 sqft"
"$639,000","3 bds","3 ba","3,146 sqft","https://www.zillow.com/homedetails/125-Sky-Top-Ter-Fairfield-CT-06825/177235499_zpid/","Gardener’s paradise awaits in this quiet Fairfield neighborhood. This Charming mid-century 3B/3Bath ranch style home is surrounded by beautiful and organically maintained yard (no pesticide!) and private back yard. Main level features three (3) bedrooms, 1.5Bba, grand living space and a 220sf enclosed porch that have water views in winter months. Custom kitchen w/ classic draw pulls and gliding drawers, granite counters stainless steel appliances and a double oven. Lots of cabinetry and granite desk that serves as a dedicated area for homework/pay bills. Lovely cork floor entryway and wood floors throughout. <>  Finished lower lvl opens to paver patio surrounded by cedar raised beds and perennial gardens. 1,071sf includes additional living space with built-in closet space --perfect for entertainment, gym or playroom! Glass French doors lead to a separate office or guest bedroom that features a wood burning fireplace!   An additional full bathroom has just been gut renovated with shower, floating vanity and sink.  Laundry room with slop sink and storage and utility room add an additional 462 sf <>   Just shy of 3,000sf of living space: Ranch style footprint includes 1,613+ 220sf encl. porch  + 1,613sf walk out lower level (over 1,000sf of finished space!)   <>  Other Notable Features:  Double attached garage includes EV charging station.  Central Air  Perfect house for rooftop solar!","Single Family Residence","1954","17,859 sqft"
"$525,000","3 bds","2 ba","1,824 sqft","https://www.zillow.com/homedetails/319-Bennett-St-Fairfield-CT-06825/57289796_zpid/","Get ready for Summer weather and bike ride along this quiet Fairfield cul-de-sac! This Charming 3-Bedroom Colonial home features 3 Bedrooms and full bath on upper level. Traditional Colonial entry brings you into a bright and freshly painted spacious living room with four windows, a separate dining room for your gatherings and wood floors throughout. A powder room is conveniently located off the Kitchen area for your entertaining needs. Basement includes and additional 384sf of finished space that has 2 oversized storage closets and a separate utility room for all your extra storage!     Other Notable Features: 1-Car Garage, Newer Roof 2020, Central Air, 1,824sq ft include 720sf main, 720 sf upper plus +384sf basement (additional 336 sf of unfinished basement space make this home 2,160sf)","Single Family Residence","1958","5,662 sqft"
"$799,000","3 bds","3 ba","2,535 sqft","https://www.zillow.com/homedetails/111-Toll-House-Ln-Fairfield-CT-06825/57289437_zpid/","Looking for the freedom of a single family home, but tired of the maintenance of a large house? This special home has just what you’ve been searching for.    The entire house has been rebuilt to exacting standards in the past 5 years, including all elements of the infrastructure, inside and out, as well as the grounds, to create a home of comfort and security.  400 sq. ft. chef’s kitchen is the CenterPoint of the home.  A recent addition, its cathedral ceiling creates a feeling of openness and functionality rarely seen in homes at this price point.  Perfectly proportioned, it was created with entertaining in mind.  Deep,  soft-close drawers allow ample storage of cutlery, porcelain and cooking utensils. A huge island can seat as many as 5 guests for casual dining.   High end stainless steel appliances, including GE monogram 6 burner gas stove and exhaust hood, GE oven, microwave drawer in island, and GE refrigerator with ice dispensing, will satisfy even the most demanding cook. A large pantry with pull out shelving meets all expectations for other storage. The double wide stainless sink with huge window above it looks out onto the ever-changing views of the garden.  Fabulous lighting fixtures (bronze pendant lights, matching sconces) and overhead lighting.  Two exterior doors in the kitchen give access to the inground heated pool and granite patio recently added for grilling and outdoor dining, as well as a Trex deck & gas firepit. See addendum for additional information","Single Family Residence","2017","25,264 sqft"
"$649,000","3 bds","2 ba","2,186 sqft","https://www.zillow.com/homedetails/43-Palamar-Dr-Fairfield-CT-06825/57293343_zpid/","Nestled on a tree-lined street in the desirable Fairfield Woods neighborhood you will find this updated Colonial home with a gorgeous backyard.  Just steps away from the library and schools, with a neighborhood park at the end of the street featuring a basketball court, ball field, and playground.  Short bike ride to Lake Mohegan, 5 town Beaches, and Fairfield shopping and restaurants!  The entire home has been freshly painted, and hardwood floors refinished.  The living room features a fireplace with crown molding leading to the modern eat-in kitchen with white shaker cabinetry, quartz countertops and stainless appliances. The bonus room, currently used as a dining room, could be reimagined as a guest bedroom/inlaw with the easy addition of a shower in the attached laundry room/half bath.  Pocket doors lead to the family room with views into the yard and rock garden.  Step out onto the beautiful bluestone patio just waiting for you to sit and have your morning coffee or entertain family and friends! Spacious private, peaceful backyard and two side yards, one with a garden area. Basement has a large dry storage area, an additional laundry area and a finished playroom.  Newer Gas furnace-clean gas heating already installed for you! Great commuter location-convenient to Merritt Parkway and I95, and a short ride to the two convenient Fairfield Train stations.","Single Family Residence","1948","13,939 sqft"
"$1,950,000","4 bds","4 ba","3,958 sqft","https://www.zillow.com/homedetails/475-Rowland-Rd-Fairfield-CT-06824/57297430_zpid/","Unmatched quality with this custom built home. Stunning FEMA compliant 4BR, 3.5BA home located in one of the most desirable streets in the Beach area with a private gated driveway and gunite pool with spa. Short walk to the beach, downtown, restaurants, shops and train. Superior quality and attention paid to every single detail. High-end chef's kitchen with statuary marble and Viking appliances + open concept family room and dining area. Radiant heat on 1st floor. Massive walk-in pantry, living room and a possible home office or dining room round out the 1st floor. On the 2nd floor, enjoy your master suite with boutique-style walk-in closet, gas fireplace and spa-like bath. Laundry room on 2nd floor + 2 additional bedrooms and full bath. 3rd floor boasts high ceilings with a rec room/playroom/man cave/gym space plus a 4th bedroom & full bath. Pool has an auto cover. 2-car garage. Waterworks and Ubran Archaeology fixtures. Wind engineered home.  Brand new washer/dryer, dishwasher and new automation panel for the pool heater that can be managed through an app.  Tenants in place through August.  Photos taken prior to tenants moving in.","Single Family Residence","2006","10,454 sqft"
"$1,225,000","5 bds","6 ba","4,376 sqft","https://www.zillow.com/homedetails/325-Wood-House-Rd-Fairfield-CT-06824/57295440_zpid/","Prepare to be 'WOW'ed! Vacation every day in this extraordinary, resort-like property boasting 4300+ SF of luxury living and entertaining. Located in a friendly neighborhood in bucolic Greenfield Hill, this pristine 'Slice of Heaven' is FRESHLY painted, beautifully renovated & ready for summertime FUN! So much to LOVE...spacious White Gourmet Kitchen, lavish Master Suite, breathtaking Grounds w/Pool, and sensational Lower Level w/Amenities galore! The Main Floor offers the ideal combination of both open and designated spaces – perfect for the modern buyer's aesthetics and at-home lifestyle. Versatile gathering areas include gracious Living Rm and cozy Den - both with fireplaces, Dining Rm, and magnificent sun-drenched Great Rm providing captivating views of the gorgeous backyard + French doors leading to wrap-around stone patio. Something for everyone in the STUNNING walk-out Lower Level including Media/Rec Room w/ custom built-ins + 60"" fireplace, Guest BR/Office, ‘Equinox-style’ Gym + Sauna, Full Bath, and sunny Laundry area. Outdoors, relax in the heated pool, dine alfresco on the patio, gather around the gas firepit & enjoy sports in the sprawling, level, custom designed backyard. The icing on this heavenly cake are many EXTRAS: Pool house (w/full bath + loft), Bose sound system, large shed (think Party Barn or She-Shed), generator, irrigation & Tek'd out garage. Approx 10 min to Town, Train/95 & Merritt. Enjoy everything Fairfield has to offer! See 3D Tour + floor plans.","Single Family Residence","1968","88,862 sqft"
"$1,239,000","4 bds","5 ba","3,200 sqft","https://www.zillow.com/homedetails/73-Partridge-Ln-Fairfield-CT-06824/57299437_zpid/","Another newly renovated home by Associated Development; a local Fairfield Builder.  Ready Sept 1. 4 bedrooms, 3 FULL, 2 HALF baths. Partially finished basement.  Meet the builder and customize this home to you specifications.  Hardwood floors throughout.  Level lot, detached 2 car garage, sprinkler system, sod.  Rare opportunity to have it your way! PLEASE NOTE, PICTURES ARE SIMILAR AND ARE FROM ANOTHER PROJECT THAT WAS JUST COMPLETED!  HOME IS IN THE BEGINNING RENOVATION STAGES. Plans are subject to change.  Optional third floor with 5th bedroom and bath/bonus room.","Single Family Residence","1959","9,583 sqft"
"$519,900","4 bds","2 ba","1,315 sqft","https://www.zillow.com/homedetails/119-Westford-Dr-Southport-CT-06890/58785152_zpid/","Your gateway to Southport! Situated on a double cul-de-sac, this classically kept cape was fully renovated in 2010 and is a commuter's paradise. 119 Westford Drive is a short walk (.5 miles) to the Southport train station with a 50-minute commute into NYC, convenient to I-95, and approximately 1 mile from Southport Harbor, .2 miles from both the Pequot Library and Southport Village, with beach rights! Upon entering, the hardwood floors flow throughout, beginning with the family room and leading to the freshly remodeled kitchen with a gas range, granite countertops, and stainless-steel appliances. Offset from the kitchen is the dining room abundant with natural light that pours in from the adjacent sunroom. The lower level is complete with two additional spacious bedrooms and a full-sized bathroom. True to the traditional cape cod floorplan, upstairs you will find the third and fourth bedrooms plus the half bath. Gather with family and friends in the well-manicured backyard complete with a private deck. Included in the renovation, the partially finished basement is fully insulated to comfortably house the laundry room and the newly replaced hot water heater. Rounding out 119 Westford Drive, enjoy natural gas heating and central air throughout. Enjoy the best of Southport living in this authentic Southport charmer.","Single Family Residence","1950","6,534 sqft"
"$399,900","3 bds","1 ba","1,633 sqft","https://www.zillow.com/homedetails/492-Ruane-St-Fairfield-CT-06824/57300714_zpid/","This is a total rehab property waiting for the buyer that will take it the next level and or level the property and start from fresh and build new.  You will have to follow the FEMA guidelines and town requirements.  All utilities have been disconnected.  This has good bones but will require extensive renovation area of higher priced homes and close walk to water, town, and beach.      This will be eligible under the First Look Initiative which expires after 20 full days on market.  No investor offers until first look period expires.  No offers regardless of buyer type will not be negotiated within the first 7 days of listing.    This will be sold subject to seller addendum.      While this will be hard to finance in current condition EMD to be 1% or $1000 whichever is great and for cash offers EMD to be 5% or $5000 whichever is greater and you can always to do more down.      We have uploaded into addendums information your agent can provide you.  Elevation survey attached to those docs.    Oil tank was removed.      Flood insurance will be required.      Seller will need documents to comply with OFAC that is government ID for all buyers making offer and any LLC all parties.  Driver's License with Gold Star and Passports will be accepted.","Single Family Residence","1929","9,583 sqft"
"$849,000","5 bds","4 ba","3,219 sqft","https://www.zillow.com/homedetails/290-Alma-Dr-Fairfield-CT-06824/177278437_zpid/","Tranquil riverfront living in sought after University area neighborhood. So close to town & train. Light, bright & open!  Beautifully renovated with renovated kitchen & 4 new baths.  Kitchen opens to family room with vaulted ceiling, fireplace & serene river vistas. Overlooks expansive level yard and 2-tier deck perfect for entertaining or just relaxing.  1st floor master with gorgeous bath and adjacent bedroom or office could be converted to even more spacious master suite. 2nd floor features bonus room, laundry room, full bath & 3 additional bedrooms.  Could easily accommodate 2nd floor master.  Finished lower level with spacious play/rec room, ½ bath and ample storage. Large 2 car garage completes the picture.  Just 1.5 miles to vibrant town center & metro north train. 1/2 mile to award winning elementary school.  Minutes to beaches, golf, marina & parks.  Waterfront community 50 miles from NYC offering coastal charm, historic preservation, wonderful restaurants, shops, theatre & 2 Universities. Don’t miss this very special find! **Highest and Best due by 5/3 10am**","Single Family Residence","1961","9,583 sqft"
"$584,000","3 bds","2 ba","2,486 sqft","https://www.zillow.com/homedetails/392-Jefferson-St-Fairfield-CT-06825/57289494_zpid/","Completely renovated bright, light and comfortable! Check out this 3 bedroom 1 bath raised ranch with legal accessory apartment currently rented for $1,800/Mth. A unique opportunity. Whether you would like to move in upstairs and rent the apartment with its own separate access from the rear, or you are looking for an investment opportunity, this house is perfect for you. Spacious living room with fireplace, hardwood floors, updated kitchen with gas range, newer stainless appliances, and granite counter tops, plenty of closet space, small sunroom off of the kitchen. Fully floored attic storage. 33 solar panels provide most or all electricity depending on usage. Natural gas heating and tankless hot water heater. Standby automatic 20kwh natural gas generator (full house). 0.5 acres of sloped lawn with various fruit trees. Spacious patio to the left of the house to enjoy summer cookouts and beautiful sunsets. All the work has been done! Close the Merrit, shopping, the Trumbull Mall and the Easton farms, like Silverman’s, yet peaceful and surrounded by nature. Great investment! Completely renovated! No work needed! The lowest utilities you have seen! Come take a look!","Single Family Residence","1950","20,473 sqft"
