Price,Bed,Bath,Area,HouseURL,Description,Type,Built,Lot
"$484,900 ",4 bds,3 ba,"2,046 sqft",https://www.zillow.com/homedetails/62-Jamestown-Dr-Guilford-CT-06437/58899563_zpid/,"First time offered by the original owners. This home is an expanded charming 4 BR, 2.5 bath cape with outstanding curb appeal located on a picturesque private serene setting on cul-de-sac, yet just minutes to town green.  This home offers a large living room with hardwood floors, formal dining room, expansive eat-in kitchen with lots of solid oak cabinets, vented hood to the outside. The breakfast area has cathedral ceilings, skylight, French doors and lots of windows overlooking beautiful private nature's paradise. First floor offers an additional master bedroom suite with full bath, cathedral ceilings and skylights and is located off the kitchen & makes the ideal bedroom for guests or virtual office/ homeschooling if needed. From the kitchen step down into the large family room with soaring 14' cathedral ceilings, gas fireplace, knotty pine walls and sliders to deck. This will be a wonderful place to spend time with friends and family. 3 additional bedrooms on the second floor.  Enjoy summer entertaining with your heated concrete in-ground pool with built-in jacuzzi. Large deck and patio area. Beautifully landscaped grounds throughout, with a lovely front walkway to greet your guests. Ductless split air cooling system with heat pump throughout. Hardwood floors throughout most of the home, Oversized two car garage.   Fabulous location only minutes to beautiful town green, restaurants shopping, beach, quick drive to Yale & downtown New Haven with easy quick access to I-95.",SingleFamily,1978,"66,211 sqft"
"$519,900 ",4 bds,3 ba,"2,208 sqft",https://www.zillow.com/homedetails/1300-Little-Meadow-Rd-Guilford-CT-06437/174493946_zpid/,"Nothing to do but move into this updated colonial on over an acre of level land. Exterior updates include driveway, landscaping, barn renovation (siding, doors, windows), fenced in yard, paver patio, trex/vinyl deck, replaced roofs/gutters on main house & barn, drainage for gutters to exit away from house, septic replaced in 2016 with 1500 gallon tank, water filter/neutralizer with separate dry well, well pump replaced in 2018.  Interior features hardwood floors throughout, updated baths and brand new ensuite bathroom, kitchen with granite counters and stainless steel appliances, large family room with floor to ceiling stone fireplace with new liner/cap/waterproofing - direct vent propane - dual burner & blower system.  Interior upgrades include a renovated sun room with new windows/skylight/flooring, first floor 3 zone mini split wall units, second floor central air & heat pump, security system tied to cellular, laundry brought to the second floor, updated water heater and 200 amp electric service with dedicated homeruns.  Showings begin 4/27/21.",SingleFamily,1975,"49,222 sqft"
"$289,900 ",3 bds,1 ba,"1,085 sqft",https://www.zillow.com/homedetails/183-Sachem-Head-Rd-Guilford-CT-06437/58901759_zpid/,"Ideal starter or empty nester home!  If you are looking to buy a home in Guilford under 300k, here is your chance!  This 3 bedroom ranch offers some wonderful features and upgrades, including hardwood floors throughout, eat-in kitchen with gas stove, separate laundry/mudroom, living room/dining room and 3 spacious bedrooms!   Just a short distance to downtown Guilford and to local beaches, this home also has several new windows, 200 amp electric, CITY WATER and a newer septic system replaced in 2011.  In the rear of the property, at the top of the hill are gorgeous marsh views  -a nature lovers dream!  In addition, there a separate outbuilding that is the perfect “man cave” or can be used for a workshop or extra storage.  Don’t miss out on this opportunity!  With the big ticket items done, and a few cosmetics this home can be the one!'  ***ALL OFFERS HIGHEST AND BEST DUE BEFORE WEDNESDAY 4/28 AT NOON****",SingleFamily,1945,"48,787 sqft"
"$599,000 ",4 bds,3 ba,"3,116 sqft",https://www.zillow.com/homedetails/30-Andy-Ln-Guilford-CT-06437/58903316_zpid/,"Come take a look at me now! This beautiful home that was recently featured in the article from the Foundation Up, has gone through an amazing transformation that is most pleasing to even the most discerning eye. Completely refurbished from top to bottom with glimmering hardwood floors, volumes of new lighting, ceilings and walls cloaked with fresh paint are foremost in every room. The kitchen has been treated with all new appliances and fixtures. The main level living area features a wonderful double-sided fireplace. Beyond this room's French doors and on the other side of the double-sided fireplace is a room that is grand and boldly contemporary.  This expansive space has soaring ceilings, a prime-time entertainment center and a majestic sunroom that brings every season within your grasp. The upper level consists of 4 private spaces that are warm and inviting. The primary bedroom features an entirely new soothing and relaxing en-suite bath. The outdoor space is wonderfully private and boasts an expansive deck area that is both off the kitchen and sunroom. Fresh, airy, and bright, this home is truly a delight.",SingleFamily,1999,"69,260 sqft"
"$829,000 ",4 bds,4 ba,"3,797 sqft",https://www.zillow.com/homedetails/490-Tanner-Marsh-Rd-Guilford-CT-06437/82405079_zpid/,"Stately and Meticulous colonial. Close to Guilford Town Center! Home located on the desirable Tanner Marsh area! Surrounded by homes of same quality and size. 1.73 acres of lane. Private lot, with cleared back yard area plenty of space for back yard entertaining! Inside the house offers open floor plan. Generous sized kitchen with granite counters, center island with sitting area, large eating area and wide open to the living room area with fireplace. Hardwood flooring through out the first floor. Kitchen has a large pantry area just off the entrance from the garage. Dining room is large and plenty of room for large table and holiday entertaining. There is a family room area or can be utilized as a first floor office space as well just off the foyer. Upper level offers a large master suite complete with full bathroom, jacuzzi tub, walk in closet. There are 3 additional bedrooms. One has its own private bathroom. The other 2 bedrooms are set up like a ""jack and jill"" accessing one main bathroom. There is an upper office space with large windows over looking the back yard and double French doors as an entrance. Hardwood flooring and turned staircase in a open double story foyer makes a grand entrance to the home and upper level. Three Car garage attached with cabinets for extra storage. Laundry on upper level. Fantastic layout in this house. A completely turn key home ready for you! Fabulous Location. Located close to East River Preserve Trails.",SingleFamily,2005,"75,358 sqft"
"$849,900 ",5 bds,4 ba,"4,955 sqft",https://www.zillow.com/homedetails/394-Northwood-Dr-Guilford-CT-06437/174497836_zpid/,"What an incredible property with an estate feel. This home has i all. Spacious home with large bedrooms, plenty of living space, first floor bedroom w/andicapped roll-in shower. Eat in kitchen full of lovely natural light opens to den, with sliders to sizeable back deck. Mechanically well-updated, with geothermal (with oil backup), solar panels, and central AC and full-house generator. In law apt w/private garage. Relax in the oasis of your own back yard, with professional landscaping, private deck, and in-ground pool- these are grounds that beg to be enjoyed. Perfect for the equestrian or farm animal enthusiast, with fenced paddocks and 4 stall barn (2 have been opened up as run-ins) with tack room and hay loft. Ride right down the driveway and out to local trails! Professional photos and floor plans coming 3/26.",SingleFamily,1978,"453,895 sqft"
"$364,900 ",4 bds,3 ba,"1,862 sqft",https://www.zillow.com/homedetails/1220-Little-Meadow-Rd-Guilford-CT-06437/58903857_zpid/,"This house was a well built home - well sited on attractive lot. Set back off the road to afford privacy. Pegged cherry floors down - HW up. Gorgeous front porch to relax and enjoy the world! New boiler 2017, HW heater and well pump - 2018. It is currently a mess as it has been let go for a few years and now needs a lot of work. Possible expansion for accessory apartment in detached building site.  Management company is not responsive to the offers we currently have on the table. Agent related to owner.",SingleFamily,1953,"55,321 sqft"
"$1,600,000 ",2 bds,3 ba,"3,957 sqft",https://www.zillow.com/homedetails/5-Woods-Way-Guilford-CT-06437/2077358197_zpid/,"A Secluded Village Awaits in ""The Woods."" Experience impeccable craftsmanship in our elegant private village of five unique, luxury homes bordering a land preserve. Cluster type development – no common walls! Groundskeeping, snow plowing taken care of. Secluded setting, but business owners will be ecstatic to both live & work in this alternative to big city living. Walk to luxury office space on the grounds! In this campus-like atmosphere, also walk to the dentist, salon, restaurant, and more! The moment you enter this whimsical retreat, you'll feel an immediate sense of calm, connection, and security. Step through the high-arched stone entries to interiors etched in elegance: a blend of formal, casual, and comfortable. All aspects of our homes showcase rare quality and design that immediately demands attention. The home's heart and soul is the open-air, high-walled courtyard - an extension of the living space with elaborate stonework and an elegant custom stone fireplace soaring 20-feet - creating a solid old-world core, beautifully complimenting the home. Choose a completed home or customize these substantially finished sophisticated residences to match your lifestyle. Schedule a showing to experience all this unique property has to offer, but please feel welcome to drive by; GPS does not yet recognize Woods Way address as it is a new road. See the Woods Way Street sign at the corner of 2614 Boston Post Road & Woods Way.  Go to end to the secluded private residences.",SingleFamily,2020,"104,108 sqft"
"$300,000 ",1 bd,1 ba,"1,500 sqft",https://www.zillow.com/homedetails/1171-W-Lake-Ave-Guilford-CT-06437/58899828_zpid/,"Remarkable location on majestic and beautiful Clear Lake. This home is in need of renovation but is well worth the effort. This gorgeous lake is perfect for summer fun with swimming, fishing and non-motorized boating all at your doorstep. The home is rustic and charming and loaded with potential. The focal point of the interior is a fabulous stone fireplace that soars toward the cathedral ceiling of the living room. The one bedroom is a loft space with views of the fireplace. The kitchen is located adjacent to the dining space which has amazing views of the lake and sliders to access the deck. There is a large lounge room on the first floor with fantastic views of the lake. This room would make an ideal bunk room for occasional guests. The deck is the perfect place to relax after a day of water fun. In the basement is the ""family room"" which would be a perfect place for a TV or indoor games. Additionally, at the water's edge is a deck space in need of renovation but that offers the potential for waterside lounging. Clear Lake Improvement Association is optional and provides access to the community sandy beach and a place to launch non-motorized boats.",SingleFamily,1972,"30,492 sqft"
"$649,000 ",4 bds,5 ba,"4,799 sqft",https://www.zillow.com/homedetails/333-Bluff-View-Dr-Guilford-CT-06437/174501051_zpid/,"WELCOME TO BLUFF VIEW ESTATES 4/5 bedroom colonial sits on a 1.16-acre lot within a desirable cul-de-sac subdivision in North Guilford. Features hardwood floors throughout the first floor with inlead detail in the formal dining and living rooms, along with crown molding and wainscoting in those formal living areas. The eat-in kitchen is open to the family room which offers a wood-burning fireplace. Skylights in the kitchen allows for natural light to bathe the interior spaces, glass sliders to a large deck overlooks the private backyard. There are four bedrooms on the second floor, including the master bedroom which offers a tray ceiling with fan, walk-in closet and full bath with jetted tub and a separate shower. The bonus/recreation room and second full bath with washer and dryer are also on this level. A finished lower level walk-out offers an additional 1,039 SF of space and includes a den/sitting area, 5th bedroom, two full baths and a kitchen, perfect for guests, au pair or those looking for an an in-law or multigenerational setup. Additional amenities incude a 3-car garage, second staircase, central A/C, automatic generator, security system, walk-up attic and an elevator that services the ground floor (garage) to the second floor (bonus room). Hiking, biking and horse trails are steps away. 1.7 miles to the town beach & boat launch at Lake Quonnipaug. Approximately 15 minutes to the center of town. Easy, scenic commute to New Haven, Middletown and Hartford.",SingleFamily,2002,"50,529 sqft"
