"Price","Bed","Bath","Area","HouseURL","Description","Type","Built","Lot"
"$235,000","3 bds","2 ba","1,941 sqft","https://www.zillow.com/homedetails/584-Gilbert-Ave-Hamden-CT-06514/58906497_zpid/","Charming Ranch located in a secluded section of Gilbert Avenue in Hamden Connecticut. This lovely ranch has tons of potential, and with a little TLC can be a buyer’s dream home. The main floor of the property possesses a long living room with hardwood floors and a rustic stone fireplace.  Also, on the main floor there is a kitchen with a formal dining area, 3 decent sized bedrooms, a full bathroom, and a Den. Moving down to the lower level there is a large partially finished family room as well as a bonus room and a half bathroom. In-law conversion for the lower level may be possible with the planning of a contractor and town approval. In addition to all these great features the house is nestled on almost a full acer of land which allows for plenty of privacy. Don't miss out. Book your private showing today.","SingleFamily","1957","40,075 sqft"
"$269,900","4 bds","2 ba","1,929 sqft","https://www.zillow.com/homedetails/40-Morgan-Ln-Hamden-CT-06514/57914627_zpid/","Space and privacy in a convenient location! Stepping inside, you are greeted by a spacious living room with hardwood flooring and an abundance of light. This extends into the sunken family room, where a vaulted ceiling, exposed wood beams, and a fireplace create a cozy atmosphere, while an oversized bow window provides views of the inground pool. The rustic charm continues in the kitchen and dining room, where you’ll find exposed brick and ample storage. A bedroom and full bathroom on the main level offers the convenience of one-level living, with three additional bedrooms and the second full bath upstairs. Enjoy the seasons from the beautiful, expansive property. Jump into the inground pool in the summer, lounge in the sun, and dine alfresco. An oversized garage provides incredible storage space. Located close to town shopping, restaurants, Quinnipiac, and Yale. Schedule your showing today!","SingleFamily","1954","18,730 sqft"
"$275,000","4 bds","2 ba","1,569 sqft","https://www.zillow.com/homedetails/140-Calamus-Meadow-Rd-Hamden-CT-06514/57918903_zpid/","Neat as a pin and bursting with charm, this home is ready for its new owners. Enjoy the outdoors with this quite and serene location just across the street from peach trees, providing a beautiful spring view.  You can choose to add cosmetic touches to this solid-built abode to create a modern family home with the blank canvas on the second floor or enjoy it as is with all its charm and romance.  Inside, the floorplan offers four bedrooms, all with built-in closets and access to the bathroom. Including a primary bedroom with on-suite. There is a combined living and dining room, plus a kitchen set at the rear of the home.  Forced air central cooling provides year-round comfort. There is also an office/laundry space to work from home on the main floor, plus an attached double garage. A shed in the rear yard offers extra storage space, while the yard offers ample room for the green thumb to indulge their love of gardening.  All of this is located close to local shops, and schools, making it an ideal property for families and downsizers alike.","SingleFamily","1935","18,730 sqft"
"$259,900","3 bds","2 ba","1,342 sqft","https://www.zillow.com/homedetails/90-Lane-St-Hamden-CT-06514/57916759_zpid/","Charming three bedroom one and one half bath Cape. All freshly painted with beautiful refinished hardwood flooring. Updated baths, family room with wood burning stove. Large three season porch, central air, perennial gardens, a must see. Agent related to Seller","SingleFamily","1954","10,454 sqft"
"$239,900","3 bds","2 ba","1,645 sqft","https://www.zillow.com/homedetails/118-Kirk-Rd-Hamden-CT-06514/57920948_zpid/","Location, location, location!  You'll love this convenient location – near Quinnipiac University and downtown shops and restaurants.  The lawn Kentucky blue grass and greens beautifully!  It is level with a patio area for your outdoor fun.  Inside the house features hardwood flooring, 3 bedrooms, a full bath with private access to the master bedroom, and another half bath/laundry off of the lower level family room.  Plenty of space for all your needs and hobbies.  Oil warm air heat and central air ducts (you’ll need to install a new compressor after you purchase) and newer replacement windows.  City water and septic (city sewer in street).  This home is price to be sold and offers the buyer tons of sweat equity.  See it today – it won’t last!","SingleFamily","1960","30,056 sqft"
"$449,000","4 bds","4 ba","2,937 sqft","https://www.zillow.com/homedetails/680-Hartford-Tpke-Hamden-CT-06517/57916219_zpid/","Stately Colonial with the perfect combination of modern day upgrades and classic Spring Glen charm. This 4 bedroom, 3.5 bath architectural gem is not one to be missed! Spacious formal living room with gas burning fireplace leads to a wonderful den/family room featuring a second fireplace. The formal dining room is off the updated kitchen overlooking the lovely back yard and koi pond. The first floor offers an extremely convenient laundry room with half bath, and a potential in-law with a main level bedroom and attached full bathroom. The upper level has the perfect master suite with a full bathroom, a lovely walk in closet, and electric fireplace. Two additional bedrooms plus another full bathroom complete the spacious second floor living space. This home features such stunning curb appeal with gorgeous garage doors, while the back yard has a lovely deck - all situated on a large half acre lot which has an invisible fence. Freshly painted interior, brand new washer & dryer, and so much more!  Close proximity to Yale/New Haven, golf course and highways.","SingleFamily","1924","23,086 sqft"
"$459,900","3 bds","3 ba","2,500 sqft","https://www.zillow.com/homedetails/801-Main-St-Hamden-CT-06514/109739426_zpid/","NEW CONSTRUCTION. Open and Spacious Floor Plan. Living Room leads to the Kitchen and also has Sliders Leading to the Deck. Kitchen with Granite Countertops and Island. Master Bedroom with Full Bath and a Expansive Walk In Closet. Three Total Bedrooms. Lower level Family Room with Full Bath and Sliders out to a Patio. Laundry Room. Taxes are to be Determined The Pictures are from a previously Built Home and will be updated with Pictures from Main Street when the project is ready to photograph. Taxes to be Determined.","SingleFamily","2020","37,461 sqft"
"$449,000","3 bds","3 ba","1,960 sqft","https://www.zillow.com/homedetails/290-Denslow-Hill-Rd-Hamden-CT-06514/303952788_zpid/","Here is your chance to own a New construction home on 3.66 acres. Home to be built by a reputable local builder and will be 1900sqft + or- with 3 Beds, 2 Full and 1 Half Baths. The home can be upgraded with additional costs and will be determined between builder and buyer. The bonus room over the garage is currently not included in the sq footage or price but can be added as an upgrade. Call for more details.","SingleFamily","2021","159,429 sqft"
"$190,000","4 bds","2 ba","1,420 sqft","https://www.zillow.com/homedetails/119-3rd-St-Hamden-CT-06514/57912983_zpid/","Welcome to your new home. This is your opportunity to make this house your home. With some finishing touches, this home will fill your needs. As you enter the front door, you enter directly into the large 3-Season porch for those days to just relax and have some quiet time. The main entry invites you into the living room, dining room, kitchen, 2 good-sized bedrooms, full bathroom and a laundry room. From here, make your way upstairs to 2 more good-sized bedrooms. The unfinished lower level does have a semi-finished room currently being used as a bedroom. The lower level has easy walk-out entry to the backyard for even more space to relax. This house is serviced by an oil furnace, gas hot water, city sewer and city water and the roof is about 15 years old. This house is being sold as-is.","SingleFamily","1910","3,920 sqft"
"$259,900","3 bds","2 ba","1,644 sqft","https://www.zillow.com/homedetails/54-Lexington-St-Hamden-CT-06514/57915567_zpid/","Charming, MOVE-IN condition Colonial has 3 bedrooms, 2 full baths plus finished lower level ROOMS WITH FULL BATH for extra recreation space. Fully applianced kitchen WITH SS APPLIANCES, FORMAL LR, FORMAL DR, Hardwood FLOORING, deck off kitchen, level backyard, open front porch, and oversized one car garage offers lots of storage space, FENCED YARD.","SingleFamily","1935","6,098 sqft"
