"Price","Bed","Bath","Area","HouseURL","Description","Type","Built","Lot"
"$357,000","5 bds","3 ba","2,726 sqft","https://www.zillow.com/homedetails/36-Wildwood-Ave-Madison-CT-06443/58909985_zpid/","Absolutely charming ""Reuben Fowler"" 1760 farm house minutes from the beach and center of downtown Madison.  Two plus acres of beautiful, flat land, with well spaced trees add to this property's comforting nature.  Four bedrooms are upstairs, and one room downstairs is used as a first floor master bedroom with attached full bathroom.  Original wide-board oak and poplar floors, period architectural details, and two fireplaces grace the house.  Due to not being on the Historic registry, the possibilities for upgrades are limitless.  The landscape is ideal for additions such as a pool, barn, guest house, or even a subdivision.  Roof was replaced approximately 4 years ago.  Must see!","SingleFamily","1760","89,733 sqft"
"$249,000","2 bds","1 ba","1,183 sqft","https://www.zillow.com/homedetails/209-River-Rd-Madison-CT-06443/58910549_zpid/","POTENTIAL POTENTIAL POTENTIAL   This home boasts the convenience of one floor living, with 2 bedrooms and one bath. A cozy floor plan, affordability, and only a half-mile from Hammonasset State Park with some of the best beaches in the state, make this home a reason to move right in. Or, utilize its ideal location to build your dream weekend getaway or forever home. Hardwood floors in main bedroom, living room and dining area as well as custom built in shelving in the living room. Newer kitchen appliances and mostly newer windows. Home is in need of TLC; however, the proximity to Madison Center, Clinton Outlets and all that the shoreline has to offer makes this property worth the investment. If you need a break from the ocean, Rettich Preserve, across the street from this home, features walking trails, access to kayaking or paddle boarding along the Hammonasset River. The Metro North Train Station is just 2 miles away which makes commuting a breeze. Do not let this opportunity slip away. Home is being sold in AS-IS condition. Inspections will be for informational purposes only  SHOWINGS TO BEGIN APRIL 22,2021 Seller is related to Agent","SingleFamily","1949","20,037 sqft"
"$799,000","3 bds","3 ba","2,064 sqft","https://www.zillow.com/homedetails/22-Harbor-Ave-Madison-CT-06443/58908535_zpid/","First time offered. Every once in a while a truly classic restoration opportunity comes on the market, this is one of those times. This wonderful Antique Dutch Gambrel home was built on Harbor Ave (Beach Association) in Madison by the original owner George S Watrous in 1895. The property has remained in the family for the past 126 years and still carries many of it's original attributes. Not only is this home a beautiful piece of history and ready for your restoration, the land it sits on is exceptional as well. The property is 3/4 of an acre, very level, cleared, and amazing. A nice large barn garage on the property is very useful and adds to the classic appeal and history of the property.  All this and the beach is right down the street. This property is not in a flood zone.","SingleFamily","1895","33,105 sqft"
"$389,000","3 bds","2 ba","2,127 sqft","https://www.zillow.com/homedetails/885-Durham-Rd-Madison-CT-06443/58912669_zpid/","Antique 1880 colonial/cape design farmhouse with lots of character!!!    The ceilings are high, the front enclosed porch has architectural and high ceilings and a central architectural window, with a wall of windows.........sit and watch the world go by!!  Use as an enclosed sun room, or easily add heat and your choice of flooring for year-round use.....or open to the living room and kitchen for and expanded open floor plan.  Extensive land presents a beautifully wooded rear view with an outdoor entertainment deck, 2 sheds and chicken coop, along with a small pond and a babbling brook to the rear.   Also room at the rear to store larger work vehicles and extra items out of street and neighbor's view.  Perfect for a ""mini farm experience"", and/or a contractor's dream.    Interior has an expansive kitchen with a gas cooktop, upscale stainless steel appliances, Kitchen Aid French door refrigerator, Bosch dishwasher, Thermador electric double oven with convection, and Bosch washer and dryer. Many recent improvements including: newer roof, furnace, septic system and brand new well.  Family room has beautiful built-ins and a fireplace; kitchen has cozy breakfast nook, first floor has high ceilings and an open feel.","SingleFamily","1880","91,476 sqft"
"$699,000","5 bds","5 ba","4,651 sqft","https://www.zillow.com/homedetails/104-Genesee-Ln-Madison-CT-06443/58913859_zpid/","Beautiful 5-bedroom, 3 full and 2 half bath colonial on 2.7 acres in desirable Genesee Estates neighborhood of Madison. Fully renovated kitchen with large granite island, six-burner Viking gas stove with double electric ovens, double sink, and overhead copper pot rack. Living room, dining room, great room, and powder room round out the first floor. Second floor master suite with recently renovated full bath with walk-in shower and soaking tub, two walk-in closets, and large bonus room/office. Three additional second-floor bedrooms, with renovated full bath and laundry closet. Hardwood floors on first and second floors. Third-floor guest suite with large bedroom overlooking front lawn, full bath, and walk-in closet, plus attic space. Two-car garage, propane standby generator. Walk-out basement is two-thirds finished, one-third workshop, with powder room. Large open front yard with irrigation system; back yard with large patio; 10x10’ shed with cupola and copper wind vane. Invisible dog fence encompasses yard. New roof & gutters in 2020; new driveway 2018; new water filtration system 2019; entire exterior and trim painted 2018. Beautiful, quiet neighborhood with underground utilities, skating pond, and preserved MLCT green space with hiking trails. Surrounded by water reserve property that will never be developed, with extensive network of trails for hiking and mountain biking. Highly desirable Madison public schools, including silver-medal Daniel Hand High School.","SingleFamily","1994","117,176 sqft"
"$525,000","4 bds","3 ba","2,452 sqft","https://www.zillow.com/homedetails/102-Country-Way-Madison-CT-06443/58913052_zpid/","LOOKING FOR A GREAT CUL DE SAC NEIGHBORHOOD? This 4 bedroom house, almost on 2 acres of land, is ready for you. With terrific curb appeal, and stunning stone walls lining each side of the driveway, this home will exceed your needs and wants. The 1st floor has a spacious Living Room, Dining Room and Kitchen, with cozy Family Room, complete with a wood burning fireplace and french doors to a deck. Off the kitchen, there is a fabulous 3 season porch overlooking the backyard. The 2nd floor has 4 bedrooms and an office/ laundry room. The lower level is brand new, with wainscoting and carpet, the perfect Rec Room or another office. This area also provides access to the 2 car garage. The home has an invisible fence for your pets, newer windows, newer roof, ADT alarm system, new well tank and water softener tank. Charming.","SingleFamily","1976","78,408 sqft"
"$439,500","3 bds","2 ba","2,034 sqft","https://www.zillow.com/homedetails/90-Boston-Post-Rd-Madison-CT-06443/58910000_zpid/","Exquisitely updated & remodeled era home abutting the salt marsh with breathtaking views of the marsh & LI Island Sound. Starting on the main level, the open & airy living room offers banks of windows that peer out to the marsh and walks out to an expansive deck as it transitions to a stunning kitchen featuring a breakfast bar, new stainless appliances to include a Viking gas cook top, designer built-in refrigerator, dual ovens & granite counter tops. The formal dining room boasts built-in shelving, a vaulted ceiling, sky lights and a gas fireplace. The main level is completed by two sizeable bedrooms & a very accommodating laundry room. The upper level is the gem as it's an all encompassing master bedroom suite complete with an interior balcony, master bath with jetted tub & separate shower, walk-in closet, cathedral ceiling and gas fireplace which all walks-out to a veranda with that view which is now enhanced from the upper level! Structural & mechanical updates include a newer roof & siding, new composite deck, new paved driveway and new high efficiency natural gas boiler & hot water heater. This is truly a Madison gem! Just open the door, everything is done!","SingleFamily","1900","40,040 sqft"
"$550,000","4 bds","3 ba","2,467 sqft","https://www.zillow.com/homedetails/92-Bradley-Corners-Rd-Madison-CT-06443/58912793_zpid/","Charming Expanded Cape nestled on a quiet street offers privacy and is located not far from town center and Madison's coveted, beautiful beaches. This home has exquisite character and has been meticulously maintained. There are numerous areas for living and entertaining. Relax in the living room which has a cozy brick fireplace or the family room.  The adorable three season room has large windows which overlook a gorgeous level wooded yard and a pond. Four bedrooms and three bathrooms, including a guest bedroom suite with full bath on the main floor. Hardwood floors throughout; four-year-old roof; it has an oil furnace and a separate pellet furnace; new water tank and water treatment system; central air. Madison is the quintessential New England town known for its expansive beautiful beaches; easily accessible to both NYC and Boston with a top-rated school system....","SingleFamily","1985","51,400 sqft"
"$525,000","4 bds","3 ba","2,800 sqft","https://www.zillow.com/homedetails/25-Green-Springs-Dr-Madison-CT-06443/58911718_zpid/","Bright, spacious colonial on a cul-de-sac close to town and beaches.  This charming well maintained four bedroom home is adjacent to open space, has a large level lot and so much more.  The finished basement, the heated and air-conditioned sun room, large eat-in kitchen provides room for everyone.  While the charming master suite creates a perfect escape from the world.","SingleFamily","1978","47,916 sqft"
"$3,300,000","4 bds","4 ba","2,825 sqft","https://www.zillow.com/homedetails/164-Middle-Beach-Rd-Madison-CT-06443/58908214_zpid/","Magazine layout, DIRECT waterfront, this quintessential Madison year round home has room for all! The MAIN HOUSE offers 3 bright, water view living levels. A gorgeous freshly redone kitchen is part of an open first floor plan complete w/living & dining areas w/original stone FP. A wall of french doors leads out to an extensive tiered porch & patio overlooking your own private sandy beach. A brilliant update of an iconic summer home anticipates every convenience & feature for entertaining, yet still offers cozy spaces for getting away from it all.  Up one flight of stairs to 3 bright BR’S, 2 full baths & a large separate fully outfitted dressing room. The master offers commanding views, space to relax & a lovely private bath.  The 3rd level is a suite w/two bedrooms, sitting loft & full bath. Remarkably, a perfect separate GUEST HOUSE is included with this offering!  Complete w/2 car garage below, this 2+ story multi bedroom gem offers sweeping views of Fence Creek & generous views of the Sound from elevated open porches on both sides. The main level is vaulted w/open floor plan including kitchen, private BR & full bath. The upper loft area is yours to decide- beautiful built-ins make for an ideal office, a picture window gives you a birds eye view of the ever changing saltmeadow. On the lower level, there is an entirely private BR with full bath & separate entrance. Ideal for nanny, guest or quiet get-away office area. Extensive list of upgrades and improvements available.","SingleFamily","1911","17,859 sqft"
"$325,000","3 bds","2 ba","1,752 sqft","https://www.zillow.com/homedetails/1206-Durham-Rd-Madison-CT-06443/58913531_zpid/","Great Location, close to schools, market shopping & restaurants at the Madison Circle.  This well maintained home is set back from Durham Road and offers lots of privacy.  Main level has most of the living space with hardwood floors in the rooms, and tile in the kitchen & bath...  French doors take you out to a 240 sq ft deck, overlooking a level and open back yard... Downstairs is a large recreation room with fireplace, and a 2 car garage.  Central air conditioning.    Convenient to commuter routes, as well as walking trails, State Parks and schools.   More pictures soon.  Cannot be occupied until June 30, 2021.","SingleFamily","1970","48,351 sqft"
"$150,000","1 bd","1 ba","420 sqft","https://www.zillow.com/homedetails/86-Cottage-Rd-Madison-CT-06443/58909186_zpid/","Won’t last!! Come see this quaint cottage in lovely Madison CT, an affordable summer home for all your fun activities!  It’s less than a mile to Hammonassett State Beach and campgrounds, Meigs Point Nature Center, the Shoreline Beach/Biking Trail and Salt Meadow Park.  You’ll have access to all of the towns beaches and several launching areas for kayaks with your resident beach pass.  There’s also a small marina only 1/4 mile away for your new boat!  Lenny and Joe’s Seafood, with ice cream stand and carousel, and fresh bagels at Cohen’s are less than a 3 minute walk.  (Porta pottys on other side of the fence near restaurant are temporary due to Covid). The Clinton Outlets are close for all of your shopping.  It is also close to Chamard Vineyard, another great place to visit.  For the right price, the Seller’s are willing to include the pop-up camper that is on the property.   Serious offers only.  Conventional or cash, being sold as is. No roof leaks.  The road to the home is owned by the town.  Plot plan attached listing. Come take a look and you can be relaxing in your new vacation spot by Father’s Day!!","SingleFamily","1940","2,613 sqft"
"$447,000","3 bds","3 ba","3,758 sqft","https://www.zillow.com/homedetails/5-Nichols-Hill-Dr-Madison-CT-06443/58912239_zpid/","Spacious ranch on 1.84 acre lot with fully heated walkout lower level. This home greets you with a charming foyer with french doors leading to an open floor plan of the living room, kitchen and dining room. Single-floor living includes an expansive master bedroom with bath, second bedroom with bath, and third room with built in shelves for a study that currently doubles as a guest room. Hardwood floors throughout the main level. The heated walkout lower level includes a room used as a 3rd bedroom, full bath, recreational room with a stone fireplace and an additional room that is currently being used as a sizable artist studio/workspace. The lightly wooded backyard has two levels. Walk down a stone path to gather around the fire pit to unwind from your day and enjoy the sounds of nature. From here descend a wooden staircase to the lower level where two streams merge into the Hammonasset River where trout are stocked each Spring at the adjacent bridge. Additional features include a Kohler commercial grade diesel powered whole house generator, top of the line Viessmann boiler, central air on main level and cast iron baseboard hot-water heat throughout the main and lower levels of the house. Bring your own ideas to update this home and enjoy all that this property has to offer. Located in the shoreline town of Madison with easy commute to NYC from local train station.","SingleFamily","1966","80,150 sqft"
"$619,000","3 bds","3 ba","2,832 sqft","https://www.zillow.com/homedetails/69-Lovers-Ln-Madison-CT-06443/58909647_zpid/","A delightful antique, remodeled in 1991 with large addition & featured in Better Homes & Garden Magazine. The ""C.H. Carstenen"" Home, c. 1850. This charming Greek Revival home is sited close to town on a large treed parcel with views overlooking Fence Creek, Hummers Pond and beautiful mature plantings. Nature and a country setting surround this re-imagined historic house.  Fence Creek meanders through a gorgeous yard w/ trellised, lighted rose garden. Town records indicate an even earlier timeframe (1789) but researchers point to the mid-19th century as the more evident period of construction. Talented architect Duo Dickinson artfully opened and expanded the home to meet today's needs. Newer kitchen appliances, fresh paint, carpet and a new roof. A successful marriage of old and new, this home retains warm original wood floors and period window styles along with modern features and comforts. The lower level is ideal for storage or exercise space and has a private entrance. A vaulted ceiling with skylight, french doors and 2 palladian windows in the spacious master suite adds drama and brightness. The spacious deck and covered porch are ideal for entertaining. Stone walls and gardens. Easy walk to Madison's beaches and village, close to the train and I-95. There is LIMITED ACCESS for showings while tenant in place until end of May.","SingleFamily","1789","33,105 sqft"
"$720,000","5 bds","4 ba","3,318 sqft","https://www.zillow.com/homedetails/273-Boston-Post-Rd-Madison-CT-06443/58909419_zpid/","Be a part of Madison/Connecticut's history and enjoy living in this completely restored 1747 colonial. The Capt.Frederick Lee home enjoys all of the upgrades that the 21st century allows with the beauty and warmth of the 1700s.All restoration has been done w/great craftmanship and the highest quality material. This classic center chimney Colonial enjoys:5 frples,5 BRms,3 and half baths, C/A,central vac,energy efficient natural gas,public water,wide-plank flooring w/ bright,generous rooms to be enjoyed by all. The game room,the original Armory, is a warm & inviting area with fireplace, planked flooring and good natural light. 3,318 SqFt allows to customize the 12 rooms on three levels of living space plus an attic & basement.The floorplan of this home can be customized to meet your needs and dreams. Location and the design of the house would be perfect for an in-law suite, office or studio w/2 private entrances. This home enjoys an  exceptional amount of storage area for a home of this period.The private grounds (1.82 acres) a beautiful wooded area, 21 x 12 patio with views of the Neck River for private enjoyment.The location allows for easy access to Madison's fine beaches, Madison CC,  The Village Green and train service.The 1774 main house is not in a flood zone. Capt.Frederick Lee, a well known historic figure,is often considered as the father of the Coast Guard along with Alexander Hamilton. You will enjoy the many amenities this house hasto offer.","SingleFamily","1747","79,279 sqft"
"$1,800,000","5 bds","6 ba","5,137 sqft","https://www.zillow.com/homedetails/45-Island-Ave-Madison-CT-06443/58908720_zpid/","EXCEPTIONAL DESIGN ~ four levels of living space showcasing beautifully scaled rooms, elegant millwork and a barrel ceiling entry. Guests and family savor a gracious flow of formal and casual spaces; a family room with a gas operated fireplace, living room with wood-burning fireplace, formal dining room, library with built-ins and a sunroom. The top of the line gourmet kitchen blends luxurious dining areas and chef's amenities for easy entertaining. The second floor boasts 4 bedrooms, including a master suite appointed with a sitting room, walk-in closet and a luxurious spa-like bathroom with radiant floor heating. The laundry room is conveniently located on this floor. The finished third floor offers an office or potential bedroom with a full bath. Completing the appeal is a finished lower level walk-out with cafe' style area with refrigerator, dishwasher and sink and a full bath. Wonderful outdoor features including expansive wraparound decks, patio, heated in-ground pool, hot tub, built in fireplace and grill allow for easy entertaining and summertime fun. An added feature is the separate carriage/guest house above the 3-car garage, perfect for in-law, au pair, home office or studio. All this situated on a large private lot with deeded beach access. Enjoy the short stroll to the beach, center of town, restaurants, shopping and all the wonderful amenities this home and location have to offer. Truly a private paradise found! 90 minutes to New York City and 2 hours to Boston.","SingleFamily","2001","68,389 sqft"
