"Price","Bed","Bath","Area","HouseURL","Description","Type","Built","Lot"
"$215,000","3 bds","2 ba","1,590 sqft","https://www.zillow.com/homedetails/39-Broadview-Ter-Meriden-CT-06450/57925827_zpid/","This cozy, well maintained colonial is located on a quiet street that is close to major highways and amenities. This home features a large kitchen and dining area with an open concept that has French doors leading out to a spacious 12x20 deck with scenic views of Castle Craig. There is also a 4 season sitting room off of the living room that looks out to the fenced in yard. There are 3 bedrooms, 1 1/2 baths, a walk-up attic, and 1 car garage. This home provides plenty of space for living, entertaining and storage. Nothing to do but move right in! There is currently an oil furnace but there is natural gas already connected to the home for an easy conversion if desired.","SingleFamily","1928","5,227 sqft"
"$189,999","4 bds","2 ba","1,332 sqft","https://www.zillow.com/homedetails/230-Bunker-Ave-Meriden-CT-06450/58916009_zpid/","*GREAT INVESTMENT OPPORTUNITY* 4 Bedroom 2 Full Bathroom single family home in a quiet neighborhood of Meridan. This property has many updated features including: Newer Furnace and Oil Tank, New Roof, Newer Hot Water Heater, and Updated Electrical Panel. Hardwood Floors throughout the main floor under the carpet. This property has leased tenants in place until 1/31/2022! This is great for someone starting in real estate investment or even someone looking to add a property with great cash flow to their portfolio!","SingleFamily","1940","7,840 sqft"
"$199,000","4 bds","1 ba","1,694 sqft","https://www.zillow.com/homedetails/167-Swain-Ave-Meriden-CT-06450/57929399_zpid/","Colonial farmhouse with large bedrooms, vaulted ceiling in the master and big enclosed porch. Plenty of character in this charmer.  Located close to shopping and highways with plenty of space for working from home.","SingleFamily","1920","28,314 sqft"
"$169,900","3 bds","1 ba","984 sqft","https://www.zillow.com/homedetails/45-Button-St-Meriden-CT-06450/57935254_zpid/","Come check out this beautiful 3 bed, 1 bath ranch style bungalow in Meriden!  Home has been freshly painted, all hardwood floors have been refinished and your new home includes an attic with a finished room!  Curb appeal is great! You will see beautiful flower boxes filled with yellow and purple pansies!  Then step up on your new front deck and into your enclosed heated front porch with thermopane windows!  Enjoy a cup of coffee and look out the windows at your beautiful flowers and enjoy the breeze!  Head into your living room with refinished hardwood floors, new ceiling fan, new blinds and also freshly painted!  You can then check out bedroom 2 or your full bathroom which includes a brand new vanity, new medicine cabinet and new cabinet above the toilet!  Now walk into your sparkling kitchen with repainted cabinets with nickel hardware, all stainless steel appliances, a new garbage disposal and don't forget the GRANITE! Yes! You have gorgeous granite countertops with a new stainless deep sink!  From the kitchen, head into bedroom #3 where you can pull down the attic stairs to check out both rooms in the attic OR head over to the Master Bedroom, also freshly painted with refinished hardwoods, new ceiling fan and a WALK IN CLOSET! From there, head thru your redone laundry room and down the basement or head outside to your back patio and backyard to enjoy for years to come!  Gym equipment, new grey cabinets, jetted tub and security system can be bought separately.  WON'T LAST!","SingleFamily","1935","7,840 sqft"
"$219,900","3 bds","2 ba","1,428 sqft","https://www.zillow.com/homedetails/169-Dexter-Ave-Meriden-CT-06450/57926139_zpid/","Charming cape located near all the conveniences of what the city of Meriden has to offer. The home features an updated kitchen, family room with fireplace. New gas heating system and gas water heater. 2 car TANDEM garage! Enjoy sitting in your own private hot tub on the deck overlooking the spacious back yard or sit on your covered front porch and enjoy the views.","SingleFamily","1939","6,534 sqft"
"$175,000","3 bds","1 ba","1,056 sqft","https://www.zillow.com/homedetails/75-Hillside-St-Meriden-CT-06451/57927161_zpid/","Cute Cape/Bungalow style home nestled away from the hustle and bustle. 3 bedrooms with a main level master bedroom and 1 full bath.  New carpet, roof and thermal windows have been replaced.  Main level laundry/mud room off the back of the house.  Nice open living room/dining room area.  Private yard with patio and deck.","SingleFamily","1925","3,920 sqft"
"$169,900","4 bds","1 ba","1,092 sqft","https://www.zillow.com/homedetails/23-Cutlery-Ave-Meriden-CT-06451/57925632_zpid/","Nice 4 bedroom, 1 bath 1100 sf Cape features beautiful paver driveway, patio, walkway and a brand new architectural shingled roof installed 4/21. Spacious rooms include an eat in kitchen, living room and 2 main level bedrooms. Upper level has two more bedrooms also with hardwood floors. Mechanicals are natural gas heat, hot water and gas cooktop, city sewer and private septic. Level fenced backyard offer a beautiful view of Hanover Pond. This home is being sold ""as is."" Agent related.","SingleFamily","1962","7,405 sqft"
"$259,900","3 bds","2 ba","1,378 sqft","https://www.zillow.com/homedetails/62-Farm-Hill-Rd-Meriden-CT-06451/58917012_zpid/","LOCATION, LOCATION, LOCATION!  Enjoy this solid 4 level split home in the Diamond Hill section of South Meriden.  3-4 bedrooms, 1 1/2 baths.  Large rooms, living room with fireplace and hardwood under carpet (also in upstairs hallway). Family room on main entrance level could be the 4th bedroom. Eat in kitchen/dining room with breakfast bar and slider to deck leading to a fantastic back yard.  Lower level was once finished, bring it back to life and add another 400+ sq ft.  Lots of living space worth putting a little sweat equity into!  Come take a look and see the potential!","SingleFamily","1968","13,939 sqft"
"$190,000","2 bds","1 ba","2,458 sqft","https://www.zillow.com/homedetails/234-Columbus-Ave-Meriden-CT-06451/58917840_zpid/","Welcome Home! This beautiful ranch style home offers an amazing open floor plan which includes a lovely kitchen with plenty of cabinet space and counter space that will meet the needs of the pickiest chef! The kitchen opens up to the oversized dining room and living room space which is great for entertaining! You also have the back porch area that can be made into a dream mud room that leads to the back deck overlooking the fenced in yard space and pool! 1 car detached garage and the basement is ready for your finishing touches with room for storage or extra bedrooms. Call today to schedule your appointment, This one won't last long!","SingleFamily","1925","7,405 sqft"
"$259,900","4 bds","3 ba","1,686 sqft","https://www.zillow.com/homedetails/21-Hillwood-Ln-Meriden-CT-06450/57931612_zpid/","Well Cared for 4BR / 2.5 Bath Raised Ranch with 1 Car Garage on a Non-Thru Street. Schedule Your Showing and Start Planning Your Move.","SingleFamily","1974","12,632 sqft"
