"Price","Bed","Bath","Area","HouseURL","Description","Type","Built","Lot"
"$289,000","4 bds","3 ba","1,934 sqft","https://www.zillow.com/homedetails/1004-East-St-Middletown-CT-06457/58854860_zpid/","This spacious property offers both convenience and privacy.  The house is situated close to shopping and I-91 and is nestled back from the road and surrounded by trees. You will love the open floor plan that features a great room with a gorgeous fireplace.  The eat-in kitchen has natural wood cabinets, stainless appliances and a slider that leads outside to the deck.  The main level also has a formal dining room with hardwood floors and a half bath.    Upstairs you'll find a master bedroom suite a vaulted ceiling, large bathroom with a deep bathtub and stand up shower and a walk in closet.  There are 3 additional bedrooms upstairs, a shared bathroom and laundry.    The basement is partially finished with a heated bonus room that could function as a quiet home office or even a home gym.  There is plenty of room downstairs for storage and walk-out access to the backyard.    This house is meticulous inside and out with professional landscaping, freshly painted and newly installed carpets.","SingleFamily","2000","19,166 sqft"
"$264,900","3 bds","2 ba","1,459 sqft","https://www.zillow.com/homedetails/15-Walnut-St-Middletown-CT-06457/2073232585_zpid/","*Under Construction* Brand new home being built! 3 Bed room 2 full bath with  first floor having hardwood and a master bedroom, custom kitchen with granite cabinets, stainless steel appliances and deck access. second floor has 2 large bedrooms, full bathroom and lots of closet space. Basement is open and unfinished with a high efficiency gas on demand hot water/heat along with central air. The white final fence will continue across the back yard. Builder is open to add ons","SingleFamily","2021","4,791 sqft"
"$156,000","3 bds","1 ba","1,328 sqft","https://www.zillow.com/homedetails/50-Braeburn-Ln-Middletown-CT-06457/57868028_zpid/","Are you tired of paying some else's Mortgage? Why rent when you can own this affordable, carefree, Sun drenched home. At the Highlands on Westlake Community you can have the best of both worlds! Freshly painted with a neutral color palette, Open Floor plan featuring and updated kitchen with Granite counters, breakfast bar counter, recessed lighting, New Vinyl Plank flooring on first floor, Bathroom & Laundry area. New bath vanity w linen closet, new toilet & tile.3 bedrooms with ample closet space, + a versatile loft area can be a Den, Office, Gaming ,craft or Storage area. Laundry is located on 2nd floor. Spacious 2 car Attached garage, low maintenance exterior including Fenced in paver patio with a Hot Tub. Newer garage door opener This home has 2 sources of heat Seller has been using the energy efficient Kerosene as a primary source and the electric only as a secondary heat source, hot water heater fuel source is Kerosene. Close to many amenities and convenient access to major highways! This property is classified as a PUD with a low annual fee ($300) for Property management, snow removal and rubbish. This community has a kiddie playground and basketball court. Nothing to do but move in!! Showings start 4/28. (Please note the Hot Tub Wall Unit AC & Garage door opener are conveyed AS IS) Please use GHAR CONTRACTS","SingleFamily","1971","2,613 sqft"
"$209,900","4 bds","1 ba","1,458 sqft","https://www.zillow.com/homedetails/21-Peck-Rd-Middletown-CT-06457/57868711_zpid/","Enjoy convenient one level living with this Ranch that abuts Farm Hill Elementary School. Enter the spacious eat-in kitchen from the breezeway that also leads to the back deck and the attached garage. Off the kitchen is the dining room with slider out to the back deck perfect for entertaining and providing plenty of privacy. The dining room opens to the living room with large window allowing for lots of natural light. 2 spacious bedrooms and a full bath complete the main level. The lower level has 2 additional bedrooms recently added with new carpets and paint, and plenty of space for storage or to create more living space. Located in a great neighborhood close to everything!","SingleFamily","1950","14,374 sqft"
"$340,000","3 bds","2 ba","2,342 sqft","https://www.zillow.com/homedetails/23-Candlewood-Ln-Middletown-CT-06457/57861970_zpid/","Beautiful 3/4 Bedroom Split Colonial with remodeled kitchen and bathrooms!  The kitchen was remodeled last year and features beautiful grey cabinets, granite, subway tile backsplash, stainless steel appliances with gas stove, and modern ceramic plank flooring!  There are oak hardwood floors in bedrooms, hallway, living room and dining room.  The living room has a gas fireplace with blower that can heat most of the bedrooms as well.  The heated sunroom provides an additional family room/play room/office all year round!  In addition to the 2 car attached garage, there is a huge 3 car detached garage with loft, electricity, heat and engine lift....perfect for the car hobbyist and so many other purposes!  The yard is surrounded by trees providing great privacy...and don't forget the hot tub to relax in all 4 seasons!   Note: The family room could easily be used as an extra bedroom (as the previous owner did) if you are in need of 4 bedrooms.","SingleFamily","1988","35,719 sqft"
"$550,000","5 bds","5 ba","3,980 sqft","https://www.zillow.com/homedetails/172-Saddle-Hill-Dr-Middletown-CT-06457/114455227_zpid/","What more could you ask for?  This home was the builders home so it has everything.  Wonderful open floor plan to entertain. Kitchen features granite, stainless appliances, induction cooktop, in wall oven and a large center island breakfast bar.  Hardwood floors throughout.  French doors open to a true Master bedroom suite offering a dual sided gas fireplace, sitting room or nursery, master bath with jacuzzi tub, double sinks, his/her walk-in closet. 5 bedrooms are on the second floor including second “‘master” with en-suite bath and walk in closet. Finished walk out lower level also has a gas FP, Great game room and exercise room which could also function as in-law with full bath and kitchenette.  Walk out to patio and level yard.  Energy conservation and going green in mind this home has Geothermal heat and hot water and Solar.  Oversized 3 car garage with 9 foot doors will accommodate any vehicle.  Large open level yard is opportunity for hobbies, games or relaxation","SingleFamily","2010","30,056 sqft"
"$1,200,000","4 bds","4 ba","3,534 sqft","https://www.zillow.com/homedetails/95-Knoll-Ridge-Ct-Middletown-CT-06457/200435803_zpid/","Looking for your own private oasis this summer during this pandemic? 95 Knoll Ridge Court is the property for you then! Pulling up to this 4000 SqFt propety located at the end of the cul-de-sac will really WOW you. On the exterrior of this well maintainted home is gorgeous light stoned brick with a three car attached garage. The best added feature is the backyard which has a heated salt water pool and gorgeous surrounding area for you and your family to enjoy this summer. Upon entering, you will find marble flooring all throughout the foyer to the kitchen. The main level includes a home office, living room, big kitchen, dining room, sun room and a family room with tall ceilings and gorgeous window light coming in. Upstairs you will find double doors into your master suite area with a huge walk in closet and big bathroom. An additonal 2 large bedrooms with a Jack and Jill bathroom and another bedroom with its own bathroom. Washer/Dryer is convetiently located upstairs with extra closet space. You cant go wrong with the space this home has to offer you. Conveniently located in between RT 9 and I-91 and within 10 minures from downtown Middletown Main St and Wesleyan Univsersity. Theres this home cant offer you - Come see it in person today!","SingleFamily","2006","24,829 sqft"
"$498,000","3 bds","4 ba","2,626 sqft","https://www.zillow.com/homedetails/945-Arbutus-St-Middletown-CT-06457/57862531_zpid/","If you're looking for privacy, this beautiful colonial tudor on 1.4 acres of land is a place for you. Close to Lyman Orchards Golf Club, Millers Pond State Park and Wesleyan University. 2658 sq ft of living space with hardwood floors throughout. Living room with a fireplace, 3 bedrooms upstairs, 2 full bathrooms and jetted tub in the grand master suite. Spacious kitchen with dining area comes with granite countertops and stainless steel appliances. Large formal dining room has a walkout to backyard and a gorgeous patio - perfect for summer cookouts and entertaining guests. Above ground saltwater pool is an ideal place to relax. A partially finished basement adds ~600sqf of usable space. Large 2 car attached garage has enough space for extra storage.  This house is a must see!","SingleFamily","1987","60,984 sqft"
"$189,000","2 bds","2 ba","1,376 sqft","https://www.zillow.com/homedetails/23-Hotchkiss-St-Middletown-CT-06457/57865704_zpid/","Two story brick house all updated and ready to move in... New roof,  new windows, freshly painted, new bathrooms, new floors, and new furnace.  Amazing location in the heart of Middletown, close to hospital and bus lines. Just needs new owners! Shared driveway, has 3 parking spaces.","SingleFamily","1900","3,049 sqft"
"$320,000","3 bds","3 ba","2,545 sqft","https://www.zillow.com/homedetails/216-Hunting-Hill-Ave-Middletown-CT-06457/57865795_zpid/","Welcome to this move-in ready colonial farmhouse in vibrant Middletown! If you are looking for the charm of an older home with the amenities and upgrades of a newer one, this home is the perfect match. The open kitchen is stunning, with its center island, open shelving, and gas stove. Off the kitchen is the booth style dining room with a beautiful handcrafted table. Farther in, you'll find a cozy den with a spiral staircase, leading to a loft. Two relaxing sitting areas, a massive entryway, and a half bath complete the first floor. Upstairs is where you'll find the three bedrooms and two full baths. The luxuriously sized bonus room above the oversized two-car garage, provides endless possibilities! You'll be sure to entertain outside on the beautiful patio and level backyard. Solar panels (owned) will help you decrease your carbon footprint and your electric bill! Other updates to this home include a newer roof and a newer high-efficiency boiler.  A short walk or Uber to downtown is where you can enjoy the award winning restaurants and shops. Take a tour, today!","SingleFamily","1900","13,503 sqft"
