"Price","Bed","Bath","Area","HouseURL","Description","Type","Built","Lot"
"$359,900","4 bds","2 ba","2,192 sqft","https://www.zillow.com/homedetails/57-Cricklewood-Rd-Milford-CT-06460/57946899_zpid/","Welcome to 57 Cricklewood Road Located within Walking Distance to Milford Center. The Home features a Living Room, Elevated Dining Room Overlooking the Kitchen. From the Dining Area you can then Go and Relax in the Oversized Family Room with Fireplace. There are Four Bedrooms. One Bedroom is Located on the First Floor. Two Full Bathrooms. Full Partially Finished Basement. Two Car Tandem Garage. Silver Sands State Park is Within a Half Mile for a Fun Day at the Beach. Property is Sold ""AS IS WHERE IS"" Subject to Probate Court Approval. Inspections are for informational purposes only.","SingleFamily","1950","8,276 sqft"
"$350,000","3 bds","2 ba","1,342 sqft","https://www.zillow.com/homedetails/52-Birch-Ave-Milford-CT-06460/57940041_zpid/","LOCATION, LOCATION, LOCATION…Ready and waiting for you to move right in and enjoy this desirable 3 bedroom 1.5 bath ranch style home, located blocks from Laurel Beach Association and Audubon Society. Large open family room with exposed beams and sliding doors to backyard. Family room connects to newly updated kitchen with beautiful back splash and granite countertops. Breakfast bar with dining area completes this space. Hardwood floors through dining area, living room, & bedrooms. Plenty of space in formal living room with wood burning stove and bright bay window. Master bedroom with plenty od closet space. Full basement with hatchway has great potential to finish down the road. One car garage with attached carport. Corner lot features stone wall and fully fenced in backyard. Organic garden beds will stay with the property. Location included in private beach access one block down at the end of Grant Street. No Flood Insurance - Option to apply to become a member of the Laurel Beach association (casino/clubhouse where exciting events happen , swim lessons, tennis, camps and access to gorgeous sandy beach) Enjoy nearby summer concerts, Farmer’s Market at Walnut Beach, and walk the boardwalk of Silver Sands State Park. A short ride to Metro North train, downtown Milford, and historic Milford Green. Minutes to 1-95 and the Merritt Parkway.","SingleFamily","1969","8,276 sqft"
"$449,900","4 bds","2 ba","2,200 sqft","https://www.zillow.com/homedetails/25-Eastern-Pkwy-Milford-CT-06460/57940699_zpid/","Get ready to move into this delightful Rivercliff area 4 bedroom 2 bath cape with newer 18'x30' great room! If you are looking for a home with a stunning family room this is the home for you! Great room features a Heatilator gas fireplace  with floor to ceiling stonework. The Heatilator will heat up to 2000 sq ft and is delightful to sit in front of and entertain! Sliders lead to spacious trex like deck and groomed yard with a firepit. Newer tankless hot water and gas furnace. 200 amp electric. Kitchen has been modernized with granite countertops, appliances and breakfast bar. Bathrooms have been updated with tile and sinks. The Upstairs bathroom has a jacuzzi tub for relaxing at the end of a long day. The laundry room has been set up on first floor bedroom for your ease and convenience. New mudroom was put on in 2016 and both upstairs bedrooms have new laminate floors and spacious oversized closets. Have we mentioned storage? Extra storage under great room. Basement could easily be finished if more room is needed. Shed has electric and can hold all your gardening needs. Walk to beautiful Housatonic River, dining and shopping. Close to beaches, I95 and Merritt. This oversized cape is ready for you!","SingleFamily","1943","4,791 sqft"
"$269,000","2 bds","2 ba","1,338 sqft","https://www.zillow.com/homedetails/81-Avon-St-Milford-CT-06461/57942587_zpid/","Hardwood floors throughout, including 2nd floor and bedrooms. Newer roof, kitchen, replacement vinyl windows throughout.  Features wood burning fireplace in living room, detached 1 car garage, plus attached shed. Enclosed front porch.  Home is located on a quiet street off the beaten path.  Needs some updating, but can be a gem with some attention.","SingleFamily","1910","3,920 sqft"
"$560,000","4 bds","3 ba","2,470 sqft","https://www.zillow.com/homedetails/31-Chevelle-Pl-Milford-CT-06461/57951688_zpid/","Beautiful 1.24 ACRE Level Park Like Lot on Cul-de-sac.  Relax on upper or lower deck overlooking inground pool. This Raised Ranch offers 4 Bedrooms and 3 Baths. 1st floor offers Living Room w/FP that opens to Dining Room and remodeled Kitchen as well as 3 Large Bedrooms and 2 Updated Full Baths. Hardwood floors throughout first floor. Lower Level has 4th Bedroom and Large Family room,  Laundry Room and full Bath. This area would be a great in-law with separate walkout with patio. 2 Car Oversized attached garage and Large shed for pool equipment gives you plenty of storage. Newer Heating and Cooling system as well as 200 Amp Electrical Service.","SingleFamily","1977","54,014 sqft"
"$420,000","4 bds","2 ba","1,582 sqft","https://www.zillow.com/homedetails/179-West-Ave-Milford-CT-06461/57944334_zpid/","Welcome to your ""Home sweet home!"" in Milford.  Take note of this spacious 4 bedroom, two full bath Cape Cod style home perfectly placed on a corner lot. ! Upon entering the front door you will be roused by the open floor plan around you. Spacious eat in/country kitchen with an updated flair featuring, stainless steel appliances, recessed lighting and a granite topped island. 2 first floor bedrooms with a totally new remodeled full bath, beautiful subway tiles and all the necessities. Walk out from the kitchen to a new deck and large back yard fenced in!  Upstairs you will find the remaining generously sized master bedroom and additional bedroom...both with hardwood floors and ample closet space. The full basement offers an additional living space with many possibilities. Basement also features a laundry area and rear bilco doors for easy backyard access. The  level, open and spacious rear yard offers with a pergola and  fencing, a new deck and endless outdoor possibilities","SingleFamily","1955","11,761 sqft"
"$1,149,000","4 bds","3 ba","2,225 sqft","https://www.zillow.com/homedetails/782-E-Broadway-Milford-CT-06460/58919673_zpid/","PRESENTING.    ""THE SOUTHERN BELLE"".   782 EAST BROADWAY. MILES OF SANDY BEACH AT YOUR TOES.    COASTAL SOUTHERN CHARMER BY LOCAL BUILDER.  UNIQUE FEATURES AND CUSTOM CRAFTSMANSHIP.OPEN FLOOR PLAN ALLOWS FOR OPTIMAL WATER VIEWS THIS 4 BEDROOM 3 BATH HOME IS BREAKING GROUND FOLLOW OUR BUILD ON INST @DEEVA765CTREALTY  PURCHASE NOW TO HAVE THE ABILITY TO CHOOSE CABINET COLORS, COUNTERTOP OPTIONS, AND PAINT COLORS.  CONSTRUCTED WITH  HELICAL SCREW PIER SYSTEM FOR ENGINEERED DURABILITY. UNIQUE FEATURES AND CUSTOM CABINETRY WILL DEFINE THIS SOUTHERN CHARMER FROM THE REST.  YEARS OF DESIGN INSPIRATION WILL BE INCORPORATED INTO THIS BEACH HOME. LOCATED IN A LIVELY COASTAL COMMUNITY.   UNOBSTRUCTED  WATER VIEWS FROM LARGE  COVERED BALCONIES WITH CUSTOM SOUTHERN RAILS.  SUNRISE WILL BE YOUR MORNNG FOCAL POINT OVER CHARLES ISLAND. STROLL MILES OF BEACH AT YOUR DOORSTEP. BOARDWALK, LOCAL EATERIES WITHIN WALKING AND BIKING DISTANCE..KYAK, PADDLE BOARD ..YOUR BEACH ACCES IS ACROSS THE STREET @ James street ACCESS.  PUBLIC BEACH 2 BLOCKS, SILVER SANDS STATE PARK AT END OF ROAD(NOT A THRUWAY) LOCAL BOATING CLUBS AND MARINAS. DOWNTOWN MILFORD WILL ENCHANT YOU WITH TRENDY STORES, AND FINE EATERIES. PIZZA LOVERS BEWARE!!  PLENTY OF PARKING, GARAGE AND FRONT SPACES. ROOM FOR OUTDOOR LIVING IN YOUR PRIVATE FENCED YARD. FEMA COMPLIANT( WILL HAVE QUOTE FOR INS.)  ENERGY EFFICIENT STORM RATED MARVIN WINDOWS AND SLIDERS. SCHEDULE APPT WITH BUILDER AND DESIGNER TO GO OVER PLANS. LIVE YOUR DREAM TODAY!","SingleFamily","2021","3,484 sqft"
"$319,900","3 bds","2 ba","1,440 sqft","https://www.zillow.com/homedetails/16-Argyle-Rd-Milford-CT-06460/57944860_zpid/","This Beautifully updated 3 Bedroom, 2 Bath Meadow side Cape is move-in ready next march. Inviting formal Living Room with floor to ceiling raised hearth fireplace and bay window. Large country kitchen with cathedral ceiling, skylights and large Dining Area ideal for entertaining. Two main level bedrooms and a Recently renovated full bath. A fabulous Master Bedroom Suite includes a full bath and ductless Air Conitioning unit. A short walk to a beautiful sandy beach, Milford town green and Metro North train. Home is currently leased until 3-31-2022 rent roll is $2200 per month","SingleFamily","1942","6,098 sqft"
"$475,000","4 bds","3 ba","3,004 sqft","https://www.zillow.com/homedetails/100-Clark-Hill-Rd-Milford-CT-06460/57948414_zpid/","This is 100 Clark Hill -An Impressive Mid-Century Modern Ranch with in-law potential, boasting over 3,000sf and situated on a beautiful 1.04 acres! Perfect for those who love to entertain. Lovely entry foyer leads to the fabulous, sun-filled Great Room with its vaulted ceiling, oversized windows, decorative accent wall with stained glass windows, gorgeous hardwood floors and a fireplace. From there you'll enjoy walking out to the oversized deck/balcony overlooking your private yard. A large, eat-in kitchen offers stainless appliances & gas cooking, butcher block countertops over white cabinetry, pantry & sliders the two tiered deck. The remodeled hall bath includes marble tiled walls and a double sink vanity. The lower level family room is spacious and bright with beautiful windows. It opens to the enclosed 3 season porch. The Master suite offers both walk-in and cedar closets &  bonus room that makes a perfect nursery, gym or 2nd office. 3 additional bedrooms have hardwood floors, with one accessing the balcony. The current office offers 2 walls with gorgeous reclaimed wood and tiled flooring. There is even a convenient countertop with mini sink! The second full bath shows off a delightful claw foot tub. Enjoy pear, peaches and apples from your own fruit trees. Newer Gas furnace & hot water heater. Newer Windows & Siding! 2 Car Garage, Mud room, main level laundry & more! Fantastic location! Minutes to town center, train, beaches & major highways. Hurry. This can be yours!","SingleFamily","1952","45,302 sqft"
"$679,900","4 bds","3 ba","2,400 sqft","https://www.zillow.com/homedetails/33-Fresh-Meadow-Ln-Milford-CT-06461/2072580104_zpid/","New Construction! North of the Post Road.New Colonial Home on level one-acre lot. Spacious Great Room that features 9 ft. ceilings,  granite counters and peninsula, a pantry, hardwood flooring, fireplace. Wonderful layout that is perfect for entertaining and filled with natural light. Sliders to a 16x 20 ft. deck to host family cook-outs, game nights or just to relax with a glass of wine while listening to your favorite music. Master bedroom with walk-in closet, soaking tub and tile shower. First floor office. The yard offers so many possibilities- Gardening, Swing sets, pool or your own creative landscaping. Full size basement with an abundance of space- more possibilities. The home is convenient to the Merritt Parkway, I-95 and especially Downtown Milford with it's numerous restaurants, boutique shops, the green and train station. Rare new construction find on this size lot. Call for more details!","SingleFamily","2021","43,560 sqft"
"$450,000","3 bds","3 ba","2,389 sqft","https://www.zillow.com/homedetails/86-Gulf-St-Milford-CT-06460/57948328_zpid/","Opportunity- Location! Close proximity to Milford Center, the Town Green, the Train Station, Merritt Parkway and I-95. Three-story home currently used as a single family but this light industrial zone allows for a variety of professional uses. Many features include three bedrooms, a home office, three full baths and two fireplaces. A sunroom on the first floor and another sunroom on the second floor expand the living spaces. The third floor has vaulted ceilings, a full bath, walk-in closet, and skylight. Good sized yard for gardening, entertaining or additional parking. Many possibilities! Call for details.","SingleFamily","1920","9,147 sqft"
"$459,000","3 bds","3 ba","2,692 sqft","https://www.zillow.com/homedetails/124-W-Rutland-Rd-Milford-CT-06461/58921250_zpid/","Meticulously cared for North Milford Raised Ranch with 3 bedrooms, 2 full and 1 1/2 bathroom. Great floorplan for entertaining in the eat in kitchen/dining room that lead out to a seasonal screened in porch or flows nicely into the living room. The main level has an oversized front to back master bedroom boasting 2 closets and master bath. The finished lower level has a fireplace, bar, 1/2 bathroom, a bedroom and leads out to the attached 2 car garage. Enjoy privacy and the convenience of Milford living.","SingleFamily","1979","30,056 sqft"
"$299,500","2 bds","2 ba","894 sqft","https://www.zillow.com/homedetails/36-Midwood-Rd-Milford-CT-06460/57947169_zpid/","This Bayview Neighborhood Cape Cod style home with a welcoming front sitting porch is located just blocks away from the shore and beach.  2 bedrooms and a recently renovated bathroom with tiled Stand up shower as well as a half bath just off the kitchen.  Located Minutes from Schools, Shopping, Metro North.  The roof is only 2 yrs old and offers a beautiful, level back yard, perfect for that outdoor living dream idea you have in mind to build.  A well lived in home ready for its next dream owner to make it their own.  Don't Miss Out!","SingleFamily","1947","7,840 sqft"
"$399,900","3 bds","1 ba","1,210 sqft","https://www.zillow.com/homedetails/14-Yale-Ave-Milford-CT-06460/57945920_zpid/","Welcome to Morningside, one of Milford’s waterfront communities known for its commanding seawall views of Long Island Sound to the eastern tip of Lighthouse Park in New Haven to the endless view to the west with sailboats and other craft heading out for the day from Milford Harbor. Nestled at the gateway of this very special community, is this beautifully updated 3 bedroom ranch home with attached garage and so many updates all you’ll need to do is unpack and enjoy!  The living room with adored with a classic “picture” window that lights up with the morning sun, flows to the brand new eat-in kitchen with granite counters, shaker style cabinets, stainless steel appliances including gas range and wood-style engineered vinyl plank floor, followed by new full bath, spacious master bedroom and 2 additional bedrooms all with new wall to wall carpeting.  Warmed by a new gas-fired furnace and cooled by new central air system, this home also has a high-efficiency in-direct hot water heater and a brand-new roof.  Enjoy quiet walks or bike rides through the side streets of Morningside, and along the seawall where you can rest to take a dip in the Sound and swim to the Morningside “raft”. Have fun with the annual 4th of July neighborhood parade as they gather at the entrance flagpole near your front door. Morningside residents have their own private playground and large recreation field just a short walk from your new home.","SingleFamily","1951","8,712 sqft"
"$579,999","3 bds","2 ba","1,276 sqft","https://www.zillow.com/homedetails/17-Silver-St-Milford-CT-06460/57943205_zpid/","Perfect opportunity to live in the Silver Sands community. Just steps away to a sandy beach access and a stroll away from Silver Sands State Park. Enjoy the park dunes, salt marsh, open area and you cant miss the 14 acre bird sanctuary of Charles Island. This home has 3 bedrooms, 1 1/2 bathrooms, large eat in kitchen with a front and back deck to enjoy the sunsets on. A tandem 2 car garage with plenty of storage. Whether you are looking for a year round beach home or a private weekend getaway this is a must see. Less then 2 miles to center of town, train station and restaurants.","SingleFamily","1920","2,178 sqft"
"$499,900","3 bds","3 ba","2,100 sqft","https://www.zillow.com/homedetails/297-Herbert-St-Milford-CT-06461/57953829_zpid/","NEW ENGLAND COLONIAL FARMHOUSE COMPLETE WITH BEAUTIFUL FOCAL POINT of WRAP AROUND PORCH. 3-4 BEDROOMS, MASTER BEDROOM ON THE FIRST FLOOR, ANOTHER ON THE SECOND FLOOR. SECOND FLOOR BEDROOMS EACH DECKS WITH VIEWS. UPDATED KITCHEN WITH DECORATIVE FIREPLACE HARDWOOD FLOORS 2.5 BATHS, FULL WALK UP ATTIC. VINYL SIDING. POSSIBLE INLAW. MAKE THIS HOUSE YOUR HOME, CREATE YOUR OWN FARM AT THIS LOCATION. ACREAGE FOR A HUGE GARDEN, CHICKS, PIGPEN, HORSE. ALREADY HAS A BARN WITH A LOFT. YOU CAN LIVE OFF THE LAND AT THIS NORTH OF THE POST ROAD LOCATION. YET NEAR ALL CUSTOMARY SHOPS AND SERVICES. EASY ACCESS TO MERRITT, I-95, ROUTE 34, AND ROUTE 8. COME HOME AND ENJOY THE VIEW FROM YOUR FARMHOUSE PORCH! THE PROPERTY IS BEING SOLD ALONG WITH 0 HERBERT STREET TAXES ARE $2,812. THE ACREAGE FOR BOTH PARCELS TOTALS 2.48 +/-. MINUTES FROM GREAT RIVER GOLF CLUB","SingleFamily","1768","108,028 sqft"
"$499,900","3 bds","2 ba","1,020 sqft","https://www.zillow.com/homedetails/8-Waterbury-Ave-Milford-CT-06460/57940518_zpid/","Very unique opportunity to be found here! Town lists this property use as Miscellaneous Residential/Residential-Multiple Buildings. Listing information refers to front house on property. One bedroom rear cottage is adorable and has rented well in the past. It has electric heat, ceiling fans, and all appliances: refrigerator, stove, washer, and dryer. Town records state that it was built in 1925, has gas heat, and is 595 square feet. Both houses have vinyl replacement windows throughout. Beautiful waterviews from both houses and just a few houses from sparkling Long Island Sound. Double driveway and two sheds for added convenience. Great rental properties or owner occupied with one rental. Or potential to build brand new! Cottage address is 6 Waterbury Avenue. Come take a look!","SingleFamily","1907","3,920 sqft"
"$3,425,000","4 bds","5 ba","5,001 sqft","https://www.zillow.com/homedetails/61-Shell-Ave-Milford-CT-06460/57943113_zpid/","Come home to your own private beach at 61 Shell Ave. Celebrate the beauty and tranquility inside and outside this premier residence designed by Architect Ray Oliver and newly built in 2017 by the Garceau brothers' Gateway Construction. New Yorkers can hop on the train and begin their relaxation en route to their oasis. The only thing better than this home's wonderful amenities is its premier location. Walk to the train in downtown Milford on the green with waterfront and plenty of restaurants. This ultimate beach home awaits you, whether to reside full time or for unsurpassed weekend escapes.  The gracious beach house boasts full southern exposure on Milford's premier private beach. Shell Ave is a quaint and quiet street nestled between historic Fort Trumbull and glorious Silver Sands State park, boasting a mile long brand new boardwalk. 61 Shell Ave sits prominently along the most desirable stretch of coveted private beach. Enjoy observing the wildlife, including osprey, piping plover, and the occasional seal! Launch kayaks and paddle boards directly into the beautiful Long Island Sound. Live the resort life lounging by the fire pit at the water's edge. You will love to host friends and family on the deck and stone patio. Life doesn't get better than this!","SingleFamily","2017","12,196 sqft"
"$449,900","4 bds","4 ba","2,380 sqft","https://www.zillow.com/homedetails/56-Crabtree-Ln-Milford-CT-06460/57940029_zpid/","Welcome home to this beautiful 4 plus bedroom, 3 plus bathroom custom built oversized contemporary. This beauty features an open kitchen with a large island, and skylights throughout the first and second floor. Gorgeous hardwood floors lead up the oak staircases where you will find 5 large bedrooms, one a master suite with a jacuzzi tub. The loft features a oversized cedar closet and a deck to have your morning coffee.   Huge bonus rooms, and possible in-law with kitchen, and bedroom, that has a separate entrance from the back of the home.  The gorgeous oak spiral staircase, 19ft oversized heated garage and wet bar in the living room are just a few features that make this home so unique.   It is a must see, one of a kind.  Just a short walk to the beach, there is plenty of room for everyone!   Wildemere Beach. Minutes from Laurel Beach. Come see it today! Click on video icon to view virtual tour walkthrough!","SingleFamily","1988","4,791 sqft"
