"Price","Bed","Bath","Area","HouseURL","Description","Type","Built","Lot"
"$274,900","3 bds","1 ba","1,854 sqft","https://www.zillow.com/homedetails/255-Park-Ave-Naugatuck-CT-06770/58931172_zpid/","Pride Of Ownership Abounds This One Owner Home! The warmth and affection this extended Cape has experienced over the years is one that welcomes you with open arms. Enter the main entry and you will experience the custom slate floor with coat closet, hardwoods and luxury baseboard molding throughout. The complementing arch entries for the dining and living rooms are a staple to the character this home provides. The formal dining room demonstrates its crown molding and exquisite built-in hutch while the kitchen and its engineered wood flooring participates with freshly painted cabinetry, updated countertops and an entry to a three season sun porch. The living room hosts a gas fireplace insert along with a grand entry to the 19x12 bright and airy family room with bay window and crown molding. The upper level starts with a full bath and its tub/shower, new vanity, tiled shower backsplash and hallway linen closet. The generous size master bedroom showcases a large closet with built-in shelving while the two additional bedrooms each include two hatchway closets with one presenting a walk-in closet. The full basement allows for extra dry storage, washer/dryer, new boiler and water tank, additional storage crawlspace and garage access. Exterior features private back yard patio, freshly painted siding, extra storage under sunroom, stone retaining wall, architect shingle roof and thermo-pane windows. All this on a treed lined, sidewalk neighborhood this home is destined to impress!","SingleFamily","1936","12,196 sqft"
"$299,901","3 bds","3 ba","1,850 sqft","https://www.zillow.com/homedetails/195-Osborn-Rd-Naugatuck-CT-06770/68544913_zpid/","Welcome to 195 Osborn Rd! You will be amazed by the open-concept main living area which is great for family gatherings! Down the hall, you will find 1 full bathroom, 2 additional bedrooms, and a large master bedroom with en suite and massive walk-in closet. The living area continues with another living room downstairs with an additional bathroom! Another great feature is that it has central air, so you will never have to deal with putting those units in the window again! You can also have a nice cookout on the back deck which looks out onto your wooded backyard.  You will also witness the most beautiful sunsets from this great location. Don't wait, schedule your showing TODAY. This one won't last!","SingleFamily","2004","30,492 sqft"
"$279,900","3 bds","2 ba","1,592 sqft","https://www.zillow.com/homedetails/32-Hilltop-Rd-Naugatuck-CT-06770/174504343_zpid/","DESIRABLE WESTSIDE LOCATION! This sweet ranch invites you in, up it's custom marble stone-slabbed entrance to an open-concept layout - offering excellent entertainment space and convenient living. The main level, which has gorgeous heavy crown-molding and hardwood flooring (except the tiled kitchen and tiled full bath), contains a great living/dining combo with custom fireplace that leads to the bright and airy kitchen with stainless fridge and gas stove. 3 good-sized bedrooms and the 1st full bath just down the hall, which allows for a more functional layout, finish off the square footage on the 1st floor. Lower level consists of a large family room, 2nd full bath, and an additional room which would make a great office or guest room - all with easy to clean tile flooring. The expansive back yard, accessed conveniently off the kitchen, should be considered as additional living space with its custom-built outdoor kitchen with grill, sink, and bluestone countertop - surrounded by a large paver patio. Additional yard space in the back of the lush green yard, just past the bucolic stonewall, makes for a perfect spot to have a firepit for enjoying nature with friends and family! The utilities serving the home are the ideal: gas for stove & forced-air heat, city water, and city sewer. Other features of the property include a brand new roof, recessed lighting, attractive landscaping & excellent curb-appeal, and central air conditioning. Great commuter location as well! COME SEE!!","SingleFamily","1955","18,730 sqft"
"$284,900","3 bds","3 ba","1,944 sqft","https://www.zillow.com/homedetails/199-Osborn-Rd-Naugatuck-CT-06770/68544766_zpid/","BEAUTIFUL RAISED RANCH WITH 3 GENEROUS SIZED BEDROOMS AND 3 FULL BATHS, STAINLESS STEEL APPLIANCES, 2 CAR GARAGE  24 HR NOTICE NEEDED FOR SHOWINGS","SingleFamily","2004","16,552 sqft"
"$289,900","3 bds","2 ba","1,215 sqft","https://www.zillow.com/homedetails/34-Adella-St-Naugatuck-CT-06770/58926801_zpid/","Nice clean home in move in condition. Adella Street is unpaved Town Road. Garbage pick up and snow removal provided by town. Eceptional home tastefully decorated. Propane Gas Fireplace. Walk out basement about 600 Sq.Ft for future room. ""As Is"" condition. Laundry in basement","SingleFamily","2002","13,503 sqft"
"$369,900","3 bds","3 ba","2,940 sqft","https://www.zillow.com/homedetails/17-Fairfield-Ct-Naugatuck-CT-06770/58926409_zpid/","Welcome Home! Meticulously maintained 1999 Colonial located in Fairfield Estates neighborhood near Hop Brook Golf Course & Baummer Pond. Features include spacious bedrooms including a master suite with whirlpool tub and walk-in closet, updated kitchen with stylish backsplash, breakfast nook and new stainless appliances. You can staycation in this fully fenced-in yard with new Trex deck. The beautifully finished basement is perfect for the sports enthusiast or home gym, (not heated) but used often with an electric FP. New water heater, main level laundry, and more! ****contingent on Sellers finding suitable housing, a few in mind****","SingleFamily","1999","12,632 sqft"
"$359,900","3 bds","3 ba","1,515 sqft","https://www.zillow.com/homedetails/580-Horton-Hill-Rd-Naugatuck-CT-06770/58926844_zpid/","Immaculate Home on beautifully kept property. Open kitchen with Corian countertops, ceramic tile flooring, and stainless steel appliances. Large dining area with hardwood floor and sliders to deck overlooking backyard. Living Room has a fireplace and hardwood floor. Master Bedroom with hardwood floor, full bath and pedestal sink. Lower level family room has a half bath and walk out to deck. Enjoy the peaceful private setting of this home while minutes to ammenities and major highways.","SingleFamily","2003","34,412 sqft"
"$230,000","3 bds","2 ba","1,344 sqft","https://www.zillow.com/homedetails/66-N-Hoadley-St-Naugatuck-CT-06770/58923404_zpid/","Back on Market - Buyer Unable to Perform.  Well maintained and nicely updated three bedroom Colonial! Extend your home living area to your covered wrap around front porch in the summer time... a nice way to start or end a day.  Inside are finished hardwood floors through most of the house including the dining and living room on the first floor.  The kitchen is recently updated with granite counter tops and backsplash, stainless appliances, white cabinets and updated hardware and accent ceiling fan.  There is a half bath on the main level too.  Upstairs are 3 large bedrooms with all hardwood floors and an updated full bath.  Step outside to a level back yard with a detached two car garage. Room for play, entertain or a garden.  Mechanicals, roof and structure are all solid in this home. Close to fine dining and shopping.  Must see...","SingleFamily","1918","6,534 sqft"
"$119,900","1 bd","1 ba","647 sqft","https://www.zillow.com/homedetails/95-Mill-St-Naugatuck-CT-06770/174512506_zpid/","Welcome to this lovely and well-maintained bungalow.  Minutes away from 84 East and 84 West, to routes 63, 67, 69.  5 minutes to the train station and local Big  Y.  Enjoy the quietness and peacefulness of this beautifully located Bungalow, and yet the closeness to the main grocery stores, CVS pharmacy, D&D coffee and much more.  This small affordable home offers great amenities for a low budget.  Perfect  for a couple that wants to start a lifetime together, or a small family that wants the privacy of their own home.  Great starter home. This home has been maintained by its owners. Presents with many recent updates, the Kitchen and bathroom.  Enjoy all that this home has to offer, like an open concept living.  The house has beautiful floors, two bedrooms and, an updated kitchen with all appliances.  The roof was replaced in  2016, the well pump replaced in  2017.  The patio, located off the kitchen is ideal for entertaining.  There is a tennis court across from the home, running trail around the pond, Where fishing is possible, and a park for a little one to enjoy.  Schedule a viewing today and bring your ideas and personal touches to make this house your home! This property and opportunity will not last!!!!!","SingleFamily","1915","6,534 sqft"
"$189,900","3 bds","1 ba","912 sqft","https://www.zillow.com/homedetails/76-Red-Robin-Rd-Naugatuck-CT-06770/58929491_zpid/","Come See this cozy home situated in the desirable town of Naugatuck. Home is located in a very peaceful and stable neighborhood. Great starter home or even perfect for downsizing. This is definitely a must see..  Schedule your showings today!!","SingleFamily","1971","9,147 sqft"
"$320,000","3 bds","3 ba","1,780 sqft","https://www.zillow.com/homedetails/261-Wedgewood-Dr-Naugatuck-CT-06770/174507935_zpid/","This is not your average ranch! This expansive home includes a two-car garage, two living areas as well as a large basement that can easily be finished for additional space. Homeowner’s pride shows throughout. The entire interior has been freshly painted with beautiful neutral colors. The eat in kitchen has been tastefully updated with granite counters, a warm tiled backsplash, and stainless-steel appliances. The kitchen leads to a large family room that is full of natural light and features a beautiful fireplace to keep warm on cool nights while watching the snow fall. This room would be perfect for gathering of friends and family.  The French open to a deck that oversees a beautiful yard, the perfect spot to enjoy your morning coffee. Much of the home features beautiful warm hardwoods including the three bedrooms. The master bedroom includes an updated ensuite for your convenience.  This home sits in a quiet neighborhood that you will be sure to love. No Showings till Open House","SingleFamily","1968","15,246 sqft"
