"Price","Bed","Bath","Area","HouseURL","Description","Type","Built","Lot"
"$289,900","4 bds","2 ba","1,819 sqft","https://www.zillow.com/homedetails/375-Slater-Rd-New-Britain-CT-06053/174048659_zpid/","Completely updated cape in New Britain! Right on slater rd close to little poland batterson park and highway. Home has 3 beds 2 full baths and a finished basement. Newer roof windows floors cabinets electrical and plumbing! Detached is a spacious 2 car garage with an attached shed   Agent Owner","SingleFamily","1950","16,988 sqft"
"$205,000","3 bds","2 ba","2,118 sqft","https://www.zillow.com/homedetails/781-Farmington-Ave-New-Britain-CT-06053/174040375_zpid/","DEVELOPMENT PROPERTY. POSSIBLE 4 LOTS plus the single family home if the 2 family is torn down. MUST BE SOLD WITH 771 FARMINGTON AVE TOTAL PRICE $405,000. Great development opportunity for single family homes (8000sf lots) adjacent to Pulaski Middle School.  781 and 771 Farmington Ave being sold as a package; single family plus 2 family, 2 outbuildings and barn on 1.39 acres of land. Ideal location minutes from the Farmington line, BATTERSON PARK and the I-84 entrance ramp. Both buildings sold AS IS.  S2 zone","SingleFamily","1980","18,730 sqft"
"$179,900","4 bds","2 ba","1,331 sqft","https://www.zillow.com/homedetails/11-Anise-St-New-Britain-CT-06053/174038471_zpid/","This home is located on a very quiet side street very close to CCSU. Would make a great college rental or single family home. This home offers 4 bedrooms, lots of hardwood floors, fireplace, and nice back yard with a large covered patio. Come put your finishing touches on this home today!","SingleFamily","1956","5,227 sqft"
"$184,900","4 bds","2 ba","1,371 sqft","https://www.zillow.com/homedetails/101-Allen-St-New-Britain-CT-06053/174041132_zpid/","Welcome to 101 Allen St. This home has a newer roof, newer boiler, and 100% off solar panel system. This clean home is perched up atop a hill and offers a great yard. Minor updating/customizing will make this yours. Close to CCSU and all major conveniences.","SingleFamily","1953","7,405 sqft"
"$200,000","3 bds","2 ba","1,228 sqft","https://www.zillow.com/homedetails/140-Childs-St-New-Britain-CT-06051/174042191_zpid/","This beautiful cape cod style home offers 3 bedrooms, 1.5 bathrooms, and over 1200 Sq Feet of living space ready for you to make it your home!! This corner lot includes a great-sized yard and a large driveway for convenient off-street parking. Tons of updates throughout, there is nothing for you to do but move-in and enjoy life. This is the definition of TURN KEY READY! Don't wait, this home will not last!","SingleFamily","1959","6,969 sqft"
"$189,000","5 bds","2 ba","1,594 sqft","https://www.zillow.com/homedetails/27-Eton-Pl-New-Britain-CT-06053/174038361_zpid/","Ton of potential with this one and deciveingly bigger than it looks. This cape style home has 5 bedrooms and room to expand in the partially finished basement. 27 Eton is located close to CCSU and offers easy access to all shopping and major highways. Could be a great rental or single family. Check it out today.","SingleFamily","1958","9,147 sqft"
"$199,900","4 bds","1 ba","1,188 sqft","https://www.zillow.com/homedetails/214-Stanwood-Dr-New-Britain-CT-06053/58147946_zpid/","Look no further for that special MOVE IN READY home! Situated on a private yard with spectacular views of mature New England trees and a fenced backyard area ideal for pets!  Enjoy a Zen like experience listening to the hum of the Quinnipiac River well below. Hard to find this type of venue in the city suburbs. Enjoy all this home has to offer both inside and out! Comfortable living room with wood burning fireplace is ideal for watching TV or relaxing with a book. Hardwood floors are featured throughout the home. Enjoy preparing meals in the efficient kitchen overlooking that great backdrop of foliage! Plenty of room for the bistro table with a large bay window to again enjoy the scenery. First floor master bedroom is convenient for those looking for one level living. Tastefully remodeled bathroom on the main level with new vanity and lighting. Second bedroom on the main level can be alternatively used as a home office. Upstairs features 2 more bedrooms both with ample closet space. Plenty of storage and workshop space area in the lower level plus attached garage. Now the part you have been waiting for! Calling all grill masters! Experience BIG DADDY'S OUTDOOR COOKING STUDIO! This is the ultimate set up for the GRILLING CONNOISSEUR! Plenty of room for the smoker, grill and all your outdoor cooking essentials situated on a raised deck behind a private fenced area! Enjoy those Sunday afternoon BBQ's or dine ""AL FRESCO"" under the stars at night. Don't let this one get by!","SingleFamily","1955","15,246 sqft"
"$164,900","2 bds","1 ba","720 sqft","https://www.zillow.com/homedetails/82-Stanwood-Dr-New-Britain-CT-06053/174054527_zpid/","Located just minutes from I84, Route 9, local shops and nearby commuter bus lines is this starter ranch home. This home could make a great owner occupied or investment property. 2 bedrooms, 1 bath. Newer roof. The home is currently tenant occupied.","SingleFamily","1943","8,276 sqft"
"$219,900","4 bds","3 ba","1,824 sqft","https://www.zillow.com/homedetails/92-Hatch-St-New-Britain-CT-06053/174040661_zpid/","Don't miss out on this RARE FIND, well maintained extended cape.  This colonial style living property features 2 large beds, 1 full bath on the main level, 2 large beds with 1 half bath on the upper level and a partially finished, spacious basement with 1 half bath. You can appreciate the open concept living room that offers a beautiful brick fireplace perfect for family gatherings in those cold winter night. Attached is a bonus room that can be used as a play room, office space or extension off the living room as a sitting room. Hardwood floors throughout most of the main level. Slight renovations can convert the second level half bath into a full bath by adding a standup shower. Open, sun-filled kitchen with recess lighting, loads of cabinetry and plenty of space. The open kitchen floorplan flows into the second living room and/or parlor room, allowing for plenty of space for family dinners. Open the sliding doors to the freshly painted, private patio right off of the kitchen.  The backyard is private, fenced, spacious and has fruit trees. The driveway can hold up to four vehicles. The freshly painted basement offers a half bath and plenty of room for storage. Areas in the basement can be used as play rooms, movie room, game room or gym.  This cape is located in the heart of New Britain, in close proximately to CCSU, Stanley Park, West Farms Mall, walking trails and all major highways, adding major value to the home. Schedule your showing today!","SingleFamily","1947","9,583 sqft"
"$175,000","4 bds","2 ba","1,546 sqft","https://www.zillow.com/homedetails/1354-Corbin-Ave-New-Britain-CT-06053/174043714_zpid/","Check out this spacious brick 4 bedroom Cape! This property is ready for a new owner! It features hardwood floors, fireplace with a wood stove insert, updated bath, beautiful private backyard and much more! Come see it and make it yours! Sold As Is.","SingleFamily","1947","9,147 sqft"
