"Price","Bed","Bath","Area","HouseURL","Description","Type","Built","Lot"
"$1,150,000","6 bds","5 ba","5,026 sqft","https://www.zillow.com/homedetails/50-Cold-Spring-St-New-Haven-CT-06511/58932488_zpid/","Stunning- renovated sunfilled Colonial overlooking East Rock has everything and is close to everything. Large foyer opens into a bright and airy open living room, dining room, and kitchen, separated by a double-sided fireplace. Gourmet kitchen equipped with double ovens, ventilation hood, gas cooktop, built-in island, quartz countertops and more. A cozy private family room is situated off the kitchen. Front and rear staircases lead to the upper floors. Second floor hosts four spacious bedrooms with shiplap accent walls and renovated bathrooms. The master bedroom suite overlooks park and includes a sitting room and an open walk-in closet. Master bath has gorgeous tile work, soaking tub, deluxe shower, and double vanity. A laundry area and southern facing greenhouse complete the second level. The third floor boasts a huge East Rock facing great room or office room (perfect for working from home), two additional bedrooms, a small kitchen and renovated bath. Fantastic space for an au pair or inlaw suite. The basement is fully finished and includes exercise space, a movie room, multi-purpose spaces, and a half bath. Over 5,000 sq ft of living space. Renovations also include new hardwood floors, LED lighting, new plumbing, new electrical, four-zone natural gas hydro-air heating and central air with on-demand hot water. A private deck off the kitchen overlooks the enclosed backyard, fire pit and two-car garage.","SingleFamily","1907","7,840 sqft"
"$745,000","3 bds","2 ba","2,256 sqft","https://www.zillow.com/homedetails/38-Eld-St-New-Haven-CT-06511/58932540_zpid/","Greek Revival Colonial has been completely transitioned by its architect/landscape architect owners, seamlessly combining antique beauty with today's modern lifestyle. Pristine, faithfully restored exterior w/mahogany front porch, white Doric columns & cedar clapboard cladding bring you to a slick, modern European contemporary interior that will impress even the most scrutinizing buyer. Open concept design: double-volume Entry Foyer is defined by curved staircase. Living Room has over 9ft high ceilings, oversized windows and original marble heating Fireplace; open Dining / Family Room is flanked by a wall of windows South-facing and overlooks beautifully landscaped private yard. The minimalistic design of the Kitchen fits perfectly with the character of the interior: meticulously restored mid-Century Geneva cabinets, Corian counters, stainless-steel appliances: 2 under-counter refrigerators, under-counter oven, gas cooktop & vented hood. 1st floor also has a bedroom with full bathroom.  Generous 2nd floor landing leads to a spacious Master Bedroom with FP, bank of Velux skylights, windowed Dressing Room / walk-in closet; second bedroom & large Spa-like Master Bathroom.   Open staircase leads to the 3rd floor Loft/Office/Bedroom with walls of built-in cabinetry in exotic woods: Jarrah, mahogany, and bird's-eye maple.  Secret garden with ""garden rooms"" designed to display blooms throughout the seasons, complements the house.  Walk to downtown, Yale, all conveniences.","SingleFamily","1900","4,791 sqft"
"$1,497,500","4 bds","4 ba","4,181 sqft","https://www.zillow.com/homedetails/424-Saint-Ronan-St-New-Haven-CT-06511/58932710_zpid/","Beautifully renovated classic home majestically set high on quiet block of New Haven’s most desired street with 2-car garage and flat back yard. Spectacular renovations of kitchen, 4 bathrooms, 5 gas FPs, light fixtures, abundant recess lights, AC, electrical and plumbing.  The graceful entry with mahogany custom door leads to the sunny LR/DR and FR offering custom built-ins, FPs, elegant moldings, HW floors, glass French doors opening to a spectacular sunroom with walls of glass, skylights, and entry to a level stone patio, large functional, private yard perfect for play, entertaining, and gardening. Kitchen gut-renovated with the utmost taste and style w/ white custom wood cabinets, quartz counters, high end appliances of Subzero ref., Subzero full-length wine ref., Wolf stove, + custom built-in banquette. Spectacular master suite with FP, 2 exterior Ipe balconies with iron rails, walk-in closet + dream bathroom with double/rain shower, MTI Elise stone tub, double custom built-in vanity + radiant floor heat. Large third floor with gas FP is an outstanding FR/library. It was original ballroom + now has walls of built-ins, window seats, a raised area that was once stage, + a magical Harry Potter secret hiding space. This special home is in the ideal location close to Yale, private schools, parks, hospitals and Town. It’s the perfect combination of old-world charm + modern conveniences, + it sparkles inside + out!  This inviting home provides the best East Rock has to offer.","SingleFamily","1911","16,552 sqft"
"$1,770,000","4 bds","6 ba","7,824 sqft","https://www.zillow.com/homedetails/114-Cove-St-New-Haven-CT-06512/81788440_zpid/","Remarkable custom-built home with spectacular views of Long Island Sound and the New Haven skyline. The magnificent foyer welcomes you, with a double-height ceiling, stunning chandelier, and grand staircase. Moving past the foyer, architectural details continue to astound you in every room. A large theatre room, complete with a wet bar and a 10-foot screen, allows you to have private screenings of your favorite films. The stately home office with fireplace provides privacy for working hours. Moving to the main living areas, where breathtaking views of the water will amaze you every day. A gourmet kitchen features incredible amenities and a layout fit for entertaining. Casual and formal dining areas provide options for meals, and the living room with fireplace exudes a cozy elegance. The master ensuite is a luxury retreat, boasting a fireplace, private balcony, and spa bathroom, all overlooking the ocean. On the lower level, find a game room, home gym, and extensive wine cellar. Located close to downtown New Haven, restaurants, and shops. Schedule your private showing today.","SingleFamily","2006","14,810 sqft"
"$995,000","5 bds","4 ba","3,770 sqft","https://www.zillow.com/homedetails/221-Everit-St-New-Haven-CT-06511/57964203_zpid/","Stunning center hall colonial on one of East Rocks most desirable streets. The first floor features a cozy living room with built-in's and fireplace, large dining room with raised panel woodwork, office/den with floor to ceiling book cases.  The heart of the home is the spectacular kitchen/family room. Kitchen has Brazilian granite counters, huge center island, two sinks and dishwashers, subway tile backsplash, convection oven and induction cook top, under counter lighting and hardwood floors. The family room is light and bright with French doors that lead to a beautiful yard with lighted Koi pond, deck and natural stone patio; its an oasis in the city! The Master suite features dressing room, bath with Moroccan tile flooring and radiant heat, Ct limestone tub and vanity. The finished third floor has bedroom, full bath, living room, efficiency kitchen all repainted and updated with its own entrance.  In addition this the property has central air, state of the art security system, professionally landscaped yard and solar panels.  A very special home within walking distance of parks, restaurants and markets.","SingleFamily","1910","10,890 sqft"
"$2,900,000","8 bds","9 ba","7,795 sqft","https://www.zillow.com/homedetails/352-Saint-Ronan-St-New-Haven-CT-06511/57964294_zpid/","Immaculate restoration of one of the most significant houses built in New Haven during its Golden Age. This 1913 Colonial, originally designed by R.W. Foote, has been lovingly restored and remodeled to feature the latest conveniences expected by today's sophisticated buyers. Well proportioned rooms, incredible light, cherry floors, original plasterwork and large rooms make this house stand out.   Heated front brick walkway brings you to a large Entry Hall with domed ceilings. To the left there is an East-West facing Formal LR with FP; two sets of French Doors open to the private Sun Room with full bath and kitchenette. To the right, there is an East-facing Library. Right next to it is an oval stair hall with mahogany carved staircase and a large leaded-glass skylite above. The Formal DR features intricate plaster-relief ceiling, hand painted oriental wallpaper and FP.   Completely redesigned kitchen wing features a chef's kitchen w/all intricately designed custom cabinetry; Great Room w/heated floors, FP, coffered ceiling,  and 4 sets of French Doors that open to the garden overlooking 0.84 ac private professionally landscaped yard w/ sprinkler system, & invisible fence.  The second floor has a spacious Master Suite with a private Lounge, Bedroom, sitting room, 2 dressing rooms & 2 bathrooms. 3 more bedrooms & 2 full baths & large Laundry Room are on this level. The 3rd floor has 3 guest BRs & 2 full baths, an Office & 2 sitting areas. Porte cochere. West-facing tile terrace.","SingleFamily","1913","37,461 sqft"
"$475,000","4 bds","4 ba","3,396 sqft","https://www.zillow.com/homedetails/155-Stevenson-Rd-New-Haven-CT-06515/57973033_zpid/","Come explore this sun-filled, split level featuring a unique and open floor plan, hardwood floors and a surprising amount of space! As soon as you step in the front door you're greeted by the spacious living room with wooden beams and French doors taking you out to the private backyard. There is a separate dining room, as well as a large kitchen with an eat-in area. There are two master bedrooms, both on opposite sides of the house - perfect for an in-law option. There are four full bathrooms, three of which were updated with custom details. Lower level features a nicely sized family room with built-ins and a wood burning fireplace, plus find your 4th full bath down here. This is a great option for a playroom space or home office, could even be a 5th bedroom. Step down one more level to the basement, which has built-in shelving and lots of room for storage plus an extra room that is currently used as an office. Wired for a home audio system throughout most of the house. 4 zone heat. 10 minutes to downtown New Haven/Yale; close to Merritt Parkway; walk to Hopkins Prep School and Regional Water Authority property/trails. Private backyard backs up to the Yale Golf course - perfect spot for sledding and exploring. Come see all that this upper Westville home has to offer!","SingleFamily","1957","12,196 sqft"
"$1,390,000","8 bds","4 ba","6,830 sqft","https://www.zillow.com/homedetails/9-Saint-Ronan-Ter-New-Haven-CT-06511/58932794_zpid/","This magical house is located on a small cul-de-sac Street in East Rock, just blocks away from the Yale campus. It offers great seclusion, is surrounded by mature trees and landscaping, and has superb views of East Rock and the City of New Haven. The house has a spacious layout, yet it feels comfortable and warm. The house offers beautiful architectural details including an extraordinary foyer with a magnificent mahogany staircase, large stained glass window, and intricate wood paneling, 10' ceilings + many fireplaces. The kitchen has been renovated and has excellent work and storage space and boasts a sunny south east exposure dining area. The formal dining room has a large intricate fireplace, and is perfect for entertaining. The extraordinary family rooms offers a handsome fireplace, beamed ceilings, stained glass, and a door to a covered patio. The second floor master suite has a BR, dressing room, full bath, and a sitting room. There are 3 additional BRs and 2more bathrooms on this level. The third floor offers 3 more rooms, a full bath, and is ideal for an au pair, play or guest area. A home gym area, laundry room, half bath, and walkout to a lovely terrace are on the lower level. There are 2 driveways, and good off-street parking. This glorious house has been lovingly and tastefully mainttained. This is a most special property!","SingleFamily","1900","18,295 sqft"
"$325,855","3 bds","2 ba","1,768 sqft","https://www.zillow.com/homedetails/1154-Quinnipiac-Ave-New-Haven-CT-06513/57959333_zpid/","COLONIAL REMODELED APPROX 8 YEARS AGO - BEAUTIFUL WOODWORK AND DETAILS CURRENTLY RENTED FOR 2100$ A MONTH  PARCEL NUMBER 119/1036/00300 AN ADDITIONAL 2.07 ACRES IS INCLUDED ( SAME ADDRESS DIFFERENT PARCEL TAX SEPERATLY APPROX 200$ A YEAR)","SingleFamily","1900","37,026 sqft"
"$295,000","4 bds","2 ba","1,810 sqft","https://www.zillow.com/homedetails/215-Kneeland-Rd-New-Haven-CT-06512/57956474_zpid/","Charm & Character are evident throughout this sun drenched 1900 stately 4 bedroom colonial home! Set on a fenced .25 acres corner lot in a neighborhood of tree-lined streets, amidst well-cared for gracious homes. Only 1 block from East Shore Park, this home boasts BEAUTIFUL SEASONAL WATER VIEWS.Enter the bright & spacious enclosed porch & imagine gathering w/family & friends in this relaxing & cozy setting.Step into the expansive living room,complete w/gleaming hardwood floors & many windows, inviting an abundance of natural light.The formal dining room, adjoining the spacious living room, makes this open floor plan ideal for entertaining guests. A breakfast bar, positioned between the kitchen & the dining room, provides serving space that is both ample & convenient.The kitchen overlooks a view of the lovely patio, garden area & is steps away from a 2-car garage.  A half bath &  possible FIRST FLOOR BEDROOM, which could also serve as an office, complete the 1st floor. The stairway w/beautiful oak railings & balusters, leads to 3 more bedrooms, a full bathroom & laundry. 2 of the upstairs bedrooms have HW flrs beneath the carpet.  Plenty of storage space is available with a walk up attic, full basement, closets & oversized garage. You'll enjoy the short walk to the waterfront park, to enjoy the sights & sounds of nature. Only minutes to stores, schools, restaurants & New Haven commuting. With a bit of TLC, this unique home can be brought back to it's full regalia! Sold AS IS.","SingleFamily","1900","10,890 sqft"
