"Price","Bed","Bath","Area","HouseURL","Description","Type","Built","Lot"
"$379,900","3 bds","2 ba","2,006 sqft","https://www.zillow.com/homedetails/90-Humming-Bird-Dr-Northford-CT-06472/57977612_zpid/","dont miss this 4 level split with new kitchen, roof, paint, flooring, walkway, windows, boiler, well pump and tank and more.  house has bright livingroom with fireplace and newly remodeled kitchen with quartz counters and stainless appliances.  there is a screened porch off large diningroom, the house has two familyrooms as the lower level is partially finished with another fireplace","SingleFamily","1973","38,768 sqft"
"$339,900","3 bds","1 ba","1,200 sqft","https://www.zillow.com/homedetails/86-Woodland-Dr-Northford-CT-06472/57977596_zpid/","This one level three bedroom ranch is fully loaded with all the updates you need. The owner did not spare expenses on this renovation. High efficiency 20 SEER heat pump for heating and cooling, hybrid heat pump water heater, and new pressure tank, pressure switch, and dual filter for well system. New thermal pane tilt in windows, new front door, new slider to deck, bathroom remodeled, new kitchen cabinets and all new appliances. LED lighting throughout house, separate laundry room, attic and walls recently insulated, all new interior doors and hardware. Hardwood floors are redone. New exterior design and lighting surrounding this stylish home. Wallingford Electric and city sewage connected is a plus! Save even more by utilizing the Napoleon fireplace with thermostatic fan control. Control your thermostat, hot water heater and garage door via internet. This home is a great value saving you money monthly is a big plus! 86 Woodland Drive is close proximity to New Haven. Enjoy local winery's, Farm Markets and fine dining close by. Schedule your private showing today!!","SingleFamily","1952","12,196 sqft"
"$239,000","2 bds","2 ba","1,398 sqft","https://www.zillow.com/homedetails/538-Forest-Rd-Northford-CT-06472/58934267_zpid/","Property needs rehab and is selling for under market value. ( pictures from it's heyday ) Great flipper in highly desired Northford, CT. The perfect self sufficient Tiny Home / Mini Farm (900+ sqft house) Small historical home (1855) with expandable 2 bedroom floor plan on over one acre. 1.5 baths. One plus detached garage. Dilapidated barn and attached (good) out buildings. Plenty of storage. Description: Large Native Stone fireplace in the living room. Old fashioned front screened porch. 100s of bulbs planted. Japanese Maples growing naturally on the property. Lower level courtyard with barn and extra outbuildings. Trails on the property down to your own river frontage beach area on the trout stocked ""Farm River"". Chicken pen/dog kennel for your farm fresh eggs still intact. Property is on a main corridor and zoned for mixed use. Potential galore. Property needs TLC and is selling for under market value. Make us an offer. Sold as-is where -is.","SingleFamily","1855","45,302 sqft"
"$465,000","4 bds","3 ba","2,248 sqft","https://www.zillow.com/homedetails/14-Foote-Hill-Rd-Northford-CT-06472/57976840_zpid/","Amazing custom built colonial with 4 bedrooms and 2 1/2 baths, tucked away on a serene private lot.  The driveway leads to a spacious front lawn overlooking a pond, a perfect view from the front porch.  Inside features include; an entertainers dream home with a large great room, wood burning fireplace, hardwood floors and kitchen with an abundance of cabinets, granite countertops, center island breakfast bar and stainless steel appliances. The 3 car garage offers plenty of room for storage as well as the partially finished basement.  All this sitting on 1.6 acres with a pool and large deck in the backyard. Wallingford Electric services this home. Close to highways, shopping, restaurants and center of town. Be sure to put this ""must see"" home on your list! Contingent upon sellers finding suitable housing.","SingleFamily","1985","72,309 sqft"
"$345,821","3 bds","2 ba","1,440 sqft","https://www.zillow.com/homedetails/33-Wilford-Rd-North-Branford-CT-06471/57976334_zpid/","Property is reported to be OCCUPIED. Occupants are not to be disturbed or contacted under any circumstances.","SingleFamily","1964","39,639 sqft"
"$565,000","4 bds","3 ba","3,217 sqft","https://www.zillow.com/homedetails/2-Ledgewood-Dr-North-Branford-CT-06471/58933640_zpid/","Extraordinary One of a Kind home, yet classic in detail, will check off all of your boxes and then some! Filled with charm and character, the home has 4 bedrooms, 3 bathrooms, an open concept kitchen/ family room combination graced with antique wood beams from an old barn in Guilford, walls of rare mushroom wood  and an amazing two story wood burning fieldstone fireplace plus a reading loft that overlooks the room. As you walk through the home you will delight in the spiral staircase leading to the game room or you can step into the sunny front office fitted with classic leaded glass windows. The list goes on but one of the most incredible things about this home is the 8 car garage! If you are a car enthusiast (or just want more options for storage), you have arrived at your destination! Quality, charm, function, privacy, serenity, location...this is it.","SingleFamily","1976","54,885 sqft"
"$259,900","3 bds","1 ba","1,193 sqft","https://www.zillow.com/homedetails/4-David-Ln-Northford-CT-06472/57976717_zpid/","Great starter home or perfect for downsizing located in a scenic Northford neighborhood! Featuring 3 Bedrooms 1 Bathroom. Level corner lot on a dead end street. This house is ready for your finishing touches! Roof, Siding, Windows, Boiler, & Driveway have been updated over the years. Possible Hardwood floors under carpets. Home is being sold As-Is. Make an appointment today! Great opportunity to get into Northford at this price point!","SingleFamily","1958","27,007 sqft"
"$575,000","4 bds","3 ba","2,753 sqft","https://www.zillow.com/homedetails/3-Fawn-Meadow-Ln-North-Branford-CT-06471/58934822_zpid/","Welcome to your Gorgeous, Completely Renovated, Contemporary Colonial - with over 3900sq ft of living space for you to call Home!!! Your 4 bedroom 2-1/2 bath Palace might have the Prettiest Kitchen you’ve ever seen!  You'll be awed by the stunning Quartz Countertops, Stainless Steel Appliances, Enormous Luxurious Island including a Wine Fridge and Microwave, incredible Double Oven, and Exquisite Cabinetry with Under Cabinet Lighting  and that's  just the beginning of what you will experience!!! With everything from Brand New Light Fixtures to Crown Molding throughout! Your home has been Freshly Painted, has Hardwood Floors, throughout, a Striking Stone Walled Fireplace, and Massive Bedrooms with Walk in Closets in Each One!!!  In addition you have a First Floor Laundry Room, Finished Basement as well as Tremendous Storage for all your needs and wants!  Let’s not forget Central Air, Multi Zone Heat,  a Large 3 Car Garage, and plenty of parking! Location, Location, Location Really is so very important, as you are 18 minutes from downtown New Haven, Well Known for the Most Famous Pizza places in all of America, and Restaurants that will Impress your pallet every time!  Minutes to 91, Metro North, and 40 minutes to Hartford, Your New Life and Memories here will be Everything You have Always Worked and Dreamed for...","SingleFamily","1998","59,677 sqft"
"$525,000","3 bds","1 ba","1,648 sqft","https://www.zillow.com/homedetails/98-102-Foxon-Rd-North-Branford-CT-06471/2078212371_zpid/","Unique horse property on 4.7 acres features a single family 7 room, 3 bedroom Colonial ideal for owner/rental income, a 14-stall, 2 - story horse barn (55x47); Corn crib and workshop; a (42x22) carriage shed with electricity and 2 sliding doors; circular bull ring and area to walk horses;  Many potential uses for this property which is located in an I-3 zone.  Total of 5 outbuildings plus a single family home!  Single family home is 98 Foxon Rd, Barns and property is 102 Foxon Rd.  Convenient to I-91 and I-95.  House cannot be shown due to the tenant.  Taxes for 98 Foxon Rd are $4778, Taxes for 102 Foxon Rd are $4157.  Total RE taxes equal $8935.00.","SingleFamily","1840","203,425 sqft"
"$819,000","4 bds","3 ba","5,209 sqft","https://www.zillow.com/homedetails/19-North-St-North-Branford-CT-06471/123861327_zpid/","Take a walk through history when you enter the ""Daffodil House"" as it has been named by area residents. Once the Congregational Church Parsonage, this elegant home was built in 1740 and is over 5,200 sq. feet.  4 bedrooms and 2.5 baths are just the beginning of the various spaces to explore.  The kitchen has a wood stove as well as gas oven/range with an adjacent butler's pantry. The spacious living room has a wood stove and a fireplace with built ins and french doors leading to a sun room. The stately dining room has a set of french doors leading to an expansive, flat yard and another fireplace. The master bedroom has a fireplace and a dressing room that was long ago used as a ""Borning Room"". There is a light filled unfinished area next to the office with a skylight that would be perfect for an artist studio.  Included on the property is a three car barn/garage with loft space above for possible expansion currently used as a workshop.  There is also a playhouse/artist studio that was once a pump house.  Not to be missed is the beautiful property with its hill of daffodils, arbor, and many delightful plantings.  You will love the location steps from the town library and walking trail. North St. is a dead end leading to water company property so no through traffic. Easy access to New Haven & within 2 hrs to NY or Boston. This exceptional property is waiting for a new owner to fall in love and make it their own. New roof March 2021. This home is being sold in ""As Is"" condition.","SingleFamily","1740","374,616 sqft"
