"Price","Bed","Bath","Area","HouseURL","Description","Type","Built","Lot"
"$200,000","3 bds","2 ba","1,488 sqft","https://www.zillow.com/homedetails/169-Pool-Rd-North-Haven-CT-06473/174447938_zpid/","""Diamond in the rough"" on 1+ acre lot in the heart of North Haven. This home does need cosmetics and is being sold in ""as-is"" condition. Will not go VA/FHA. This home has a living room, and large eat-in kitchen with a door that leads to an oversized deck. There are 3 nice-sized bedrooms, 1.5 baths, lower level family room with fireplace. Level lot with detached garage and attached storage shed. It is convenient to shopping and all major highways. Subject to probate court approval. HIGHEST AND BEST by Thursday, April 29th by 7pm.","SingleFamily","1955","44,866 sqft"
"$289,900","2 bds","1 ba","1,233 sqft","https://www.zillow.com/homedetails/52-Montowese-Ave-North-Haven-CT-06473/174449104_zpid/","WELL MAINTAINED RANCH CONVENIENTLY LOCATED IN NORTH HAVEN.  SPACIOUS LIVING ROOM WITH HARDWOOD FLOORS, UPDATED KITCHEN WITH NEW CABINETS, COUNTER TOPS, BACK SPLASH AND APPLIANCES. 2 BEDROOMS BOTH WITH HARDWOOD FLOORING.  2 ADDITIONAL ROOMS THAT CAN BE USED AS HOME OFFICE, DEN OR ADDITIONAL BEDROOMS.  LOWER LEVEL HAS PLENTY OF STORAGE WITH MORE ROOMS, ENCLOSED BREEZEWAY, 200 AMP ELECTRICAL SERVICE, ONE CAR GARAGE AND PLENTY OF PARKING.  THIS PROPERTY IS ZONED FOR AN OFFICE - WHICH IT IS CURRENTLY BEING USED AS.  CONVENIENTLY LOCATED TO HIGHWAYS AND SHOPPING.","SingleFamily","1959","20,037 sqft"
"$799,900","5 bds","4 ba","4,900 sqft","https://www.zillow.com/homedetails/19-Green-Field-Ln-North-Haven-CT-06473/174439670_zpid/",""," "," "," "
"$795,000","4 bds","4 ba","3,687 sqft","https://www.zillow.com/homedetails/11-Regency-Dr-North-Haven-CT-06473/174442029_zpid/","Let's work from home! Warm and inviting 3600 sq ft brick center hall Colonial has a country club setting and is highlighted by a beautiful pool and spa. The open Kitchen/FR offers marble counters, generous sized breakfast bar, double ovens and opens into the Family Room with a wet bar, palladium windows and pocket doors leading into the Living Room. The Master Bedroom offers his and hers walk-in closets, a quiet sitting room and recently renovated Master Bath. The fourth bedroom (24x30) is currently being used as two home offices. The finished Lower Level separately zoned offers a family room with fireplace, bathroom and exercise room.The pool and spa alone with the shed make this home extra special.","SingleFamily","1998","45,738 sqft"
"$560,000","4 bds","3 ba","2,243 sqft","https://www.zillow.com/homedetails/845-Middletown-Ave-North-Haven-CT-06473/174435350_zpid/","Better than new four bedroom colonial. Driveway fully paved with turn around. Set back on more than one acre of level land and very private back yard. Hardwood floors throughout first floor, hallway and landing upstairs as well as master bedroom and closet. Spacious bedrooms; master bedroom and en-suite bathroom with double sink and bidet upgrade on toilet. Private full bath between two guest bedrooms upstairs. Custom closets throughout. Finished bonus room over garage with large closet space for potential bedroom or entertaining. Second floor laundry room. Open floor plan with eat in kitchen. Hardwood floors throughout: Ideal layout for entertaining. Upscale kitchen with custom granite counter tops and stainless steel appliances. Center island that doubles as a breakfast bar. First floor also has a pantry and coat closet. Each bathroom vanity has been raised for convenience. Features unique upgraded lighting fixtures throughout. Paver stone patio and white vinyl perimeter fencing with side access locking door.                Agent related to seller","SingleFamily","2019","49,222 sqft"
"$304,900","3 bds","1 ba","1,253 sqft","https://www.zillow.com/homedetails/9-Peck-St-North-Haven-CT-06473/174449634_zpid/","North Haven!  Beautifully maintained single family home nestled just outside the center of town.  This charming Cape Cod style home has glistening hardwood floors and lots of natural light.  With three bedrooms and one full bathroom, the house is comfortable and cute and ""just the right size!""  Prior ownership has taken pride in the condition of this home and it shows- it is truly a must see!","SingleFamily","1942","10,890 sqft"
"$579,900","4 bds","3 ba","3,123 sqft","https://www.zillow.com/homedetails/546-Skiff-St-North-Haven-CT-06473/174439249_zpid/","This 3,100 SF sun-filled California-style contemporary ranch is located in the wonderful Ridge Road area of North Haven.  Just 10 minutes to Yale, and very close to shopping and highways, this 4/5 bedroom house was designed and built for entertaining!  Huge family room in front of house with floor-to-ceiling windows.  Large living room with fireplace has sliders overlooking large, fenced-in private yard with heated in-ground pool (and still plenty of room to run around).  Patio with $12k hot tub for enjoying the outdoors on cold winter nights. Two-car oversized garage. There’s even a fenced in dog run for your canine family members!  And look at the low taxes! It's important to note that the homeowners have spent their money updating all the mechanicals over the years (including a new roof, pool pump & filter, tankless hot water system, updated central air, furnaces, etc.).  Thus, any money buyers spend on this home would likely be purely for cosmetic purposes.  Although this house is located on Skiff Street, it is set back from the road, and amazingly quiet inside.  Owner has had parties where they’ve been able to park up to 30 cars in the recently-paved driveway.  If you’re looking for an unusual home in a fantastic area, and you like to throw big, fun gatherings for your family and friends, look no further than this great house!  (Note that the trampoline is negotiable.)","SingleFamily","1956","25,264 sqft"
"$469,900","3 bds","3 ba","2,271 sqft","https://www.zillow.com/homedetails/99-Bleeker-Cir-North-Haven-CT-06473/241552562_zpid/","Welcome to The Ridge at Pierpont Hill. A community of detached single-family homes in a maintenance free neighborhood. Phase I is almost 50% SOLD!  Four home style to choose from with all of today’s in demand features. Homes offer first or second floor MBR. Three-bedroom styles with in-home office, full basement, 2 car garages and much, much more. Model home ready for your inspection. Schedule your showing today!","SingleFamily","2020","No Data"
"$499,900","3 bds","3 ba","2,511 sqft","https://www.zillow.com/homedetails/27-Lexington-Gdns-27-North-Haven-CT-06473/2072274668_zpid/","Located near the end of the cul-de-sac in one of North Haven's most premiere subdivisions this custom-built home has it all! From the two-story foyer into the open concept kitchen, dining, and family room and then out to the private patio and yard. The kitchen features upgraded white cabinetry and custom granite counter tops with a large island. The family room features a gas fireplace and hardwood flooring and crown molding which continues throughout the first floor and spacious half bath. The second floor features a large loft area along with 3 bedrooms, 2 full bathrooms and a laundry room. The master suite features an oversized walk-in closet with an upgraded custom closet system. The master bath features a full tile shower and vanity area. The two other bedrooms are connected by a jack and jill style bathroom which feature a separate area for the shower and toilet from the double vanity. This was a custom plan and the only one built in the entire community with many custom features including upgraded trim, custom pantry and master closet, stained hardwood floors and a bidet  toilet in the master bath.","SingleFamily","2016","No Data"
"$1,225,000","8 bds","6 ba","5,392 sqft","https://www.zillow.com/homedetails/5000-Ridge-Rd-North-Haven-CT-06473/174440643_zpid/","The Twin Gates Estate is situated on 9 private acres in the heart of Sleeping Giant.  This 1936 Expanded Cape boasts the quality, detail and workmanship of a bygone era: elaborate molding detail, beamed ceiling, arch doorways and patterned hardwood floors.  Also includes: columned upper level great room with built-ins and French doors to terrace; grand size living room and dining room opening onto canopied brick and stone terrace; a ladies and gentlemen's lounge with wet bar; first floor remodeled efficiency apartment with attached greenhouse and the second is a one bedroom apartment with the 6 car garage.  A rare  opportunity to own a piece of history.  Located close to Quinnipiac University, Sleeping Giant, Yale and downtown New Haven, this mini estate would make a perfect bed & breakfast - as seen on Hallmark Christmas special ""Reindeer Lodge.""  Four of the pictures have been virtually staged to add some inspiration for redecorating ideas.","SingleFamily","1920","392,040 sqft"
