"Price","Bed","Bath","Area","HouseURL","Description","Type","Built","Lot"
"$410,000","4 bds","2 ba","2,600 sqft","https://www.zillow.com/homedetails/36-Soundview-Ave-Shelton-CT-06484/57355990_zpid/","Nestled deep behind stone walls on a gorgeous level acre in a very desirable Huntington neighborhood! This lovely pristine home is warm and welcoming, wonderful comfortable country charm. Spacious open Living Room with sunny bay window and gleaming hardwood floors, opens to lovely kitchen with large separate dining area, cabinets and counter space galore. The huge Master Bedroom is set privately in a quiet part of the home, three additional bedrooms all with gleaming hardwood floors, and a pretty newer hall bath. A bonus room offers a sitting room or office, a perfect at home place to work. Other features include Thermopane Windows throughout, a handy mud room, and a large rear deck overlooking your own Beautiful Park-Like Yard! This exceptional property with its perfect level acre lends itself to a myriad of possibilities for expansion, additions, even a second level should you have a growing family, or just wish to go bigger..or, move in and enjoy all the country charm just as it is! Builders and Investors please take notice, this property and lot are a builder's dream! A must see home!","SingleFamily","1972","40,075 sqft"
"$839,000","3 bds","4 ba","4,243 sqft","https://www.zillow.com/homedetails/32-Whipporwill-Dr-Shelton-CT-06484/57347770_zpid/","Custom All The Way! No expense was spared! One owner home built by a builder for his family with many upgrades and custom woodwork. The entertainment friendly floor plan welcomes you with an expansive two story entry foyer with a stately Formal Living Room, a generously sized Dining Room, a fabulous Eat-In Kitchen with center island/Breakfast Bar, granite, stainless appliances, and sunny eating area with deck access. A main level office is accented with built-in shelving and could be a 4th bedroom as there is a full bath on the main level. A warm main level Family Room includes a gas fireplace. A main level laundry room, mudroom, and 2 car garage complete the first floor. The upper level features 3 bedrooms including a generously sized Master suite with an oversized bedroom, a spa-inspired bath with jetted tub and separate shower, and large walk-in closet with custom built-ins.  A nicely finished expansive walk-out lower level features a Game Room, Media Room with sliders to a covered patio, Kitchenette, half bath, custom wet bar, and an old world wine room.  Custom moldings and hardwood flooring throughout. Situated at the end of a quiet cul-de-sac in a sought after subdivision. Close to all major highways and Huntington Center. This gem is a standout in the price range and wont last.","SingleFamily","1998","31,363 sqft"
"$839,900","4 bds","3 ba","2,899 sqft","https://www.zillow.com/homedetails/18-Grace-Ln-Shelton-CT-06484/240547196_zpid/","""LOCATION - LOCATION - LOCATION"" ! ! ! COME HOME TO PARADISE in the HUNTINGTON community of Shelton ! ! ! This 6 YEAR ""NEW HOME"" will make you never want to leave home. Built in 2015 with the finest of upgrades, this Chic & Modern Contemporary Chateau will relax and inspire you at first glance while you take in the wonderful landscape and lush grounds being kept green by the new underground sprinkler system. Boasting an oversized entrance door, the feeling of openness continues as you step into the foyer. Along with its' custom floor-to-20 foot ceiling stone fireplace and expansive living room, this piece of ""Heavenly Home"" will easily accommodate and even make your most meticulous and skeptic family member take notice. The AMAZING gourmet kitchen has all commercial grade stainless steel appliances, which include a double-wide standup freezer/refrigerator, a six burner gourmet oven/range with a stainless steel hood that expands through the ceiling and a new dishwasher.     The backyard oasis is oh-so pleasing to the senses that you will find yourself sitting back while you close your eyes and transport your inner self to your most sought after vacation spot. Whether it be a beach spa or ""Jackson Hole"", your new home will provide you with all of the inspiration you need to dream and feel like you are there without even leaving your home.","SingleFamily","2015","67,518 sqft"
"$484,900","5 bds","3 ba","3,594 sqft","https://www.zillow.com/homedetails/6-Emerald-Ridge-Ct-Shelton-CT-06484/59300207_zpid/","Waiting for someone to call this home!  Lots of potential in this large 3594 sq.ft. home with 5 bedrooms located on a quiet cul-de-sac of higher priced homes. Hardwood floors throughout, 1st floor bedroom, cozy family room with fireplace, possible in law potential.  Loft over garage would make perfect home office or au-pair space. Enclosed sunporch overlooks private backyard. In-ground pool in need of extensive repair. New roof and chimney flashing, city water and city sewer. Low Shelton Taxes! This is part of an estate and home and pool sold as is.  Contractor's and handyperson's take note. Make an offer! Bring your design idea's and make this home your own.","SingleFamily","1964","51,400 sqft"
"$524,900","3 bds","2 ba","3,060 sqft","https://www.zillow.com/homedetails/31-Elliott-Dr-Shelton-CT-06484/57322847_zpid/","Enjoy one level living and entertaining in this 3000+ sq. ft. custom brick and stone Ranch set on 3 private and secluded level acres at end of Cul-de-Sac.  An open floor plan with hardwood flooring, large country kitchen with plenty of cabinet space and stainless steel appliances, family room with beautiful floor to ceiling stone fireplace, heated sunporch with oversized windows, vaulted ceiling, living room with brick fireplace, banquet sized dining room, master bedroom with private bath, two generous sized bedrooms, home office/den or 4th bedroom, main level laundry and second full bath complete the main level.  Additional features include an over-sized 2 car garage with access to the kitchen, walk up attic and unfinished 2780 sq. ft. lower level ready for a variety of uses and/or storage space, additional 1 car garage and a covered patio for all of your outdoor enjoyment!","SingleFamily","1980","140,263 sqft"
"$849,900","4 bds","4 ba","3,538 sqft","https://www.zillow.com/homedetails/11-Red-Fern-Rdg-Shelton-CT-06484/57350576_zpid/","Welcome to 11 Red Fern Ridge, an entertainer's dream home! Situated in the Forest Crossings development in Huntington Shelton. Home boasts all the privacy of a cul-de-sac yet provides quick access to all the local amenities. As you drive up to the home you'll note the careful attention to detail of the Blue Stone walkway, Belgian Block accents, and gabled roof. Enter the grand 2 story foyer and appreciate the sun-kissed stairs from the oversized palladium window. To your left is a private office and powder room. As you gaze forward you are greeted by an expansive Great Room for entertaining fully equipped with a gas fireplace offering access to the grounds via twin sliding doors. The first floor boasts a formal dining room complete with chair rail and crown moldings. The living room offers high ceilings, Greco pillars, and an overpouring of natural light. The second floor vaunts an expansive master suite detailed with mahogany floors, sitting area, walk-in closet, and gas fireplace. Master bath comes complete with dual sinks, royal vanity, frameless glass shower, as well whirlpool tub with Flat screen TV. The 2nd bedroom is on-suite and the 3rd and 4th bedrooms jack and jill bathroom. Just under 1 acre, the exterior of the home is where you will smile, laugh, and enjoy the brick-paved patio, scalloped shaped in-ground heated pool, complete with an outdoor kitchen. The outdoor kitchen is where you can discover your inner gourmet with granite countertops, gas grill,","SingleFamily","1998","41,817 sqft"
"$369,900","4 bds","2 ba","1,680 sqft","https://www.zillow.com/homedetails/11-Cots-St-Shelton-CT-06484/57356886_zpid/","Welcome Home. Very Convenient Location. Easy Access to Major Highways, Restaurants and Stores .This Well Maintained Bright And Airy Cape Cod with New Siding , One Year old roof, Gutters and Furnace. Newer Kitchen, Baths and Windows. Livingroom with Floor to Ceiling stone Fireplace and hard wood floor. Kitchen with Dining Area and door to Mudroom. Master bedroom with his and hers closet.3 good size bedrooms. Freshly Painted Inside. Access to Patio from main and upper level. Public water and Sewer in the street. Pleasure to Show. Truly Move-in Ready!!","SingleFamily","1942","37,461 sqft"
"$599,900","5 bds","4 ba","4,864 sqft","https://www.zillow.com/homedetails/72-Little-Fox-Run-Shelton-CT-06484/57351963_zpid/","SPACIOUS, LOVELY HOME IN PRIVATE COMMUNITY & SECLUDED SETTING, BORDERING TOWN SPACE WITH SEASONAL RIVER VIEWS, ON ALMOST 3 ACRES.  HOME OFFERS: 4 OR 5 BEDROOMS, 3 FULL & 1 HALF BATHS, OVERSIZED KITCHEN w/ISLAND, LG. FAMILY ROOM W/VAULTED CEILING & FIREPLACE, FORMAL DINING ROOM WITH TRAY CEILING, BEAUTIFUL HARDWOOD FLOORS, LG. MASTER BEDROOM/VAULTED CEILING, 2 CLOSETS AND A LARGE ON SUITE BATH W/DOUBLE SINKS, WHIRLPOOL TUB, SHOWER, LINEN CLOSET. FINISHED WALK OUT LOWER LEVEL ADDS 1400 MORE SQ.FT. - THEATRE ROOM W/ TRAY LIT CEILING, WORKOUT ROOM WITH EQUIPMENT/PLAYROOM AND AN OFFICE OR 5TH BEDROOM WITH FULL BATH.  HOME OFFERS WONDERFUL SPACE AND TREMENDOUS POSSIBILITIES.","SingleFamily","1999","125,017 sqft"
"$345,000","3 bds","2 ba","1,760 sqft","https://www.zillow.com/homedetails/4-Pam-Bar-Dr-Shelton-CT-06484/57353413_zpid/","Endless potential.  Nice ranch in great Huntington neighborhood in need of renovation.  Great lot!  Property is subject to probate approval and is being sold ""as-is"".","SingleFamily","1960","35,283 sqft"
"$590,000","4 bds","3 ba","3,400 sqft","https://www.zillow.com/homedetails/146-Buddington-Rd-Shelton-CT-06484/58825482_zpid/","Room to roam in this expanded home updated by carpenter/owner to include loads of specialty moldings, hardwood floors throughout, main level spacious bedroom and full bath, upstairs kitchenette, bonus loft/den area on second floor, master bedroom with private bath on 2nd level, open floor plan great for entertaining with super sized kitchen and family room open to one another , newer well pump, roof 8 years young, aqua booster 8 yrs old, 2nd floor laundy hook up as well as basement area, hydro air unit in attic, stamped concrete sidewalk, covered front porch.....the extras go on and on....Come and see the value!","SingleFamily","1960","40,075 sqft"
