"Price","Bed","Bath","Area","HouseURL","Description","Type","Built","Lot"
"$649,900","4 bds","3 ba","2,750 sqft","https://www.zillow.com/homedetails/11-Jade-Tree-Ln-Trumbull-CT-06611/57400242_zpid/","Welcome home to this custom built, one owner home built of brick and stone. This Ranch offers one floor, comfortable living and is located on a quiet cul-de-sac neighborhood of Tashua. Spacious at 2,750 sq ft, the home offers an updated Kitchen with large center island, granite counters and huge Breakfast area as well as a formal Dining room. The Great room is dramatic yet comfortable featuring cathedral ceilings and beams with floor to ceiling brick Heatolator fireplace. The home has 4 Bedrooms ~ All with hardwood floors and features an Office that is separate from the main living area for privacy. Laundry is also on the main level. Large patio/deck has both covered and open areas to enjoy the sun or shade. Underneath the patio is a shed for lawn equipment storage. The in-ground pool is fenced in with a pool shed. Full, unfinished walkout Basement also has an overhead garage door for a total of 3 garage bays. Newer roof-1 layer, A/C system, furnace replaced 5-6 years ago, blown in insulation in attic for energy efficiency.","Single Family Residence","1982","47,480 sqft"
"$724,900","4 bds","4 ba","4,076 sqft","https://www.zillow.com/homedetails/16-Fawn-Meadow-Dr-Trumbull-CT-06611/58835215_zpid/","Need more room for your family, this expanded Raised Ranch will not disappoint you…or even the in-laws! Sited in lovely Tashua neighborhood with the elementary school nearby & convenient to all that Trumbull has to offer. The large level rear lot can easily satisfy your family’s outdoor enjoyment.  Uniquely Expanded and Completely Updated, the home offers 4 spacious BRs, and 3.5 baths. And your extended relations can join you in the beautifully appointed ground level apartment which includes its own sunny bluestone patio. In 2004 they added an over-sized 3-car garage expanding to nearly 4000 SF; incorporating the former garage space into a lovely in-law apartment with radiant heating, full kitchen, dining area, living room, BR, shower bath with washer/dryer. The main level they added a spacious FR/Game room. Plus a large MBR suite with his/hers walk-in closets, his/her vanities in bathroom with jet tub and separate shower. The remodeled gourmet-style kitchen is solid wood country cream cabinetry with java glaze, featuring a center island, quality stainless appliances and even a pot filler faucet! There is hardwood flooring throughout as well as crown moldings & a great sound system.  Come see for yourself all the features and extras this home offers you and your extended family. This home truly challenges comparison!","Single Family Residence","1977","43,560 sqft"
"$729,900","5 bds","3 ba","3,923 sqft","https://www.zillow.com/homedetails/14-Lantern-Hill-Rd-Trumbull-CT-06611/57401482_zpid/","Luxury home with lake views, lavish finishes & custom millwork just steps away from Canoe Brook Lake! Curb appeal abounds at this expansive Colonial with beautiful brick exterior facade, professional landscaping, outdoor lighting and well manicured grounds with built-in Irrigation system. The grand 2 story Foyer awaits you with tons of natural light and exudes elegance.The open floor plan boasts an incredible flow which ties together the sunken formal living room with stone fireplace and the formal dining room.The dining room french doors lead you into an impressive chef's kitchen and family room with an additional fireplace.No expense was spared with gorgeous custom inset cabinetry,Professional Viking Appliances,beautiful Limestone countertops with oversized center island and high-end Brazilian Rosewood flooring.The home is an ideal setting for indoor/outdoor entertaining with kitchen/family room access to a patio and trex deck overlooking the private back yard. The middle level of the home offers 3 large bedrooms and 1 full hall bath.The upper level offers a 4th bedroom as well as a stunning Master Bedroom Suite with huge W-I-C and chic Master Bathroom. Capping off the upper level is a laundry room conveniently situated off the master BR.Highly sought after Canoe Brook Lake neighborhood within close proximity to shopping,restaurants/nightlife and all major highways make this a commuters dream.Take advantage of the award winning schools the Town of Trumbull has to offer!","Single Family Residence","1955","22,215 sqft"
"$459,900","3 bds","3 ba","1,914 sqft","https://www.zillow.com/homedetails/91-Jerusalem-Hl-Trumbull-CT-06611/57407893_zpid/","Charming classic colonial in Nichols you'll want to call home! This home features all the charm of yesteryear with the conveniences of today. Featuring hardwood floors throughout, natural gas heat and cooking, granite counters and stainless steel appliances. Bright sun drenched rooms with sliding doors that lead from the dining room to the large deck and backyard with patio and large stone fireplace/grill. The deck overlooks the beautiful deep, wide, level rear yard. Laundry, mud room, music room/den and powder room complete the first level. The second floor features a master bedroom, 2 additional bedrooms, a full bath and built-ins for linens. Partially finished lower level with office, playroom and over-sized full bath. New driveway, new carpet in lower level, freshly painted exterior, new chimney cap, damper & net, washer & dryer 1 year old. All of this on a tree lined cul de sac. Not to be missed!","Single Family Residence","1934","22,651 sqft"
"$589,900","3 bds","3 ba","2,714 sqft","https://www.zillow.com/homedetails/200-Edison-Rd-Trumbull-CT-06611/177249696_zpid/","Discover this incredible opportunity for ownership in this desirable & convenient location! This beautifully maintained Colonial offers 3 BRs, 2.5 baths, custom moldings & detailing, and a spacious layout in this move-in ready property. 200 Edison is seated on a level plot, featuring a fenced-in backyard & large patio - perfect for summer activities and BBQ’s with friends and family. Walk in through the front door to see a spacious living room, complete with hardwood floors and cozy fireplace. Custom columns introduce a bonus space, perfect for an at home office, playroom, or more! Adjacent kitchen makes for ease of entertaining with upgraded stainless steel appliances, granite counters, island w/ breakfast bar, and eat-in kitchen area illuminated with natural light. Holidays and meals shared with loved ones will be a breeze with a nearby dining room, complete with detailed wainscoting and built-ins. Upstairs, the master bedroom shines with a walk-in closet and private bath. 2 additional bedrooms w/ closets are on the upper floor, each equidistant to a full bath. Downstairs, the fully finished basement w/ fireplace is ready for your creativity- use this space for any and all of your needs. Enjoy the many amenities that Trumbull has to offer all within a 5 minute drive- including Twin Brook Park, restaurants, award- winning schools, shopping, ease of access to highways 95 N/S/ Merritt Parkway, and much more- come see why this property is perfect for you!","Single Family Residence","1939","12,632 sqft"
"$559,900","5 bds","3 ba","3,524 sqft","https://www.zillow.com/homedetails/84-Deerfield-Dr-Trumbull-CT-06611/58836880_zpid/","For the family looking for a home offering space and amenities, look no further. Unique multi generational family home with over 3,500 square feet of living space. 5 bedrooms, 3 bathrooms, 4 fireplaces. Updated main level kitchen made for entertaining family and friends with custom cabinetry, built in paneled refrigerator, vaulted ceiling, granite countertops and island, gas fireplace and 3 ovens. The main kitchen also features heated tile floor, skylights, large Palladian window that fills the kitchen with natural sunlight. French doors from the kitchen open to the spacious Trex deck that overlooks the heated inground pool and patio, set on a level, private fenced oasis for family gatherings.   Updated formal dining room with hardwood floors and balcony. Living room has hardwood floors, beamed ceiling and cozy gas fireplace.  Main floor has C/A, full bath and three bedrooms all with hardwood floors (under carpeting). Master bedroom suite has a vintage antique electric fireplace, vaulted ceiling, skylight, large double closet. Master bath has jetted tub, steam shower and French doors leading to the separate heated enclosed bonus room perfect for office or play room.    Fully finished lower level offers an additional 1,658 square feet of living space with approved in-law space. Full kitchen, family room, recreation room, gas fireplace, large windows, private office, full bath, bedroom with walk in and art studio/bedroom. French doors lead to backyard with pool and patio.","Single Family Residence","1967","30,056 sqft"
"$489,000","3 bds","2 ba","2,852 sqft","https://www.zillow.com/homedetails/20-Clark-Rd-Trumbull-CT-06611/57402902_zpid/","Move right in to this updated 11-room ranch in desirable Long Hill area. 2,500+/-SF with room to grow. 3 Bedrooms, 2 full baths, Large (22’X24’) great room with cathedral ceilings, skylights and two propane gas fireplaces - great for family room or in-law suite. Newer roof and windows. Gourmet kitchen with stainless steel appliances. New full bath in 2018.  Full walk-up attic and partially finished full basement for home office/exercise room and/or storage galore. Beautifully maintained 1/2 acre lot with 19' X 39' in-ground pool and 1,200 SF patio installed in 2012. Pool liner replaced in 2019.  Convenient to shopping, restaurants, and highways.  Come see for yourself!","Single Family Residence","1958","21,780 sqft"
"$389,000","3 bds","2 ba","1,888 sqft","https://www.zillow.com/homedetails/12-Bailey-St-Trumbull-CT-06611/57404841_zpid/","Not your ordinary cape!  You will be amazed when you walk in the door of this custom built home in Trumbull.  Pretty brick exterior welcomes you to this home.  Enter the front door and see the spacious and open floor plan.  Living room with cobblestone fireplace and hardwood flooring under carpet.  Dining room is oversized for all of your special occasions and has hardwood floors and corner built-ins.  This open directly to the eat-in-kitchen with tons of storage and bright sunlight.  Off of the kitchen is a den with wall to wall carpeting that overlooks the yard.  There is an enclosed porch with tile floor that goes out to the deck -makes a perfect mudroom!  On the upper level there is a master bedroom and 2 additional bedrooms -- all with hardwood floor -- plus a full bath.  Outside step down to the flat .30 acre with privacy.  There is a detached garage with tons of storage above in the walk-up loft.  Owner has lovingly maintained this home which has a newer furnace and roof.   Enjoy all that Trumbull has to offer! Subj. to owner finding suitable housing.","Single Family Residence","1948","13,068 sqft"
"$675,000","4 bds","4 ba","3,034 sqft","https://www.zillow.com/homedetails/73-Salem-Rd-Trumbull-CT-06611/57400764_zpid/","Pristine Colonial located on a cul-de-sac in the Tashua area of Trumbull, this home offers  3000+ Sq. Ft of luxury living space. Dramatic 2 story foyer, with custom raised paneling, 9 rooms, 3.5 baths, first floor laundry, newly finished mocha hardwood floors throughout the first level, large eat-in kitchen, formal family room with gas fireplace and enormous informal family room with coffered ceilings perfect for movie night. Formal living room and dining room. Master Bedroom with 2 walk in closets and full bath, 3 additional bedrooms 1 with a full bath. New carpets throughout second floor. Private backyard. This is a must see home in a lovely neighborhood and is in the perfect location for commuting to lower Fairfield County/NYC.","Single Family Residence","1999","15,246 sqft"
"$569,000","4 bds","4 ba","3,044 sqft","https://www.zillow.com/homedetails/20-Maple-Ridge-Rd-Trumbull-CT-06611/57405298_zpid/","Private and serene, this large colonial is located on a quiet cul-de-sac in the desirable, family-friendly Hillandale neighborhood.   Beautifully landscaped w/mature plantings and outdoor lighting, this home looks beautiful all year round.   The perfect floor plan offers spaces for entertaining, casual living and working from home.   With 3 levels of living space, this home has plenty room for the whole family to enjoy!   Large windows and skylights fill the home with natural light and beautiful views.  As you enter the home, you are greeted by a spacious foyer w/double closets, beautiful crown moldings, open to a bright LR and DR.  The kitchen features granite counters, island, a spacious dining area and French doors to a generous engineered wood deck and lovely garden--perfect for entertaining, kids play, or relaxing while enjoying nature and wildlife.   A large family room w/built-ins, fireplace, high ceilings and wood beams, a dedicated home office, a hobby/au pair room, a full bath and laundry area complete the main level.  Upstairs you will find the master suite w/walk-in closet, renovated master bath w/jacuzzi, 3 add'l sizeable bedrooms and updated full bath.  Finally, a finished basement w/full bath makes a great rec room, home gym or guest suite, w/access to oversized 2-car garage.   Fantastic location, no thru-traffic, convenient to schools, shopping, parks, pool, restaurants, highways.   Enjoy Trumbull's great community and its award-winning schools!","Single Family Residence","1982","43,560 sqft"
