"Price","Bed","Bath","Area","HouseURL","Description","Type","Built","Lot"
"$350,000","5 bds","3 ba","2,876 sqft","https://www.zillow.com/homedetails/387-Ward-St-Wallingford-CT-06492/82409067_zpid/","Stately 5 bed 3 bath home sitting proudly on a knoll in the sought after New England town of Wallingford! This home offers 3 bedrooms and two baths on the first floor and an additional 2 bed and 1 bath accessory apartment with separate access on the second floor. The first floor living room is spacious with hardwood floors and a wood burning fireplace. The eat-in kitchen is generous in size with plenty of cabinet space with direct access to the laundry room. The first floor master bedroom has a walk-in closet and private bathroom. There are two additional adjacent bedrooms sharing a full bathroom. The large private back yard gets plenty of sun light. This home is in need of some updates to the kitchen and bathrooms and general repairs. Perfect for someone looking to remodel or a contractor who can restore the home to its original 1920's charm. In close proximity to Choate Rosemary Hall Boarding School, parks, The Oakdale Theatre, restaurants, shopping ,the city of New Haven, Yale University and Yale Hospital.","SingleFamily","1920","15,246 sqft"
"$514,999","4 bds","4 ba","3,193 sqft","https://www.zillow.com/homedetails/11-Kazersky-Dr-Wallingford-CT-06492/174363346_zpid/","Home is situated on large, level private lot bordering open space on desirable cul-de-sac. There is a spacious kitchen which is open to family room with gas fireplace. The main level offers kitchen, dining room (or home office), family room, half bath and laundry room. The home is appointed with beautiful hardwood floors. Upstairs the Master Bedroom Suite has a walk-in closet, whirlpool tub and walk-in shower. The upper level also offers a huge bonus room which can be used as an office, game room, den, or guest bedroom. French doors off kitchen lead to deck/yard which is complete with fire pit, pizza oven, shed, brick patio and oversized deck. The walk-out fully finished lower level with separate entrance, kitchen, bedroom, full bath and large sun room can be used as in-law/nanny apartment. Home is located with easy access to freeways and is convenient to Yale, Quinnipiac, Choate, the new Wallingford Train Station, plus less than a 2-hour drive to NYC. This property is perfect for anyone looking for plenty of space and privacy.","SingleFamily","1994","30,056 sqft"
"$364,000","3 bds","3 ba","2,396 sqft","https://www.zillow.com/homedetails/12-Rosick-Rd-Wallingford-CT-06492/58950973_zpid/","Great Colonial in a nice neighborhood, needs updating. Proof of funds or Pre- Approval with all offers. No changes to P&S / addendum to be signed within 48hrs of acceptance..Buyer and/or agent to verify property information.","SingleFamily","1995","28,749 sqft"
"$439,000","4 bds","2 ba","2,335 sqft","https://www.zillow.com/homedetails/6-Signal-Hill-Rd-Wallingford-CT-06492/58951476_zpid/","In this wonderful location you will find a well loved colonial waiting for its new owners to come make it their own.  Hardwood floors throughout. Central Air. Newer roof. Newer windows. Wide open main level is perfect for entertaining or days when everyone is home working or schooling. So much to enjoy about this home: the warmth of the sun as it shines into the spacious sunroom, hosting friends and family with plentiful seating in the kitchen and dining rooms, relaxing with a glass of wine on the deck at the end of the day, or sipping coffee out there in the morning (or reverse that - you do you).  There are four good sized bedrooms upstairs and a shared full bath.  The lower level has plenty of storage space or room for a workbench.  Come see what you can do with this home to create your own special place in the world.  Needs a little love but has great structure and solid bones!  It's a crazy market out there so reach out ASAP for a showing!","SingleFamily","1972","83,199 sqft"
"$342,500","6 bds","3 ba","2,472 sqft","https://www.zillow.com/homedetails/71-Mariot-Cir-Wallingford-CT-06492/57999976_zpid/","SPACIOUS 12 ROOM 6 BR HOUSE IN QUIET NEIGHBORHOOD!  HW FLOORS!  CENTRAL AIR! MANY UPDATES IN 2008 & 2021 INCLUDE ROOF, WINDOWS, KITCHEN & BATHS!  FLAT LEVEL LOT!   WALK TO PIRE MEMORIAL PARK WHICH IS IN THE NEIGHBORHOOD AND HAS A BASEBALL FIELD AND BASKETBALL COURT!!  MORE INTERIOR PHOTOS TO BE UPLOADED BY APRIL 26TH OR 27TH.","SingleFamily","1961","18,295 sqft"
"$371,000","4 bds","3 ba","2,583 sqft","https://www.zillow.com/homedetails/36-Alison-Ave-Wallingford-CT-06492/174368833_zpid/","This large split-level home is located in a quiet neighborhood on the border of Wallingford and Cheshire. The back end of the lot is partially located in Cheshire and features a natural stream surrounded by a sloped wooded forest. The house itself is located in Wallingford. Two tiered decks in excellent condition overlook the fenced-in backyard and the top deck includes a large awnings. The roof was replace in 2002, a new well was installed in 2017 and the septic tank was emptied in April of 2021. The home's interior is highlighted by quality craftsmanship and custom amenities. Unique woodwork and cabinetry are common themes of the house. The main living room features a fireplace and cast iron baseboard heating. Air conditioning is separated into three zones. Flooring throughout is level. Each bedroom has lots of storage space and natural light. The kitchen has solid cherry cabinets, a purpose-built pantry and stainless steel appliances. The lower level play room includes a cement floor with built-in radiant heating as well as a fireplace. The house has been cleaned by an industrial service and is in top condition when compared to other Wallingford homes built in 1963.","SingleFamily","1963","42,688 sqft"
"$429,500","4 bds","3 ba","1,652 sqft","https://www.zillow.com/homedetails/59-Seiter-Hill-Rd-Wallingford-CT-06492/57997866_zpid/","Welcome home!  Don't miss out on this beautifully maintained 4 bedroom raised ranch nestled on a cul de sac in one of Wallingford's most sought after neighborhoods.  Hardwood flooring throughout the main level will lead you to the spectaclar great room where the family can enjoy endless hours of quality time, or sneak down to the finished lower level and cozy up to the fireplace with your favorite drink and a book.   So many possibilities await the lucky new owner.  Schedule your showing now!","SingleFamily","1976","17,424 sqft"
"$354,900","3 bds","2 ba","1,978 sqft","https://www.zillow.com/homedetails/23-Schwab-Ter-Wallingford-CT-06492/58950154_zpid/","READY, SET, GO and MOVE RIGHT IN!!!  This immaculate raised ranch is located in a quiet cul-de-sac with a hot tub and pool. This house has been upgraded from the top to the bottom to include new windows, new central air condition, kitchen, hardwood floors and much, much more. The main level is beautiful with 3 bedrooms, open kitchen and dining room with gorgeous granite counters and an island. Formal living room with pellet stove and a family room with new sliding door that leads to the multi-level deck with hot tub and pool. The lower level has a large finished recreation room with a pellet stove, laundry area and plenty of storage area connected to oversized two car garage with epoxy finished floor. The outside has a manicured lawn with light woods in the rear, plenty of storage in the new shed and nice fire pit perfect for relaxing.   Welcome home to Wallingford with the LOWEST electric rates in the state!!!","SingleFamily","1974","43,124 sqft"
"$299,900","3 bds","2 ba","1,662 sqft","https://www.zillow.com/homedetails/1051-New-Rock-Hill-Rd-Wallingford-CT-06492/57996702_zpid/","Move right into this spacious, well-maintained ranch. The main level has hardwood floors throughout. The updated kitchen has granite counters and a large eating space with a fireplace. Slider doors lead out to a brand new over-sized composite deck. Main level laundry room, 2 car attached garage. Heated room in lower level can be used as family room, game room or home gym. The basement can be finished for additional living space. The house sits on an open, level lot at close to one acre, perfect for backyard entertaining or quiet nights around the firepit. Close to highways, shopping, downtown Wallingford, and vineyards!","SingleFamily","1976","40,946 sqft"
"$475,000","4 bds","3 ba","2,300 sqft","https://www.zillow.com/homedetails/5-Blossom-Ln-Wallingford-CT-06492/58006008_zpid/","Relax with friends and family by the pool this summer! This 4 BR colonial home is set in a desirable neighborhood on a beautiful 1.25 acre parcel! The current owner has spent over $200,000 on improvements over the last 10 years. Custom cherry kitchen with SS appliances (Bosch and GE), granite counters, ceramic tile flooring, breakfast bar and pendant lighting. The living room, family room and dining room all boast hardwood flooring and crown moldings. The first floor full bath has been remodeled and there is a convenient first floor laundry. 4 spacious bedrooms on the upper level all have hardwood floors. The master bedroom has a beautifully remodeled full bath and bonus space with access to electrical and AC.  Walk up attic for easy storage access. Plans available for an addition drafted by current owner. Shed, electric dog fence. Warm up on cool nights by the firepit in the back yard! Newer boiler, AC, interior paint, Harvey windows and so much more! Come see it and fall in love! Showings start Friday, 4/30","SingleFamily","1994","54,450 sqft"
