"Price","Bed","Bath","Area","HouseURL","Description","Type","Built","Lot"
"$279,900","3 bds","3 ba","2,402 sqft","https://www.zillow.com/homedetails/217-E-Mountain-Rd-Waterbury-CT-06706/58023960_zpid/","Absolutely gorgeous raised ranch located on the Prospect/Waterbury town line in East Mountain! This immaculate 3 bedroom 2 1/2 bath has it all! Upper level features a stylish family room, eat in kitchen, elegant dining room, three sizable bedrooms with a full bath in the master suite. Lower level has the perfect in-law set up with beautiful tiled floor, second full kitchen, living room area, bathroom, and laundry room! Sliding glass doors lead you out to your amazing trex deck overlooking your own backyard oasis! With central air, forced air heat, gas stove, two car garage and many more upgrades, this is must see! Seconds from both major highways and in the new Wendell Cross School district! This home truly has it all and will not last!","SingleFamily","1989","10,454 sqft"
"$299,900","3 bds","2 ba","1,706 sqft","https://www.zillow.com/homedetails/288-Mapleridge-Dr-Waterbury-CT-06705/58017190_zpid/","Amazing, totally remodeled Split Level Home with open floor plan. 3 generous sized bedrooms , 2 full baths which are totally remodeled,  one equipped with laundry hook-ups. Brand new kitchen, granite countertops, stainless steel appliances ,huge family room for entertaining,  hardwood floors, 2 fireplaces ,den in lower level,  large deck! Brand new furnace, Hot Water Heater and Central Air System. New Windows, Siding, and Deck!  This home will not last!","SingleFamily","1961","13,939 sqft"
"$219,000","3 bds","2 ba","1,120 sqft","https://www.zillow.com/homedetails/112-Meadowbrook-Dr-Waterbury-CT-06706/58024123_zpid/","Absolutely gorgeous Ranch located in the South End.  This immaculate 3 bed rooms, 2 full baths, dining room and eat in kitchen all with central air.   Lower level has the perfect in-law set-up with tile floors, full kitchen and bathroom. 2 car garage under.  Amazing new Trex decking!  Please set up appointment today!","SingleFamily","1963","7,405 sqft"
"$145,000","3 bds","2 ba","1,331 sqft","https://www.zillow.com/homedetails/163-Madison-St-Waterbury-CT-06706/58021347_zpid/","Nicely updated 3 bedroom, 2 bath colonial. Electrical, plumbing and main roof all replaced in 2008. Beautiful kitchen and spacious, lofted third floor master suite. Fenced in backyard for privacy. Detached garage for parking or additional storage. Easy access to I-84 and Route 8. Minutes from Brass Mill Center with food, shopping and entertainment.","SingleFamily","1928","3,484 sqft"
"$90,000","3 bds","1 ba","877 sqft","https://www.zillow.com/homedetails/79-Niagara-St-Waterbury-CT-06705/58016866_zpid/","Great investment property or house to live in yourself!  There are 3 cozy bedrooms,  (1 bedroom and a full bathroom on the ground floor and 2 bedrooms on the second floor), living room, and a spacious kitchen.   Awesome size back yard, can possibly be subdivided in the future. Don't miss out on this great home!  Tenant is currently paying $1,200/month. Forced air heat.","SingleFamily","1858","17,859 sqft"
"$90,000","6 bds","3 ba","2,140 sqft","https://www.zillow.com/homedetails/203-Division-St-Waterbury-CT-06704/58013434_zpid/","Take a look at this great opportunity Victorian Home with  9 room , 6 Bedroom and 3 full bath . great back Yard for parties.","SingleFamily","1939","3,920 sqft"
"$260,000","3 bds","2 ba","1,884 sqft","https://www.zillow.com/homedetails/135-Courtland-Ave-Waterbury-CT-06705/58015628_zpid/","Move right in! This fully remodeled Ranch is on the East End of town. Hardwood floors throughout the entire house. All new stainless steel appliances!  Remodeled Kitchen and bathrooms on both the main and lower level. Complete with new lighting fixtures, and vanities in both bathrooms.  The lower level is completely finished and has it's own full bathroom/kitchen. Won't last long!","SingleFamily","1956","9,583 sqft"
"$89,900","3 bds","1 ba","834 sqft","https://www.zillow.com/homedetails/33-Denver-Pl-Waterbury-CT-06708/58007256_zpid/","PACKAGE DEAL TO BE SOLD WITH 2 FAMILY, MLS# 170388184 for $199,900!  Adjacent property is a legal 2 family being used as a 1 family. Total of 1.39 acres of land combined. Separate deeds for each. Both are in IL zone (commercial / Limited Industrial District). This home offers 3 bedrooms, 1 bath, full basement, garage, deck overlooking private back yard. Property to be sold with tenants in place. Current rent is $1,100 per month. Very private setting located at end of dirt road surrounded by commercial businesses. CASH SALE OR PRIVATE LENDER ONLY.  Sold in ""As Is"" condition. Possible rent w/ option, ask agent for details.","SingleFamily","1940","11,761 sqft"
"$299,900","6 bds","3 ba","3,000 sqft","https://www.zillow.com/homedetails/129-Newton-Ter-Waterbury-CT-06708/58010551_zpid/","This awesome Bunker Hill Colonial offers 3,000 sq ft of living space.  The front door leads to a small vestibule offering coat closets on either side, leading to a large grand foyer.  To the left is a massive living room, the length of the home, with fireplace and a back door leading to a cozy patio.  To the right of the foyer is an oversized formal dining room, with 2 built in corner china cabinets, leading to a large eat in kitchen with tons of cabinets, built in desk, breakfast bar with cooktop and an ample amount of counter space, recessed lighting and ceramic tile floor.  Off of the kitchen is a main level light and bright laundry room, also with tile floor, a sitting room/den, and a half bathroom to complete the main level living space.  The second level offers 4 generously sized bedrooms and 2 full bathrooms, both with ceramic tile on walls and floor, and the third level offers 2 more generously sized bedrooms.  The entire home has beautiful hardwood floors in all rooms, except kitchen, bathrooms, and laundry room.  The home offers a newer gas boiler, 1 yr old gas hot water heater, 9 yr old roof, a 2 car detached garage, a nice cozy patio and a very level back yard.  This is an awesome home in a great Bunker Hill area, very residential yet close to highways, hospital, shopping, parks, etc.","SingleFamily","1939","8,276 sqft"
"$379,900","4 bds","3 ba","2,270 sqft","https://www.zillow.com/homedetails/93-Joshua-Town-Rd-Waterbury-CT-06708/111099564_zpid/","Welcome to your new home! Immaculate home located on a dead end street! No expense spared. Custom built home. Stunning attention to detail. The kitchen is complemented by stainless steel appliances, granite countertops, stone backsplash, ample storage, and tons of natural lighting. Open floor plan. Living Room features recessed lighting as well as a floor to ceiling stone fireplace. This home offers four bedrooms with three gorgeous bathrooms! Gleaming hardwood floors, custom millwork, and high end finishes can be found throughout. Hand forged artistic iron railings. A plush master bedroom suite that features an extra large walk in closet, soaking bubble tub, stand up shower and double sinks. Laundry room is conveniently located on the second floor. The bedrooms are bright and sunny. Lower level offers a bedroom, living room, wet bar and full bathroom. Newer build home with great mechanicals help keep the bills down. Radiant heat floors in the master bath and 1st floor, including the garage. Large outdoor living space with patio that is great for entertaining. Beautiful stone walls. Yard offers fruit trees, manicured landscaping, and playscape. Exceptional property. Very convenient location. Subdivision abuts Waterbury Country Club Golf course. Schedule a showing today!","SingleFamily","2010","34,412 sqft"
