"Price","Bed","Bath","Area","HouseURL","Description","Type","Built","Lot"
"$249,860","3 bds","2 ba","1,892 sqft","https://www.zillow.com/homedetails/15-Nacca-Rd-West-Haven-CT-06516/58956614_zpid/","Great opportunity to finish this 3 Bedroom 2 full bath Colonial to its full potential.  Lots of high quality finishes and woodwork.  Part finished basement.  Fully fenced backyard with shed.  2 patio areas.  Unfinished space above garage ready for game room or family room! Don't miss this one!  Property offered AS IS.  Cash or 203K.  *","SingleFamily","1955","9,147 sqft"
"$224,900","3 bds","2 ba","1,726 sqft","https://www.zillow.com/homedetails/163-Rangely-St-West-Haven-CT-06516/58035959_zpid/","Get ready to move into this Ranch. Perfect location at the of a dead end of the Street.  3 Bedrooms, 2 Full Remodeled Baths. Hard wood floors in the living room. Home is partially handicap accessible with large doorways.  Basement was started to be finished, has its own zone heat/thermostat, additional flooring will be left for the new owner to finish.  Brand new oil tank in basement. Newer roof and newer vinyl siding.  Concrete patio out back, great for entertaining. Large concrete floor shed, great for storage. This home is located in a great neighborhood with close access to I-95 and shopping. FHA Approved!","SingleFamily","1960","6,098 sqft"
"$268,500","3 bds","1 ba","1,080 sqft","https://www.zillow.com/homedetails/13-Park-Ridge-Rd-West-Haven-CT-06516/58024658_zpid/","LOCATION!! LOCATION!! LOCATION!! Welcome home to one of the most inviting streets on the Westshore... this immaculate Ranch style home offers you stunning views from the kitchen to the large level back yard where you can enjoy your summers cooking out, enjoying time with friends and family. Want to not stay at home? No problem, with miles of beaches within walking distance at the bottom of the hill, you can enjoy the sun, sand, restaurants and more. This home offers you an open floor plan, living room, dining room, large kitchen, three generous sized bedrooms and one bath. You can easily make this charming house a ""home"" by adding your touch on things to make it your dream home. This home also offers a one car garage, a partially finished basement, laundry room and plenty of storage! Call today to set up your private showing!     **Professional photos coming soon**","SingleFamily","1955","10,890 sqft"
"$239,000","3 bds","1 ba","1,660 sqft","https://www.zillow.com/homedetails/60-Arlington-St-West-Haven-CT-06516/58026473_zpid/","West Shore Cottage by the Sea! Charming 1,660 sq ft. 3 Bedroom (with an additional bonus room) / 1 Bathroom Home With Open Floor Plan, on a corner-lot a block away from the beach! Home has large rooms, gets plenty of light and comes with seasonal water-views (It is not part of the flood-zone so no flood insurance required).Great Front Yard perfect for entertaining. White Cabinets in Kitchen & Stainless Steel Range with vent. Washer / Dryer on Main  Level. Deck off of Family Room. Walk To Sandy Beach. Boardwalk and other great amenities near by. Fence needs some TLC (seller is willing to provide credit). Come make this beach cottage your own and enjoy all the west shore has to offer!","SingleFamily","1900","3,484 sqft"
"$220,000","2 bds","2 ba","1,100 sqft","https://www.zillow.com/homedetails/283-3rd-Ave-West-Haven-CT-06516/58956564_zpid/","Beautifully kept 2 bedroom 1 and half bath colonial in quaint neighborhood close to West Haven Beaches. The exposed beams in the living room create a warm and inviting space, large opening to the dining room with sliding door out to the deck is a great space for entertaining, the kitchen has stainless steel appliances and offers lots of cabinet storage space. Upstairs is the full bathroom and 2 bedrooms; master bedroom is generously sized and offers his and hers closets. The fenced in backyard offers privacy, the deck is a great space for relaxing or entertaining. The home is centrally located just a few blocks from the ocean, West Haven Yacht Club, boat launch, and is close to all shopping and restaurants that West Haven has to offer. Call to schedule your showing today.","SingleFamily","1930","3,920 sqft"
"$179,900","3 bds","2 ba","1,377 sqft","https://www.zillow.com/homedetails/61-William-St-West-Haven-CT-06516/58029921_zpid/","Here is your second chance to own 61 William St. as the buyers loan fell apart ~ The home offers a sunny and bright front porch ~ Hardwood floors ~ Built in shelving ~ Walk in pantry ~ Brand new carpet ~ Vinyl siding ~ Vinyl windows ~ Private driveway ~ Gas stove top ~ The rear deck overlooks the large, open, level, fenced in rear yard ~ Summer is coming so have your beach chairs and sunglasses ready for the short walk to the West Haven beach!! The home needs some TLC!  One year AHS Shield Plus warranty included.","SingleFamily","1940","7,405 sqft"
"$249,900","3 bds","2 ba","1,343 sqft","https://www.zillow.com/homedetails/45-North-St-West-Haven-CT-06516/58032616_zpid/","Character, charm and wonderful curb appeal awaits you at 45 North St!  A gracious covered front porch welcomes you into the sun filled open floor plan boasting an intimate and warm feeling throughout!  Large living room features a custom tile wood burning fireplace and adjoins nicely with the perfect space for the new work/school/shop from home world we live in. The dining room area can accommodate large gatherings and is open to the kitchen presents you with a large bay window, cherry cabinets, granite counters, glass tile backsplash and tile floor! Mudroom off kitchen provides great storage and pantry space and steps into a half bath.  In-laid hardwood floors, crown moldings and high ceilings complete the main level. The second level is served by a king size master bedroom with double closets, two additional bedrooms, a large full bath with tub/shower enclosure and hardwood floors! Situated on a level, fenced rear yard with a cozy patio area and a one car detached garage! Move-in just in time to enjoy the fabulous West Haven shoreline, boardwalk and many fine eateries just minutes away!","SingleFamily","1930","4,791 sqft"
"$229,900","2 bds","1 ba","520 sqft","https://www.zillow.com/homedetails/88-Ocean-Ave-West-Haven-CT-06516/58024645_zpid/","ADORABLE TINY BEACH COTTAGE ACROSS FROM OYSTER RIVER COVE IN WEST HAVEN. 2 BEDROOMS AND 1 BATH MAKES THIS THE CUTEST LIL COTTAGE BY THE SEA. STEPS TO BEACH,RESTAURANTS,SHOPPING AND EZ COMMUTER LOCATION TOO!","SingleFamily","1935","2,613 sqft"
"$219,900","3 bds","2 ba","1,404 sqft","https://www.zillow.com/homedetails/72-May-St-West-Haven-CT-06516/58031367_zpid/","Prime beach location!  Perfectly positioned in a great quiet neighborhood just one block from a cul de sac park and two blocks from the idyllic beach is a fantastic opportunity to own this immaculate 3 bedroom, 1.5 bath Ranch with private fenced yard.   Freshly painted with beautiful gleaming hardwood floors, this newly renovated home is truly move in ready and just waiting for your furniture and personal touches.  With 9 rooms of living space throughout the entire house, the main level features a living room with fireplace complete with a functional wood burning stove, family room, a bright eat-in kitchen with classic white cabinetry, plus 3 bedrooms and a full bath.  The possibilities are endless in the lower level which houses a great room, half bathroom, workshop, playroom, office, laundry and storage space galore!  The enclosed porch along with the patio and deck are ideal for indoor/outdoor entertaining, and the attached garage conveniently provides off street parking or additional storage.  The location is unbeatable for both Connecticut and New York commuters... close to major highways and Metro North.  Additionally, the close proximity to the gorgeous beaches, boat launch, Sandy Point Bird Sanctuary, fishing, shopping restaurants and the new waterfront project coming soon makes this the home where you want to live!  HIGHEST AND BEST OFFERS DUE BY MONDAY, 4/26/21 AT 5:00 PM.","SingleFamily","1965","6,098 sqft"
"$375,000","3 bds","2 ba","1,102 sqft","https://www.zillow.com/homedetails/98-Lake-Ave-West-Haven-CT-06516/58030419_zpid/","ACROSS FROM LAKE PHIPPS, BEAUTIFUL VIEWS OF LAKE, SELLS WITH 129 LAKE AVE--40 FT FRONTAGE- 0.2 PARCEL LAKEFRONT WITH A DOCK 96 SQFT, PARADISE,(MAPS UNDER ATTACHMENTS), FISH FROM DOCK, SWIM, ROWBOATS OR CANOES ONLY, NO GAS POWERED ENGINES.3BR, 2BTH RANCH WITH HARDWOOD FLOORS IN LR, DR, AND BRS, JUST REFINISHED, INTERIOR FIRST FLOOR PAINTED, LOWER LEVEL HAS FAMILY ROOM AND LOTS OF STORAGE,EVEN A DISTILLERY ROOM, LAUNDRY ROOM AND ANOTHER FULL BATH WITH SHOWER. 1 MILE FROM WEST HAVEN BEACHES, WALK TO TRAIN STATION. YET CLOSE TO HIGHWAYS AND SHOPPING, TAXES FOR 129 LAKE AVE-DOCK IS 187.26 A YEAR","SingleFamily","1950","13,068 sqft"
