"AREA","BED","BATH","BUILT","DESCRIPTION","LOTSIZE","PRICE","TYPE"
1629,2,2,1889,"Welcome home! Charming & well kept, this 2 bedroom & 1.5 bath home is turnkey & ready for you to enjoy. Whether you’re looking to entertain or just want to order in, you’ll appreciate the recently remodeled, open kitchen featuring stainless appliances & quartz countertops.     Full bath off Master Bedroom was also stylishly updated so you won’t have to! Steel Kit one-car garage also has plenty of room for all your landscaping tools & equipment. Lush & level, the backyard is easy to maintain & perfect for pets, kids, gardening &, of course, more entertaining! Natural gas & Central Air upgrades truly round out this great opportunity to live within walking distance to West Haven’s beaches.     Use ShowingTime to schedule your visit today!","6969 sqft",224000,"SingleFamily"
1278,3,2,1900,"This adorable cape has a lot to offer.  You start up by entering the home via the porch only to see this nice living room.  Master bedroom is on the first floor with a full bathroom. Upstairs has 2 bedrooms with a full bathroom.  Some features on this home:   - New 200 amp electrical service & panel/breakers installed 2020  - Ductless split AC installed 2020. Unit cools entire first floor  - Upstairs bath renovated 2020  - Washer/dryer 2019  - Energy Audit conducted 2019, new LED bulbs, Nest thermostats, blown-in cellulose insulation (entire house walls and attic crawlspaces) 2020  -Fenced back yard  -Garage","7840 sqft",225000,"SingleFamily"
1264,3,2,1988,"This 1264 sqft Colonial with its 3 bedrooms and 1.5 bathrooms is just a short stroll to Lake Pocotopaug! This year round property has plenty of space inside and a 10X20 deck for entertaining outside along with a fenced in yard. The new windows, carpets and fresh paint look great so come see it for yourself and imagine how you would decorate once you make it yours! Close to Rt 2, Rt 9 and Rt 66; so getting places is easy. Many things to do in town or in minutes travel to Main St Middletown, Glastonbury or Portland. Come join the Lake Pocotopaug community and enjoy the Lake life with access to the beach and boat launches where power boats are ok!","3920 sqft",224900,"SingleFamily"
2054,3,3,1960,"The perfect oversized ranch awaits you at 7 Northeast Drive! Step inside and find an open floor plan that greets you with a very generous size living room, fireplace, hardwood floors, recessed lighting and crown molding that leads to the updated eat-in kitchen. The Kitchen Features updated cabinets, new tile flooring, tile back splash, stainless steel appliances and it completely opens into the dining room with hardwood floors and a abundance of natural lighting. Enjoy summer entertaining in the main level family room with vaulted ceilings, skylights, and windows galore that include a gorgeous Palladian window that leads to the back deck overlooking the peaceful yard. This home features 3-4 bedrooms on the main level. The spacious master bedroom has vaulted ceilings, a built in window seat (with storage) overlooking the yard, 2 closets with a 2nd Palladian window, new split system, a full bathroom with a jacuzzi tub & new stand up shower. The 2nd full bathroom is completely remodeled with beautiful tile. Bedroom 2 has hardwood floors & a new split system, bedroom 3 has a separate entrance with a 1/2 bath, Bedroom 4 can be the perfect home office. The lower level is ready for finishing touches that features a 2nd fireplace. This professionally landscaped yard is .57 of a private acre, on a culdesac is partially fenced in with a deck & patio & generator. This home is full of updates and extremely well maintained!  Subject to probate approval","24829 sqft",370000,"SingleFamily"
4198,5,3,1972,"Beautiful Colonial-3020 sqft. living space and 1178 sqft. in fully finished  basement. Kitchen has all newer appliances. 5 Bedrooms with large closets. First floor Master suite with full bathroom, slider to deck, walk in closet and a 2nd closet. Livingroom with fireplace. another 1st floor bedroom, full hallway bathroom and Hardwood floors throughout first floor. Upper floor has 3 large bedrooms, Full Bathroom, new windows and all new carpet. Three zone heating. The entire inside of house is freshly painted. The entire exterior of house is freshly painted. Basement  freshly painted with washer/ dryer area. Walk out through a 2 car garage and garage freshly painted. The third Bay is a storage. Beautiful large back yard with a Park setting. Move in Ready. Must see.     Please make all offers on MLS Standard Form Real Estate Contract.","40946 sqft",489999,"SingleFamily"
3496,4,4,1948,"Sitting up high on a beautiful hill surrounded by a well-landscaped plot, enjoy stunning sunsets on the large two-tier deck off the kitchen overlooking a beautiful gunite pool and patio; Fantastic property for entertaining!! This 4-bedroom, 3.5-bath colonial home with a small horse barn, 1 and a half stalls with two turn-out paddocks, and fully fenced-in yard offers the country living feel with the benefits of living less than two miles from Southport center. This charming home is filled with character and hardwood floors throughout. The Kitchen looks into a warm and inviting Family Room with a new vaulted ceiling and exposed beams. This classic Ct home offers a Formal Dining Room with built-in cupboards, three wood-burning fireplaces, sunporch, a large Formal Living Room, and a home office. The second level hosts a beautiful Primary Bedroom with en-suite Primary Bathroom and a walk-up attic. Three additional bedrooms and shared hall bathroom complete this level. Finished Lower Level with wood burning fireplace, bathroom, workshop, and laundry. Two car attached garage. Enjoy a quick walk to the local Market, Wine shop, Cleaners, Nursery, and soon-to-be Ice Cream shop!  Come see this Gem!","67953 sqft",1125000,"SingleFamily"
938,2,1,1974,"Welcome to this rarely available ground level end unit with the ability for private entrance!  This 2 bed 1 bath unit offers a spacious kitchen and dining area with plenty of storage space for all your dishes, food and other kitchen utensils.  With new carpet throughout the remainder of the home, the finishes are ready for you to move in! With heat and hot water included in your fee's you don't have to worry about running up the bill on cold winters night.  The location offers a summer time oasis with a gorgeous pool and clubhouse available for private events.  Minutes away from Route 9 and Route 91 makes this a perfect location for a quick drive to Hartford, Middletown, and also a half hour ride from the shore line.  You also will have all your amenities minutes away as well which includes, shopping, dining, work out facilities, golf course and much much more.  Schedule your showing today!","No Data",120000,"SingleFamily"
2879,4,3,1968,"Space for everyone in this 4 bedroom 2.5 bath split level! Hardwood floors on main and bedroom level. Bright sunny family room and sunroom overlooking fully fenced back yard. Eat-in kitchen with stainless appliances. 4 good size bedrooms with ample closet space. MBR with one walk in closet and one standard closet, full bath with shower. Access to backyard from kitchen, laundry room and sunroom. Unfinished basement great for storage. 4 levels all together. Backyard patio with gas grill connected to gas line.  Great location with neighborhood playground, park and basketball court. Close to shops, too!","30927 sqft",334000,"SingleFamily"
1922,4,3,1974,"Raised ranch with newly renovated kitchen and bathrooms. Open floor plan and brand new appliances.","40075 sqft",345000,"SingleFamily"
1921,4,3,1977,"Ever wanted a Colonial without the colonial price or size! This is it! Walk into this 4 bedroom Colonial and immediately fall in love. The first floor features an open concept floor plan and a kitchen that will check all your boxes! Double oven, gorgeous copper farm sink, island cooktop and a step away from the full house length deck overlooking the hills! The privacy at this home is everything you have been looking for. It doesn't stop there. Off the dining room set into the wrap around deck is a four season sunroom with brand new flooring and wall to wall sliding glass doors! A place to settle in for the night with the family and enjoy a movie and a sunset. First floor laundry rounds out the main area. Upstairs you will find 4 perfect sized bedrooms- a bathroom off the master and a newly updated bathroom in the hall. Come check out this home and everything it has to offer. Want to live in an amazing commuter location- this Southern New Milford spot is close to all shopping- Litchfield Crossing and Federal Road- as well as a short ride to Route 84 if heading east or west! Schedule your showing today. Showings start Thursday morning. More pictures and floor plans to come.","42688 sqft",429000,"SingleFamily"
7560,5,7,2007,"One of Ridgefield's most admired homes, custom built with absolutely no expense spared. Stunning Stone and Clapboard New England Colonial with exceptional architectural details throughout, beautifully sited on 1.48 park-like acres. The heart of this home features an updated gourmet Kitchen with Dacor double ovens, Viking cook top and Sub Zero Refrigerator. Gorgeous Taj Mahal Quartz counters and island with Tumbled Limestone back splash. Stylish Living Room with propane fireplace and spacious Dining Room with large Butler's pantry also with quartz and tumbled marble. Handsome Cherry paneled Library and sun filled Family Room with fireplace and built-in cabinets and desk. The Upper level features a large Master Suite with custom marble bath and generous walk-in closet. Three Bedrooms are en suite; and two bedrooms share a lovely Jack n Jill Bathroom. Large, custom Laundry Room and over sized Bonus Room round out the second floor. Other convenient features include front and rear staircases, mud room with built-ins, and large pantry and utility closets. The finished Lower Level offers a second Family Room, Computer desk Stations, Game Room and fabulous temperature controlled Wine Cellar. New automatic whole house Generator and Rain Bird irrigation system are some of the special features. Close to all town with shopping, great restaurants, amazing entertainment venues and schools. Excellent NYC commute. This is one home not to be missed.","64468 sqft",1445000,"SingleFamily"
988,3,2,1954,"Clean nice sized Ranch in the East End of Waterbury!!  Home features good sized Living/Dining Room 23 X 13! Home has 3 Bedrooms with 2 Full Baths on the main floor.   Need more bedrooms additional 4th Bedroom downstairs with family room and Full Bath. Perfect for potential IN-LAW apartment.  In addition main floor features Sunroom perfect for those spring and fall days.    ROOF IS BRAND NEW, HOT WATER HEATER ONLY 5 YEARS OLD AND OIL TANK 3 YEARS OLD!!!  Home also features CENTRAL AIR!  All wooden doors in house are brand new.  Home is a must see!!!!","6098 sqft",189900,"SingleFamily"
1299,3,2,1983,"Beautiful Three Bedroom Ranch located in desirable neighborhood of Watertown.  MOST EVERYTHING IN HOME IS LESS THAN TWO YEARS OLD.  This includes the paint, kitchen with stainless steel appliances and granite countertops, bath, stackable washer and dryer, windows, natural gas furnace, outdoor shed, central air, and driveway. OPEN FLOOR PLAN.  This home also includes hardwood floors throughout, 2 Baths, 2 car garage, deck and a fireplace.  Downstairs is nearly finished and can provide two additional rooms or one large one. ONE LEVEL LIVING. THE SELLER IS REQUESTING HIGHEST AND BEST OFFER BY 4/21 AT NOON.","17424 sqft",299900,"SingleFamily"
2496,6,3,1963,"**Families and Investors take note!!!** Step into a stunning fully renovated ranch in the desirable north end of Bridgeport less than 2 miles from Sacred Heart University. First floor encompasses a huge Eat In Kitchen/Open Dining Room, Granite Counter Tops, Granite Breakfast Bar w/ Stools, Stainless Steel Appliances, and Wine Cooler. Hardwood Floors throughout first level. Large living room with fireplace. Renovated full bath complete with tile and stone. Two spacious bedrooms and a master suite with a renovated half bath. Fresh paint and new trim through out entire top floor. Lower level completely finished in textured tile. THREE additional bonus rooms in lower level. TWO with walk in closets and a large vanity. Huge studio style living room complete with fireplace and wood burning stove. Lower level also has a full bath and kitchenette that can easily be transitioned into a full kitchen if need be. A dry bar was added to the in law set up as well as high end Polk Audio built in surround sound system. Lower level boasts a full walkout to the fully fenced in backyard complete with 6' vinyl. Quaint back yard features brick paved dual level patio, hot tub, and a hammock with tree cover.  Same owner for 15 years has kept home perfect!!!!","7840 sqft",315000,"SingleFamily"
1210,3,2,1937,"Classic cape in quintessential Fairfield neighborhood on the outside with a renovated modern and stylish interior.  Refreshingly open layout. Beautiful hardwoods in every room and painted in designer colors. Totally remodeled kitchen with modern cabinetry, stainless steel appliances, honed granite counter tops, glass subway tile, and large walk in pantry.  Quality lighting and fixtures throughout. Beautifully updated bathrooms. Flat yard, partially fenced in for privacy. One car attached garage with direct access into the house. Natural gas connection done in 2018 with new furnace and hot water tank installed. Newer windows and roof, and plenty of storage. Phenomenal Stratfield location! LIVE on MLS, April 23rd. SHOWINGS BEGIN APRIL 24TH. Masks required.","7840 sqft",425000,"SingleFamily"
2152,5,3,1996,"Built in 1996 this spacious 4 BDRM, 3BA year round home offers unobstructed water views as well as great outdoor living space. The open floor plan, along with 2 large porches~ one off the living room and the other off of the Master bedroom highlight the beautiful sunrises and moon rises on East Shore.  Steps to Kiddie beach where you can spend the day swimming, reading, or exploring the beach for sea glass and shells.  Take your kayak out for a paddle and rinse off in the enclosed outdoor shower when you get home. Great storage in the 2 car garage for your bikes and beach toys.  New furnace.  Enjoy beaches,  boating, tennis and all the wonderful GLP amenities. Call for an appointment today!","5662 sqft",998500,"SingleFamily"
2424,4,3,1999,"This property is a hidden gem. Beautiful colonial home with 4 bedrooms and 2 1/2 baths surrounded by state forest. The property features a 2 car detached garage, 2 large greenhouses and an out buildings. This property is a beauty you won’t want to miss.","435600 sqft",595000,"SingleFamily"
1720,5,3,1917,"Beautiful and well kept Half Duplex in the Mill Hill section of Bridgeport. This spacious house offers 5 bedrooms and 2 additional rooms in the basement, a Living Room, formal Dining Room, Kitchen, 2 Full Bathrooms & 1/2 Bathroom. New Roof, New Hot Water Heater. Come and enjoy this nearly 3000 square feet of living space.","2613 sqft",199900,"SingleFamily"
2300,4,3,1969,"Welcome home! Meticulously maintained and updated colonial on a beautifully landscaped corner lot with mature plantings. The perfect floor plan offers spaces for gracious entertaining or casual living. The formal living room has hardwood floors, crown moldings, and french doors that lead to the cozy family room with a brick floor to ceiling wood burning fireplace. The sun filled eat in kitchen has abundant cabinet space, quartz countertops and stainless appliances and the laundry area and half bath are conveniently located in the adjacent hallway. A formal dining room with hardwood floors and a bay window provides the perfect setting for holiday meals. Upstairs you will find the master bedroom with a walk in closet and a renovated master bath, three additional spacious bedrooms, and an updated hall bath. Spend your summer nights on the spacious screened porch or the newly installed patio overlooking the backyard. Gas heat, C/A and a two car garage. Convenient to schools, shopping, restaurants and highways. See attachments for floor plans and disclosures. Don't miss this one! *** Highest and best offers to be submitted by end of business day 4/19/2021***","35719 sqft",534900,"SingleFamily"
3858,5,3,1990,"This beautifully appointed custom designed contemporary has many features. As you enter the front door into a spacious foyer with cathedral ceilings an adjacent sitting room with cathedral ceils and skylights with over sized windows bring in abundant natural light. Adjacent to the oversized stair case leads to the kitchen, dining area and the fireplaced sunken great room. This open floor design includes granite counters, maple cabinets, tiled floors with a custom granite dining room table. The dining area can lead to an oversized deck with an overview of the wooded private back yard. Hardwood floors throughout this lovely home including the entire second floor with 2 full baths and 5 bedrooms. The oversized exquisite Master Bedroom features oversized windows leading to the ensuite that features a Jacuzzi jet tub with cathedral ceilings under two skylights. The ensuite includes a shower stall and immaculate tiles features.","40946 sqft",650000,"SingleFamily"
6365,6,7,1979,"Stately yet modern masterpiece with park-like grounds & magnificent detail. 6,300+ sf with 6 bedrooms, 7 baths, & 5 fireplaces. Upgrades include interior painted, wood flooring installed in 2nd floor bedrooms and sparkling white kitchen cabinetry with oversized island and newer Stainless Steel appliances. 1,200 sf master suite with vaulted ceiling, huge WIC, spa bath, fireplace & private balcony. 2nd master suite option on main level that opens to the veranda. every room is comfortably sized and versatile in it's use. Many options for home office as well. The enormous kitchen has a sitting area with fireplace as well as a casual dining locale overlooking the grounds. Custom cherry wood library/family room with vaulted ceiling, fireplace & french doors to patio.  Bonus rooms above garage are perfect for au pair, in-law or guests. Enjoy the huge terrace, heated IG pool and spacious pool house that gets tons of sunlight. 3 car attached garage. Fantastic location...only 7 min to train & town. A mere 55 miles to NYC! Truly a one-of-a-kind home","124581 sqft",1999000,"SingleFamily"
1926,3,2,1993,"Unique 3-4 BR, 2 bath split level contemporary set on a corner lot just outside Pheasant Run subdivision offers spacious eat-in kitchen with center island, wooden beams and vaulted ceilings overlooking living room with fireplace, hardwood floors, family room with 9+ ft ceilings, slider to deck and fenced backyard. Two bedrooms and full bath upstairs, 1-2 bedrooms and a full bath downstairs. Conveniently located to the Subase, Electric Boat & Coast Guard Academy.","40075 sqft",299900,"SingleFamily"
840,2,1,1962,"Charming, country home in excellent condition with a beautiful enclosed porch and a concrete turn-around/parking off of the driveway. Fresh paint, new lighting fixtures, refurbished hardwoods, large yard with a small barn, and a shed. The backyard was just re-mulched for the season. This lovely property will not last long! OPEN HOUSE: SATURDAY, 9AM - NOON, 4-24-21. Open house is the first showing. Being sold, as-is condition","21780 sqft",150000,"SingleFamily"
2112,4,3,1947,"Welcome to this elegant brick cape located in the heart of Wallingford. Generous well-arranged rooms create a convenient open floor plan enhancing the space and making entertaining a joy. The bright and spacious living room features gleaming hardwood floors and a marble fireplace to cozy up to on those cooler crisp evenings. The dining area is spacious and open to the kitchen which includes granite counter tops, stainless steel appliances and a breakfast nook with skylight. A first-floor bedroom and full bath floor offer much sought after convenience. The second floor has 3 additional bedrooms and a bonus room. The side door from the living room leads to a covered side porch overlooking the fenced in backyard where you can enjoy the outdoors and host summertime events. Minutes away from the shopping and entertainment of downtown Wallingford and close to all major highways. Great savings with Wallingford electric.","13503 sqft",399000,"SingleFamily"
1774,3,3,1890,"Your new home awaits in this spacious, COMPLETELY RENOVATED Colonial! Enter into the open concept main living area with eat-in kitchen. This brand new kitchen features granite counters, tile backsplash, stainless steel appliances and a pantry. The main level has an additional living room and a half bath.  Head upstairs where you'll find 3 bedrooms, 2 bathrooms and a conveniently located washer/dryer hookup.  The beautifully renovated primary bedroom features a walk-in closet and a sliding barn door which leads to the primary bathroom with a freestanding tub, large shower, double vanity and LED light fixture with bluetooth speaker. Off the upper level leads to a spacious new deck and private backyard.  ALL NEW... hardwood flooring, windows, doors, framing, insulation, plumbing, electric, boiler, gutters and driveway. Schedule your showing today!","42253 sqft",305000,"SingleFamily"
1857,3,3,2003,"DON’T DELAY!  Amazing opportunity in Powder Mill Village in Canton.  Immaculate, light and bright home looks out from the comfortable and relaxing front porch onto the center green and gazebo. Fabulous open floor plan with gorgeous white kitchen, miles of new quartz countertops in kitchen and powder room, fresh paint, energy efficient natural gas heat, city water and sewer. Just minutes to historic, very cool Collinsville center, hiking and bike trails, kayaking and the Shoppes at the Farmington Valley.  Upstairs you will find a Master Bedroom flooded with natural light from oversized windows, spacious walk-in closet and full bath and an additional two good-sized bedroom and hall bath.  Lower level has a fantastic finished 200 square foot area, the perfect private retreat for game room, man cave or she shed. Nice back deck with privacy views. Enjoy this spectacular neighborhood with beautifully manicured grounds and friendly neighbors. This lovely home can be yours!","5227 sqft",375000,"SingleFamily"
3096,6,3,1973,"SHOWINGS START WEDNESDAY, 4/21. Weston contemporary home with great open floor plan. Updated with a wonderful expansive deck with access from master suite and living room, great for summer entertaining. Large updated kitchen with center island, fireplace and dining area. Master suite with glass doors to deck, plus two other bedrooms on main level with full bath. The lower level has three guest bedrooms, additional bath and laundry room, plus inviting family room with fireplace & glass doors onto the patio. Lots of space for family or work from home. Great lower Weston location. Conveniently located just minutes away from Weston's award winning schools, town center, athletic fields, Field Club, & Tennis Club. An easy drive to the Westport Trains/Compo Beach.","87120 sqft",799000,"SingleFamily"
3000,5,4,2021,NA,"No Data",1595000,"SingleFamily"
